,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Kurt Shephard,,"2,304.83",84.26,"$180,502",46,23,50%
1,2,Luan Crystian Camara,,"1,931.50",83.46,"$118,896",50,21,42%
2,3,Zane Hall,,"1,262.33",84.18,"$46,224",53,15,28.30%
3,4,Clint Glass,,"1,247",83.75,"$33,758",45,13,28.89%
4,5,Alison Aguiar,,"1,212",84.54,"$42,882",41,13,31.71%
5,6,Macaulie Leather,,"1,030",83.33,"$43,395",21,12,57.14%
6,7,Ben Bode,,960,84.17,"$36,809",41,9,21.95%
7,8,Rylee Ward,,829,83.23,"$24,516",40,12,30%
8,9,Matheus Lima dos Santos,,815.50,82.60,"$23,917",23,10,43.48%
9,10,Diego Galdino,,688,82.43,"$19,800",53,7,13.21%
10,11,Tyson Smith,,655.33,82.31,"$19,915",31,8,25.81%
11,12,Daniel Keeping,,636,85.81,"$51,750",4,4,100%
12,13,Bryn Francis,,622.33,80.65,"$12,120",38,10,26.32%
13,14,Caiden Sandilands,,600.33,81.25,"$13,870",35,11,31.43%
14,15,Thomas Triplett,,571.50,83.25,"$19,593",28,6,21.43%
15,16,Jack Rowlandson,,571.33,81.48,"$16,103",46,11,23.91%
16,17,Kelsey Pavlou,,512.50,82.30,"$12,304",25,5,20%
17,18,Charlie Bailey,,412,82.25,"$10,312",35,7,20%
18,19,Jack Brodrick,,410.50,83.83,"$14,149",17,3,17.65%
19,20,Sam Woodall,,406,83.50,"$17,699",18,7,38.89%
20,21,Nash Mellers,,404,82.83,"$10,536",46,6,13.04%
21,22,Thomas Hudson,,360,83.83,"$9,750",19,3,15.79%
22,23,Lachlan Slade,,328,86.13,"$9,950",9,2,22.22%
23,24,Dylan Weir,,303,82.38,"$9,772",19,4,21.05%
24,25,Brady Fielder,,290,86.25,"$19,050",4,2,50%
25,26,Donnie Rutherfurd,,251,84.50,"$9,664",14,4,28.57%
26,27,Dan Ruhland,,247,82.00,"$6,900",32,3,9.38%
27,28,Brumby Brandenburg,,238,79.50,"$4,853",38,5,13.16%
28,29,Lauchlan Waters,,227,80.50,"$4,947",34,4,11.76%
29,30,Boston Leather,,218,79.00,"$5,833",14,5,35.71%
30,31,Andrew Alvidrez,,214,84.75,"$13,950",4,2,50%
31,32,Jake Gardner,,203,84.88,"$12,000",4,2,50%
32,33,Jack Keats,,179,81.42,"$3,646",12,3,25%
33,34,Beau Willis,,149,83.50,"$3,236",25,2,8%
34,35,Joao Rigaard Franco,,126,82.50,"$2,870",20,2,10%
35,36,Toby Adams,,102,79.75,"$2,668",14,2,14.29%
36,37,Toby Collins,,100,83.38,"$2,129",7,2,28.57%
37,38,Wyatt Fraser,,92,80.50,"$2,872",9,1,11.11%
38,39,Ashton Sweeney,,84,81.50,"$1,143",10,2,20%
39,40,Josh Grant,,74,83.00,"$1,299",18,1,5.56%
40,41,Toby Leake,,60,78.00,"$1,692",5,1,20%
41,42,Lane Hanush Bowen,,56,81.00,$677,6,1,16.67%
42,43,Callum Miller,,54,86.25,"$4,050",4,1,25%
43,44,Fraser Babbington,,46,85.50,"$2,769",3,2,66.67%
44,45,Josh Alexander,,44,82.25,$809,6,1,16.67%
45,46,Ky Borghero,,42,81.00,"$1,597",27,1,3.70%
46,47,JC Davis,,37,83.75,"$1,257",3,2,66.67%
47,48,Seb Geppert,,16,78.50,$500,6,1,16.67%
48,49,Braydon Wellby,,0,0.00,$0,5,0,0%
49,49,Klay Ward,,0,0.00,$0,8,0,0%
50,49,Jackson Gray,,0,0.00,$0,6,0,0%
51,49,Will Watson,,0,0.00,$500,1,0,0%
52,49,Billy Goetsch,,0,0.00,$0,7,0,0%
53,49,Jackson Field,,0,0.00,$0,1,0,0%
54,49,Darryl McPherson,,0,0.00,$0,23,0,0%
55,49,Cazian Griffiths,,0,0.00,$500,12,0,0%
56,49,Bailee Selten,,0,0.00,$500,8,0,0%
57,49,Koby Parsons,,0,0.00,$0,8,0,0%
58,49,Brody Woodard,,0,0.00,$0,4,0,0%
59,49,Cameron Holley,,0,0.00,$0,3,0,0%
60,49,Kyle Horton,,0,0.00,$0,3,0,0%
61,49,Riley Eade,,0,0.00,$0,4,0,0%
62,49,Lee Gilbo,,0,0.00,$0,4,0,0%
63,49,Ethan McConnell,,0,0.00,$500,15,0,0%
64,49,Isaac Leclair,,0,0.00,$0,9,0,0%
65,49,Cody Williams,,0,0.00,$500,11,0,0%
66,49,Zac Southwell,,0,0.00,$0,7,0,0%
67,49,JC Smith,,0,0.00,$0,3,0,0%
68,49,Jack Cameron,,0,0.00,$0,6,0,0%
69,49,Billy Nell,,0,0.00,$0,6,0,0%
70,49,Jay Borghero,,0,0.00,$0,7,0,0%
71,49,Rubens Barbosa,,0,0.00,$0,5,0,0%
72,49,Clay Hall,,0,0.00,$0,3,0,0%
73,49,Joe Down,,0,0.00,$500,4,0,0%
74,49,Cody Hotston,,0,0.00,$0,3,0,0%
75,49,Joel Kraut,,0,0.00,$0,2,0,0%
76,49,Chad Ormsby,,0,0.00,$0,2,0,0%
77,49,Merv Church,,0,0.00,$0,2,0,0%
78,49,Jordan Iker,,0,0.00,$0,1,0,0%
79,49,Lawson Nobbs,,0,0.00,$0,3,0,0%
