,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
123,124,Boston Leather,,93.50,83.88,"$6,963",30,4,13.33%
124,124,Danilo Luiz da Silva,,93.50,80.55,"$1,692",23,11,47.83%
125,124,Cesar Henrique Silva,,93.50,81.31,"$1,077",28,12,42.86%
126,127,Gavin Knutson,,92.50,84.13,"$9,909",19,4,21.05%
127,127,Jaxton Mortensen,,92.50,83.00,"$6,988",10,2,20%
128,129,Winy dos Santos,,92,83.81,"$5,584",13,4,30.77%
129,130,Nash Mellers,,91.50,83.00,"$5,707",26,4,15.38%
130,131,Hayden Harris,,90.25,83.38,"$3,115",13,4,30.77%
131,132,Jack Rowlandson,,90.17,81.21,"$4,728",26,6,23.08%
132,133,Jerson Arantes,,89.67,82.46,"$2,400",29,7,24.14%
133,134,Walker Arce,,89.50,79.12,"$1,224",21,13,61.90%
134,135,Leandro Francisco,,89,81.98,$646,22,12,54.55%
135,136,Carlos Souza Filho,,87.50,81.25,$968,27,11,40.74%
136,137,Diego do Amaral,,87.33,83.00,"$2,858",17,8,47.06%
137,138,Griffin Koester,,87,85.44,"$2,827",24,4,16.67%
138,139,Paulo Eduardo Rossetto,,85.50,79.32,"$3,424",10,7,70%
139,139,Nilton Batista,,85.50,85.13,"$1,644",9,6,66.67%
140,141,Bruno Roberto,,84.50,83.88,"$5,122",9,4,44.44%
141,142,Lachlan Slade,,84,86.13,"$6,494",5,2,40%
142,143,João Lucas Campos,,83,82.50,"$1,513",5,4,80%
143,143,Aaron Williams,,83,78.88,"$4,127",8,2,25%
144,145,Elizmar Jeremias,,82.50,84.75,"$4,389",9,3,33.33%
145,145,Rafael Wermond Lopes,,82.50,84.67,"$1,947",12,6,50%
146,147,João Paulo de Morais,,81.50,82.44,"$2,228",20,12,60%
147,148,Dimas Neto,,80.50,81.70,$820,17,11,64.71%
148,149,Shay Marks,,80.33,84.25,"$4,091",9,2,22.22%
149,150,Miguel de Jesus,,79.50,81.25,$621,15,8,53.33%
150,151,Felipe Rangel Pereira,,78.50,83.86,"$2,046",13,7,53.85%
151,151,Luiz Felipe Santos,,78.50,80.06,"$2,474",13,8,61.54%
152,153,Brock Cooper,,76.50,78.50,"$6,371",2,2,100%
153,154,Willian de Souza,,75,79.83,"$2,965",11,3,27.27%
154,155,Vanderson dos Santos,,74.50,83.78,$282,27,8,29.63%
155,156,Felipe Soares Souza,,74,85.67,"$4,163",5,3,60%
156,157,Ezekiel Mitchell,,71.50,84.60,"$5,362",23,5,21.74%
157,158,Logan Biever,,70.50,82.75,"$2,862",20,4,20%
158,159,João Marcelo Marrafon,,69.50,85.21,$888,14,6,42.86%
159,160,Matheus Guisini,,69.33,79.75,"$2,119",12,10,83.33%
160,161,Pablo Soares,,69,81.00,"$5,573",6,3,50%
161,162,Dalton Dwyer,,68,83.00,"$5,102",10,1,10%
162,163,Ashton Sahli,,67.33,82.50,"$3,354",15,4,26.67%
163,164,Douglas Xavier da Silva,,67,85.33,$961,5,3,60%
164,165,Junior Patrik Souza,,66,84.50,"$4,767",20,3,15%
165,166,Ramon Fiorini,,64.50,84.67,"$3,073",11,3,27.27%
166,167,Dylan Smith,,64,76.50,"$4,978",6,2,33.33%
167,167,Leonardo Henrique dos Santos,,64,86.33,"$1,113",17,6,35.29%
168,167,Casey Roberts,,64,83.50,"$3,517",6,1,16.67%
169,170,Austin Paley,,62.83,84.17,"$3,225",42,3,7.14%
170,171,Dusty Golden,,62,80.00,"$5,914",18,3,16.67%
171,171,Jean Carlos Teodoro,,62,78.17,"$2,839",19,3,15.79%
172,171,João Pedro Duarte,,62,81.96,"$2,237",6,6,100%
173,171,Josh Stepp,,62,80.50,"$3,058",3,2,66.67%
174,175,Jacob Hershberger,,60.50,82.50,"$5,523",18,2,11.11%
175,176,Jean Fernandes Pereira,,60,79.67,"$4,910",10,3,30%
176,176,Daylon Swearingen,,60,86.25,"$9,983",4,2,50%
177,178,Eric O'Flynn,,59.50,79.83,"$2,615",13,3,23.08%
178,179,Mateus dos Santos,,58.50,83.04,$526,11,7,63.64%
179,180,Alex Cerqueira,,58,81.00,"$2,984",12,3,25%
180,180,Lance Lara,,58,84.50,"$3,684",10,2,20%
181,180,Rubens Barbosa,,58,82.88,"$1,347",15,4,26.67%
182,183,Adriano Neves dos Santos,,57.50,83.75,"$1,127",10,6,60%
183,183,Marco Rizzo,,57.50,84.33,"$3,084",4,3,75%
184,183,Antonio Carlos Junior,,57.50,80.69,$769,16,8,50%
185,186,Colt Morrow,,57,84.17,"$2,056",11,3,27.27%
186,187,Jeanderson de Souza,,56.50,83.95,"$1,208",10,5,50%
187,187,Alisson De Souza,,56.50,84.20,$355,16,5,31.25%
188,189,Genivan da Silva,,56,79.28,$775,19,9,47.37%
189,190,Rogério Venâncio,,55,83.75,"$1,856",22,3,13.64%
190,190,Felipe Furlan,,55,75.33,"$5,444",5,3,60%
191,192,Gabriel Henrique da Silva,,54.50,83.42,$597,15,6,40%
192,193,Matt Allgood,,54,66.50,"$3,502",11,2,18.18%
193,193,Nathan Campos,,54,82.80,"$1,167",10,5,50%
194,193,Huan de Souza,,54,84.20,$413,13,5,38.46%
195,193,Caleb Cantrell,,54,82.00,"$4,167",7,1,14.29%
196,197,Luciano Ruivo da Silva,,53,81.56,$338,15,8,53.33%
197,197,Cody Nance,,53,83.00,"$2,732",2,1,50%
198,199,Damião Soares,,52,83.75,"$3,503",6,2,33.33%
199,199,Francisco Garcia Torres,,52,84.00,"$3,307",4,2,50%
