,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Jose Vitor Leme,,"1,494",88.44,"$1,929,113",37,22,59.46%
1,2,Dalton Kasel,,"1,426.50",88.56,"$442,078",68,36,52.94%
2,3,Brady Fielder,,"1,234",87.20,"$322,521",69,42,60.87%
3,4,John Crimber,,950,88.27,"$255,820",62,32,51.61%
4,5,Sage Steele Kimzey,,946.75,86.20,"$218,896",61,33,54.10%
5,6,Clay Guiton,,905,86.68,"$212,138",66,34,51.52%
6,7,Hudson Bolton,,849.50,85.76,"$301,967",38,23,60.53%
7,8,Paulo Eduardo Rossetto,,779.25,85.82,"$154,608",61,33,54.10%
8,9,Kaiden Loud,,776,86.68,"$186,092",60,26,43.33%
9,10,Luciano De Castro,,709.83,85.77,"$152,936",67,33,49.25%
10,11,Cort McFadden,,706.08,85.96,"$104,279",68,36,52.94%
11,12,Keyshawn Whitehorse,,692,85.99,"$140,205",66,31,46.97%
12,13,Andrew Alvidrez,,651.75,86.04,"$169,375",55,21,38.18%
13,14,Kaique Pacheco,,621,85.88,"$88,323",60,30,50%
14,15,Austin Richardson,,615.50,87.50,"$152,090",51,21,41.18%
15,16,Alan de Souza,,614,85.58,"$111,232",55,25,45.45%
16,17,Sandro Batista,,554.33,86.20,"$111,446",46,23,50%
17,18,Lucas Divino,,537,85.43,"$137,748",60,23,38.33%
18,19,Felipe Furlan,,517,85.92,"$133,942",50,21,42%
19,20,Leonardo Castro,,502.75,84.98,"$62,850",64,30,46.88%
20,21,Claudio Montanha Jr.,,480,85.03,"$54,515",71,29,40.85%
21,22,Dener Barbosa,,470,85.69,"$55,079",65,28,43.08%
22,23,Koltin Hevalow,,441,85.34,"$64,504",65,23,35.38%
23,24,Eduardo Aparecido,,440.50,86.86,"$89,829",54,22,40.74%
24,25,Anderson de Oliveira,,439.83,86.26,"$55,290",51,22,43.14%
25,26,Julio Cesar Marques,,403.33,86.19,"$84,857",62,21,33.87%
26,27,Elizmar Jeremias,,401.50,86.86,"$73,779",63,22,34.92%
