,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Marcus Mast,,775.50,82.29,"$95,942",50,19,38%
1,2,Afonso Quintino,,763,83.29,"$36,737",59,19,32.20%
2,3,Bob Mitchell,,723.83,83.73,"$63,184",35,23,65.71%
3,4,Ethan Winckler,,566.50,84.98,"$27,212",28,15,53.57%
4,5,Michael Lane,,548,83.68,"$29,531",31,14,45.16%
5,6,Aaron Williams,,545.67,79.56,"$30,473",30,16,53.33%
6,7,Grayson Cole,,499.50,84.11,"$21,093",70,18,25.71%
7,8,Callum Miller,,460.25,85.65,"$23,728",31,12,38.71%
8,9,João Lucas Campos,,440,85.30,"$20,900",23,11,47.83%
9,10,Ezekiel Mitchell,,432.67,84.06,"$24,037",29,13,44.83%
10,11,Wyatt Rogers,,432.50,84.04,"$21,510",56,17,30.36%
11,12,Alex Cerqueira,,418,81.43,"$22,511",40,19,47.50%
12,13,Conner Halverson,,407.67,82.73,"$19,387",38,14,36.84%
13,14,Flavio Zivieri,,396,84.65,"$14,866",30,13,43.33%
14,15,Jean Fernandes Pereira,,394.83,82.87,"$29,916",32,13,40.63%
15,16,Lucas Martins Costa,,391.83,80.04,"$19,464",35,14,40%
16,17,Dawson Gleaves,,389.50,82.81,"$19,808",38,13,34.21%
17,18,Trace Redd,,370.75,83.21,"$16,958",35,12,34.29%
18,19,Jaxton Mortensen,,366.50,83.15,"$21,803",38,13,34.21%
19,20,Nick Tetz,,364,85.40,"$15,343",13,10,76.92%
20,21,Lucas Fideles Souza,,361.17,83.70,"$15,586",42,15,35.71%
21,22,Bruno Carvalho,,347.17,85.00,"$13,277",33,15,45.45%
22,23,Manoelito de Souza Junior,,340.08,81.47,"$14,009",45,15,33.33%
23,24,John Crimber,,329.50,87.96,"$20,131",8,7,87.50%
24,25,Leandro Zampollo,,303.83,85.08,"$68,633",28,12,42.86%
25,26,Dalton Rudman,,300.83,83.55,"$12,157",30,11,36.67%
26,27,Paulo Eduardo Rossetto,,289.50,83.96,"$26,739",16,6,37.50%
27,28,Dakota Buttar,,277.50,85.13,"$11,120",11,8,72.73%
28,29,Jhon Carlos Moreira,,273,84.58,"$9,638",13,12,92.31%
29,30,Gustavo Luiz da Silva,,269,83.98,"$6,984",16,11,68.75%
30,31,Warley Oliveira da Silva,,260,84.27,"$5,293",20,14,70%
31,31,Guthrie Long,,260,80.67,"$11,093",35,9,25.71%
32,33,Zane Cook,,257,79.04,"$9,746",39,12,30.77%
33,34,Macaulie Leather,,256,83.61,"$15,225",19,9,47.37%
34,35,Ky Hamilton,,251,86.90,"$28,770",6,5,83.33%
35,36,Brandon Chambers,,248.83,78.45,"$10,869",38,10,26.32%
36,37,Jeferson Silva,,244.50,82.36,"$15,451",22,7,31.82%
37,38,Guilherme Valleiras,,242.33,82.38,"$13,763",28,12,42.86%
38,39,Rogério Venâncio,,238,86.46,"$9,386",15,7,46.67%
39,40,Eric Henrique Domingos,,237,82.57,"$9,379",36,14,38.89%
40,41,Eli Vastbinder,,233.83,84.36,"$9,623",30,7,23.33%
41,42,Eric Novoa,,220.83,80.28,"$9,250",22,9,40.91%
42,43,Jake Morinec,,220.50,82.50,"$12,748",14,7,50%
43,44,Junior Patrik Souza,,219.50,79.90,"$7,838",47,13,27.66%
44,45,Jean Carlos Teodoro,,217.67,83.09,"$10,366",33,11,33.33%
45,46,Ben Bode,,216.50,82.33,"$13,722",16,6,37.50%
46,47,Dener Barbosa,,216,81.06,"$13,347",12,9,75%
47,48,Hidelvan Ribeiro,,215,83.70,"$3,289",23,15,65.22%
48,49,Carlos André de Oliveira,,211.50,82.15,"$10,683",29,10,34.48%
49,49,Pokey Houghton,,211.50,83.00,"$10,805",37,7,18.92%
50,51,Cody McCandless,,208,78.78,"$9,863",18,9,50%
51,52,Ashton Sahli,,206.50,85.07,"$10,002",14,7,50%
52,53,Tanner Eno,,204.83,84.61,"$7,077",20,9,45%
