,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Lucas Martins Costa,,346.17,83.55,"$18,107",21,11,52.38%
1,2,Bob Mitchell,,315,83.70,"$42,534",16,10,62.50%
2,3,Alex Cerqueira,,261,81.13,"$13,865",19,12,63.16%
3,4,Dener Barbosa,,216,81.06,"$13,347",10,9,90%
4,5,Jean Fernandes Pereira,,212.83,83.44,"$11,666",23,9,39.13%
5,6,Ky Hamilton,,212,87.25,"$26,689",4,4,100%
6,7,Jake Morinec,,204.50,85.90,"$12,548",7,5,71.43%
7,8,Jean Carlos Teodoro,,198.67,83.88,"$10,216",25,8,32%
8,9,Wyatt Rogers,,187,84.07,"$11,911",20,7,35%
9,10,Jeferson Silva,,183.50,83.40,"$10,401",14,5,35.71%
10,11,Eric Henrique Domingos,,169.50,82.41,"$6,449",24,11,45.83%
11,12,Bruno Carvalho,,163.50,85.06,"$7,327",15,8,53.33%
12,13,Vinicius Pinheiro Correa,,158.50,85.42,"$9,262",13,6,46.15%
13,14,Junior Patrik Souza,,151,81.86,"$6,668",25,7,28%
14,15,Grayson Cole,,146.50,83.83,"$8,318",29,6,20.69%
15,16,Davi Henrique de Lima,,144.50,82.36,"$7,022",17,7,41.18%
16,17,Marcelo Procopio Pereira,,137.50,83.13,"$5,281",14,8,57.14%
17,18,Jaxton Mortensen,,136.50,83.10,"$11,813",11,5,45.45%
18,19,Manoelito de Souza Junior,,130.08,82.21,"$4,787",27,7,25.93%
19,20,Ramon Fiorini,,116.50,79.40,"$7,705",12,5,41.67%
20,21,Alex Marcilio,,114,86.25,"$6,198",2,2,100%
21,22,Guilherme Valleiras,,110.83,80.71,"$7,125",19,7,36.84%
22,23,Brandon Chambers,,108,88.00,"$5,849",3,1,33.33%
23,24,Miguel de Jesus,,107,85.13,"$6,013",12,4,33.33%
24,25,Sandro Batista,,103,79.83,"$4,751",8,6,75%
25,26,Max Castro,,101,80.93,"$4,010",23,7,30.43%
26,27,Kase Hitt,,96.50,85.25,"$4,841",10,4,40%
27,28,Trace Redd,,94.25,83.80,"$4,769",13,5,38.46%
28,29,Marcus Mast,,90,82.67,"$4,663",9,3,33.33%
29,30,Dalton Krantz,,88,86.00,"$4,729",5,2,40%
30,31,Hayden Harris,,86.75,86.00,"$3,823",5,2,40%
31,32,Dakota Warnken,,83,85.50,"$4,081",9,3,33.33%
32,33,Mauricio Gulla Moreira,,79.50,84.67,"$4,742",12,3,25%
33,34,Colton Burkard,,79,78.67,"$3,712",8,3,37.50%
34,35,Guthrie Long,,77.50,84.50,"$3,723",11,2,18.18%
35,36,Dalton Rudman,,77,85.75,"$4,367",5,2,40%
36,37,Leandro Zampollo,,75.50,84.38,"$3,723",14,4,28.57%
37,38,Maikon Calixton Rocha,,75,86.50,"$3,928",5,3,60%
38,39,Andy Bohl,,73.50,82.40,"$2,705",22,5,22.73%
39,40,Lucas Fideles Souza,,70.83,84.67,"$3,706",13,3,23.08%
40,41,Conner Halverson,,70,83.33,"$3,653",6,3,50%
41,42,Callum Miller,,68.75,84.75,"$4,793",5,2,40%
42,43,Koltin Hevalow,,68.50,84.67,"$10,000",3,3,100%
43,44,Brady Turgeon,,67.50,85.75,"$6,938",8,2,25%
44,45,Everton Natan da Silva,,67.33,82.75,"$3,043",10,4,40%
45,46,Hunter Kelly,,64,79.50,"$6,363",8,4,50%
46,47,John Crimber,,60.50,89.00,"$3,307",2,2,100%
47,48,Christian Clay Oliveira,,59,80.70,"$1,958",21,5,23.81%
48,49,Chase Dougherty,,55,82.75,"$2,960",2,2,100%
49,49,Frederico Araujo Margarido,,55,81.75,"$2,451",13,4,30.77%
50,51,Luke Parkinson,,54.50,83.88,"$1,670",14,4,28.57%
51,52,Alex Junior da Silva,,49,81.90,$394,29,5,17.24%
52,53,Cody McCandless,,46,76.00,"$3,377",3,2,66.67%
53,54,Lucas Divino,,45.50,86.00,"$2,382",3,2,66.67%
54,55,Weslei Ferreira de Jesus,,44,81.83,$915,14,3,21.43%
55,56,Dawson Branton,,43.50,83.75,"$2,380",3,2,66.67%
56,57,Carlos André de Oliveira,,43,82.33,"$1,650",8,3,37.50%
57,58,Damien Krushall,,39.50,82.50,"$1,997",3,2,66.67%
58,59,Dawson Gleaves,,39,84.50,"$2,226",4,1,25%
59,59,Michael Lane,,39,83.00,"$2,054",3,1,33.33%
60,61,João Ricardo Vieira,,37,76.00,"$2,571",3,2,66.67%
61,61,Wyatt Nez,,37,78.75,"$3,210",6,2,33.33%
62,63,Alfredo Rubalcaba,,36.50,75.25,"$2,429",7,2,28.57%
63,64,Wallace Vieira de Oliveira,,36,86.50,"$2,174",26,1,3.85%
64,64,Carlos Gomes Junior,,36,87.00,"$2,174",4,1,25%
65,64,Ty Wainwright,,36,86.50,"$2,458",6,1,16.67%
66,67,Afonso Quintino,,35.50,84.50,"$1,534",5,1,20%
67,67,Ryder Carpenetti,,35.50,84.50,"$1,534",4,1,25%
68,69,Alex Jenks,,35,82.00,"$1,575",3,1,33.33%
69,70,Briggs Madsen,,34,84.00,"$1,451",2,1,50%
70,71,Jose Natanael Marcodes da Silva,,33,80.50,"$3,065",5,1,20%
71,72,Brady Fielder,,32,84.75,"$1,249",2,2,100%
72,73,Nicolas Hernandez,,29.50,83.50,"$1,897",2,1,50%
73,74,Mason Ward,,29,87.50,"$3,910",4,1,25%
74,75,Mossy Waite,,27,82.25,$537,9,2,22.22%
75,76,Caden Fitzpatrick,,26,84.50,"$1,643",1,1,100%
76,76,Murilo Henrique de Oliveira,,26,86.00,"$1,643",4,1,25%
77,76,Thomas Hudson,,26,85.50,"$1,591",3,1,33.33%
