,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Gustavo Luiz da Silva,,"1,552",83.60,"$311,345",81,61,75.31%
1,2,Riquelmi Silva,,995,85.04,"$139,006",73,42,57.53%
2,3,Warley Oliveira da Silva,,618,83.62,"$67,372",67,41,61.19%
3,4,Cleber Henrique Marques,,601,83.83,"$64,177",61,34,55.74%
4,5,Alex Oliveira,,532,85.04,"$39,752",67,33,49.25%
5,6,Hidelvan Ribeiro,,475.50,82.91,"$32,670",60,33,55%
6,7,Gabriel Morais,,426,83.30,"$50,688",58,34,58.62%
7,8,Elzisclay dos Santos,,422,84.47,"$66,928",40,27,67.50%
8,9,Vitor Manoel Dias,,412,83.19,"$38,585",46,26,56.52%
9,9,Cladson Rodolfo,,412,83.08,"$49,934",47,29,61.70%
10,11,Higor Moises Pereira,,409.50,82.25,"$31,689",52,28,53.85%
11,12,Carlos André de Oliveira,,401.50,83.68,"$42,927",36,22,61.11%
12,13,João Paulo Velasco,,399.50,83.19,"$83,362",27,21,77.78%
13,14,Tales Xavier,,397,80.97,"$39,659",70,34,48.57%
14,15,Jhon Carlos Moreira,,393.50,84.35,"$62,925",37,23,62.16%
15,16,Sandro Batista,,379,83.85,"$134,400",17,12,70.59%
16,17,Everton dos Santos,,378,82.73,"$24,061",64,30,46.88%
17,18,Lucas Junio da Silveira,,340.50,81.90,"$22,651",52,32,61.54%
18,19,Frederico Araujo Margarido,,332.50,82.56,"$28,217",47,27,57.45%
19,19,Romário Faustino de Oliveira,,332.50,82.53,"$19,028",70,31,44.29%
20,21,Andrei Scoparo,,316.50,84.92,"$51,553",22,12,54.55%
21,22,Alvaro da Cunha,,310.50,82.41,"$14,274",56,25,44.64%
22,23,Rogério Venâncio,,306.50,84.82,"$37,845",28,14,50%
23,24,Vitor Cassio de Assis,,262,82.74,"$12,791",68,18,26.47%
24,25,Weslei Mendes,,261,81.17,"$7,681",69,24,34.78%
25,26,Miguel de Jesus,,241,83.24,"$13,983",32,17,53.13%
26,26,Lucas Paiva,,241,84.32,"$18,318",25,15,60%
27,28,Rudmar Medeiros,,225,85.00,"$16,116",18,9,50%
28,29,Gilvan Freitas,,215,79.33,"$160,908",13,10,76.92%
29,30,Otniel da Silva,,213.50,81.88,"$21,816",35,20,57.14%
30,31,José de Castro,,189.50,86.97,"$14,040",12,8,66.67%
31,32,Vanderson dos Santos,,184,85.20,"$18,083",37,15,40.54%
