,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
111,112,Rubens Barbosa,,98.50,84.00,"$2,666",28,5,17.86%
112,113,Nate Hoey,,96,86.25,"$6,367",3,2,66.67%
113,114,Matt Allgood,,94.50,76.90,"$2,610",22,5,22.73%
114,115,Brady Fielder,,93,81.81,"$9,550",5,4,80%
115,115,Thor Hoefer II,,93,80.13,"$3,300",17,4,23.53%
116,115,Miguel de Jesus,,93,82.64,"$1,167",20,9,45%
117,118,Rudmar Medeiros,,92.50,86.71,"$2,490",10,6,60%
118,119,Pokey Houghton,,91,84.00,"$8,070",17,2,11.76%
119,120,Jared Parsonage,,90,84.38,"$2,950",7,4,57.14%
120,120,Douglas Lino de Souza,,90,79.83,"$4,260",28,3,10.71%
121,122,Chase Dougherty,,89,86.75,"$6,073",2,2,100%
122,122,Kelsey Pavlou,,89,83.42,"$3,193",5,3,60%
123,122,Jake Maher,,89,83.25,"$3,146",18,6,33.33%
124,125,Conner Halverson,,86.66,83.50,"$3,264",7,5,71.43%
125,126,Justin Ethridge,,86,83.50,"$2,010",27,4,14.81%
126,127,Lane Vaughan,,85,85.33,"$5,367",9,3,33.33%
127,128,Adriano Salgado,,84.50,85.17,"$3,340",9,3,33.33%
128,129,Alvaro da Cunha,,83.50,82.18,"$1,980",21,7,33.33%
129,130,Aaron Kleier,,82,86.75,"$2,541",5,2,40%
130,131,Tyler Craig,,81,82.75,"$2,667",18,4,22.22%
131,131,Lane Nobles,,81,84.60,"$2,232",14,5,35.71%
132,133,Adilson Junior,,79,84.00,"$2,376",39,5,12.82%
133,134,Clint Glass,,78,84.17,"$5,204",11,3,27.27%
134,135,João Paulo de Morais,,77,81.75,"$1,778",18,5,27.78%
135,135,Wyatt Nez,,77,82.50,"$4,785",18,3,16.67%
136,137,Brady Oleson,,76,85.75,"$6,965",6,2,33.33%
137,138,Dylan Smith,,73.50,84.33,"$2,450",22,3,13.64%
138,138,Dakota Warnken,,73.50,82.33,"$3,550",12,3,25%
139,140,Rafael Parra,,73,80.17,"$1,153",18,6,33.33%
140,140,Marco Ortiz,,73,84.75,"$3,330",15,4,26.67%
141,142,Gabriel Morais,,71.50,83.83,"$3,021",17,3,17.65%
142,143,Ashton Sahli,,70,86.00,"$3,584",16,2,12.50%
143,144,Felipe Furlan,,69,85.67,"$3,338",8,3,37.50%
144,144,Lucas Felix,,69,75.25,"$3,300",17,2,11.76%
145,146,Beau Willis,,68.50,83.67,"$5,479",17,3,17.65%
146,147,Cleber Henrique Marques,,67.50,78.81,$698,19,8,42.11%
