,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Cassio Dias,,"1,830.33",87.25,"$1,555,707",76,41,53.95%
1,2,John Crimber,,"1,591.83",87.88,"$595,165",66,29,43.94%
2,3,Eduardo Aparecido,,"1,060",86.61,"$332,410",70,30,42.86%
3,4,Dalton Kasel,,995,87.31,"$233,129",62,27,43.55%
4,5,Alan de Souza,,952.50,83.03,"$223,617",67,35,52.24%
5,6,Kaiden Loud,,897,86.63,"$358,742",62,19,30.65%
6,7,Sage Steele Kimzey,,856,88.00,"$466,984",39,14,35.90%
7,8,Brady Fielder,,851.16,84.52,"$277,087",69,25,36.23%
8,9,Kaique Pacheco,,708.33,86.11,"$178,639",46,19,41.30%
9,10,Koltin Hevalow,,625.50,85.02,"$142,768",68,22,32.35%
10,11,Thiago Salgado,,599,85.48,"$184,662",45,15,33.33%
11,12,Austin Richardson,,533.50,87.02,"$193,437",22,12,54.55%
12,13,João Ricardo Vieira,,504,86.93,"$108,402",53,18,33.96%
13,14,Caden Bunch,,476.83,86.71,"$130,264",53,14,26.42%
14,15,Daylon Swearingen,,461,86.17,"$91,274",64,18,28.13%
15,16,Cort McFadden,,429.50,85.25,"$114,135",51,19,37.25%
16,17,Leonardo Castro,,422.50,82.75,"$143,407",39,16,41.03%
17,18,Julio Cesar Marques,,411.32,83.96,"$52,893",65,19,29.23%
18,19,Cody Jesus,,338.50,87.68,"$62,003",44,11,25%
19,20,Alex Cerqueira,,337.50,84.34,"$49,025",62,17,27.42%
20,21,Keyshawn Whitehorse,,328.66,85.28,"$46,760",49,16,32.65%
21,22,Silvano Alves,,288.50,85.31,"$49,275",45,12,26.67%
22,23,Wingson Henrique da Silva,,272.83,80.38,"$63,151",37,16,43.24%
23,24,Vitor Losnake,,272.50,81.88,"$35,248",59,17,28.81%
24,25,Felipe Furlan,,256,84.17,"$39,389",54,13,24.07%
25,26,Mauricio Gulla Moreira,,240,84.90,"$34,680",58,13,22.41%
26,27,Clay Guiton,,238.66,85.98,"$34,232",26,11,42.31%
27,28,Boudreaux Campbell,,233.50,85.45,"$25,143",59,11,18.64%
28,28,Paulo Eduardo Rossetto,,233.50,82.30,"$29,815",63,16,25.40%
29,30,Dener Barbosa,,231.50,83.50,"$46,523",25,7,28%
30,31,Ednélio Rodrigues,,231,84.60,"$22,480",62,15,24.19%
31,32,Wyatt Rogers,,225.50,84.75,"$30,184",45,10,22.22%
32,33,Jesse Petri,,216,85.88,"$24,553",60,13,21.67%
33,34,Andrew Alvidrez,,211.33,87.14,"$37,492",40,7,17.50%
34,35,Mason Taylor,,207.50,86.53,"$31,418",37,10,27.03%
35,36,Jose Vitor Leme,,200,86.69,"$25,914",14,9,64.29%
36,37,Bob Mitchell,,196,82.58,"$16,978",60,16,26.67%
37,38,Conner Halverson,,194,85.68,"$19,005",56,10,17.86%
38,39,Ezekiel Mitchell,,185.50,86.00,"$26,652",44,10,22.73%
39,40,Kyler Oliver,,178.33,85.13,"$27,850",30,8,26.67%
40,41,Marco Rizzo,,147.83,85.95,"$24,738",16,5,31.25%
41,42,Callum Miller,,147.50,84.75,"$21,500",37,5,13.51%
42,43,Luciano De Castro,,137.33,85.41,"$14,353",34,8,23.53%
43,44,Eli Vastbinder,,105.83,83.65,"$4,550",36,10,27.78%
44,45,Dawson Branton,,105,86.50,"$26,243",24,6,25%
45,46,Braidy Randolph,,92.50,86.35,"$10,321",14,5,35.71%
46,47,Lucas Divino,,88,84.79,"$7,660",28,6,21.43%
47,48,JaCauy Hale,,81,87.19,"$18,887",21,4,19.05%
48,49,Brady Oleson,,70.83,84.75,"$3,892",26,6,23.08%
49,50,Ederson Santos,,68,84.25,"$4,133",8,4,50%
50,51,Jake Morinec,,57.50,83.67,"$9,044",20,3,15%
51,52,Shane Scott,,49.50,87.17,"$12,374",11,3,27.27%
52,53,Flavio Zivieri,,42,83.25,"$5,500",17,3,17.65%
53,53,João Lucas Campos,,42,85.50,"$3,723",19,3,15.79%
54,55,Qynn Andersen,,40,86.75,"$10,333",6,1,16.67%
55,56,Claudio Montanha Jr.,,38,87.50,"$10,500",8,1,12.50%
56,57,Rafael dos Santos,,31,87.50,"$8,413",11,2,18.18%
57,58,Guilherme Valleiras,,30,77.75,"$5,046",9,3,33.33%
58,59,Marco Eguchi,,25,85.88,"$1,225",11,2,18.18%
59,60,Jake Gardner,,23.50,84.63,"$1,450",7,2,28.57%
60,61,Ramon de Lima,,17,84.58,"$1,500",6,3,50%
61,62,Nick Tetz,,15,85.75,$700,14,1,7.14%
62,63,Michael Lane,,13,79.88,"$1,500",9,2,22.22%
63,64,João Henrique Lucas,,12,86.13,$400,6,2,33.33%
64,65,Daniel Keeping,,11.50,84.88,"$4,533",25,4,16%
65,66,José de Castro,,11,83.00,$0,7,1,14.29%
66,67,Warley Oliveira da Silva,,9,85.00,$0,4,1,25%
67,68,Trace Redd,,8,61.63,$0,14,2,14.29%
68,69,Chase Dougherty,,0,74.50,$0,2,1,50%
69,69,Casey Roberts,,0,0.00,$0,3,0,0%
70,69,Briggs Madsen,,0,0.00,$0,9,0,0%
71,69,Ednei Caminhas,,0,0.00,$0,9,0,0%
