,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Jean Fernandes Pereira,,330.83,83.30,"$15,108",26,15,57.69%
1,2,Jake Morinec,,284,86.83,"$18,124",8,6,75%
2,2,João Henrique Lucas,,284,83.63,"$26,522",18,8,44.44%
3,4,Guilherme Valleiras,,257,85.22,"$12,322",15,9,60%
4,5,Elizmar Jeremias,,225.50,85.50,"$13,023",13,8,61.54%
5,6,Thiago Salgado,,195.50,83.95,"$8,002",19,11,57.89%
6,7,Lucas Fideles Souza,,194,84.19,"$11,380",22,8,36.36%
7,8,Bill Henry,,184,84.00,"$9,816",8,4,50%
8,9,Cort McFadden,,179,84.14,"$8,989",8,7,87.50%
9,10,Leandro Zampollo,,178.66,83.00,"$7,793",28,11,39.29%
10,11,Ederson Santos,,173,82.65,"$6,710",17,10,58.82%
11,12,Dener Barbosa,,166,80.86,"$7,502",13,7,53.85%
12,13,Cassio Dias,,163.50,84.36,"$7,377",11,7,63.64%
13,14,Ednélio Rodrigues,,162.50,83.29,"$6,633",14,7,50%
14,15,Warley Oliveira da Silva,,158,82.50,"$8,566",9,4,44.44%
15,16,Alex Cerqueira,,142,83.79,"$6,877",17,7,41.18%
16,17,Leonardo Castro,,127.50,83.13,"$4,840",13,8,61.54%
17,18,Ezekiel Mitchell,,123.50,85.88,"$5,789",4,4,100%
18,19,Marcelo Procopio Pereira,,121,84.50,"$6,936",25,6,24%
19,20,Keyshawn Whitehorse,,120.83,84.00,"$4,731",13,7,53.85%
20,21,Daniel Keeping,,119,85.40,"$7,190",9,5,55.56%
21,22,João Ricardo Vieira,,118,82.50,"$9,804",2,2,100%
22,23,Lorenzo Lopez,,116.50,82.50,"$6,416",10,5,50%
23,24,Lucas Divino,,116,83.33,"$5,390",9,6,66.67%
24,25,Paulo Eduardo Rossetto,,115.50,83.58,"$5,997",16,6,37.50%
25,26,Deklan Garland,,113,83.33,"$5,883",3,3,100%
26,27,Donnie Rutherfurd,,112.50,83.50,"$6,172",11,5,45.45%
27,28,Leonardo Lima,,111.50,84.88,"$6,042",20,4,20%
28,29,Claudio Montanha Jr.,,108.83,83.83,"$5,065",16,6,37.50%
29,30,Davi Henrique de Lima,,106.50,79.67,"$6,414",9,6,66.67%
30,31,Alvaro Ariel,,103,85.25,"$5,731",12,4,33.33%
31,32,John Crimber,,100,86.17,"$5,754",5,3,60%
32,33,Alex Junior da Silva,,99.50,84.10,"$4,601",19,5,26.32%
33,34,Colton Dougherty,,98,83.20,"$5,995",11,5,45.45%
34,35,Tyler Manor,,97,80.83,"$13,578",4,3,75%
35,36,Nate Hoey,,96,86.25,"$6,367",3,2,66.67%
36,37,Chase Dougherty,,89,86.75,"$6,073",2,2,100%
37,37,Marco Rizzo,,89,84.88,"$4,271",10,4,40%
38,39,Grayson Cole,,88,83.50,"$4,441",16,4,25%
39,40,Cladson Rodolfo,,87.33,83.00,"$5,072",5,3,60%
40,41,Lane Vaughan,,85,85.33,"$5,367",9,3,33.33%
41,42,Garrett Jones,,79,83.83,"$4,363",10,3,30%
42,42,Adilson Junior,,79,84.00,"$2,376",29,5,17.24%
43,44,Brady Oleson,,76,85.75,"$6,965",5,2,40%
44,45,Eric Henrique Domingos,,75.33,83.38,"$3,337",15,4,26.67%
45,46,Dalton Rudman,,74,77.50,"$3,907",5,2,40%
46,47,Marco Ortiz,,73,84.75,"$3,330",15,4,26.67%
47,48,Felipe Furlan,,69,85.67,"$3,338",8,3,37.50%
48,49,Brylee Smith,,64,85.50,"$2,906",6,1,16.67%
49,50,Winston Lopez,,62,87.00,"$3,498",2,2,100%
50,50,Clayton Sellars,,62,85.75,"$8,917",3,2,66.67%
51,52,Bruno Carvalho,,61.50,75.63,"$3,262",10,4,40%
52,53,Julio Cesar Marques,,60,81.50,"$1,783",11,5,45.45%
53,54,Matt Palmer,,59,84.00,"$4,131",4,2,50%
54,55,Ednei Caminhas,,58.83,83.38,"$1,425",14,4,28.57%
55,55,Mauricio Gulla Moreira,,58.83,83.25,"$1,904",8,4,50%
56,57,Dawson Branton,,58.50,86.75,"$3,214",6,2,33.33%
57,58,Avery Mullins,,57.33,81.25,"$2,710",6,4,66.67%
58,59,Gabriel Morais,,57,84.00,"$3,021",11,2,18.18%
59,60,Wyatt Nez,,55.50,83.25,"$4,245",10,2,20%
60,61,Guthrie Long,,53.50,84.17,"$2,373",16,3,18.75%
