,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Nick Tetz,,"1,485.50",84.38,"$249,622",61,34,55.74%
1,2,Cody Coverchuk,,"1,201.25",84.37,"$91,124",61,34,55.74%
2,3,Dakota Buttar,,608.75,84.52,"$40,231",47,21,44.68%
3,4,Coy Robbins,,568,83.25,"$48,098",50,25,50%
4,5,Ashton Sahli,,526.50,83.61,"$46,080",52,19,36.54%
5,6,Callum Miller,,519,83.98,"$51,667",18,11,61.11%
6,7,Weston Davidson,,463.50,84.04,"$33,235",52,12,23.08%
7,8,Chanse Switzer,,443.33,83.62,"$33,534",57,17,29.82%
8,9,Jared Parsonage,,435.16,83.63,"$29,337",30,12,40%
9,10,Jordan Hansen,,424,83.03,"$27,620",32,17,53.13%
10,11,Aaron Roy,,405,82.28,"$30,803",67,20,29.85%
11,11,Jake Gardner,,405,85.84,"$25,132",16,8,50%
12,13,Gilmar Santana,,382.50,83.32,"$22,799",42,14,33.33%
13,14,Tyler Craig,,376.66,83.00,"$20,062",64,17,26.56%
14,15,Garrett Green,,325,82.06,"$23,606",30,13,43.33%
15,16,Tanner Eno,,284,84.14,"$13,576",26,9,34.62%
16,17,John Crimber,,283,88.38,"$16,300",4,4,100%
17,18,Boudreaux Campbell,,263,85.17,"$17,171",6,3,50%
18,19,Stefan Tonita,,209.25,82.30,"$9,071",41,10,24.39%
19,20,Wyatt Gleeson,,182,81.50,"$11,455",34,7,20.59%
20,21,Cody Fraser,,169,78.88,"$9,053",47,8,17.02%
21,22,Boston Leather,,160,85.00,"$15,250",4,3,75%
22,23,Colten Fritzlan,,125.25,85.67,"$3,900",3,3,100%
23,24,Cauy Schmidt,,123.33,79.71,"$9,326",34,7,20.59%
24,25,Brock Radford,,104.50,78.00,"$5,473",20,4,20%
25,26,Wade Marshall,,104,82.63,"$7,189",25,4,16%
26,26,Dixon Tattrie,,104,82.25,"$9,355",28,6,21.43%
27,28,Alison dos Santos,,82.16,77.45,"$4,866",16,5,31.25%
28,29,Chad Hartman,,80,81.30,"$4,005",40,5,12.50%
29,30,Eric O'Flynn,,78.50,80.40,"$3,198",18,5,27.78%
30,31,Donnie Rutherfurd,,73,83.13,"$7,853",6,4,66.67%
31,32,Griffin Koester,,68,80.50,"$3,627",35,7,20%
32,33,Dusty Golden,,64.50,82.83,"$4,030",23,3,13.04%
33,34,William Barrows,,63,77.20,"$6,518",19,5,26.32%
34,35,Lonnie West,,62,83.50,"$5,716",8,3,37.50%
35,36,Jake Maher,,52,82.67,"$3,304",4,3,75%
36,37,Toby Adams,,43,83.50,"$3,609",11,2,18.18%
37,38,Andrew Alvidrez,,41.33,85.00,"$5,383",7,2,28.57%
38,39,Trace Redd,,40,84.50,"$3,225",4,2,50%
39,40,Ky Hamilton,,39,85.50,"$2,875",2,1,50%
40,41,Marshall Senger,,36.50,83.25,"$1,127",11,2,18.18%
41,42,Fabian Dueck,,36,80.75,$630,13,2,15.38%
42,42,Grady Young,,36,86.00,"$3,830",6,1,16.67%
43,44,Justin Van de Kemp,,33,80.50,"$1,571",3,1,33.33%
44,45,Micheal Ostashek,,28.50,80.67,"$1,599",9,3,33.33%
45,46,Keaton Martz,,24,74.88,$998,27,4,14.81%
46,47,Wyatt Laughlin,,20.50,83.50,$570,10,1,10%
47,48,Auzyn Corr,,18,88.00,"$1,668",11,1,9.09%
48,48,Cody Teel,,18,82.75,$0,3,1,33.33%
49,48,Koltin Hevalow,,18,85.00,$0,2,1,50%
50,51,Ben Bode,,16,81.75,$0,4,1,25%
51,52,Wyatt Rogers,,15,80.00,"$2,338",8,1,12.50%
52,53,Dawson Shannon,,12.50,83.50,$0,12,1,8.33%
53,54,Elijah Mora,,11,81.00,$510,3,1,33.33%
54,54,Wyatt Fennig,,11,78.50,$164,8,1,12.50%
55,56,Tyson Salmon,,3,75.00,$208,5,1,20%
56,57,Carter Sahli,,2,75.50,$244,24,1,4.17%
57,58,Daylon Swearingen,,0,0.00,$0,2,0,0%
58,58,Tim Lipsett,,0,0.00,$0,6,0,0%
59,58,Tanner Skene,,0,0.00,$0,6,0,0%
60,58,Cole Young,,0,0.00,$0,7,0,0%
61,58,Jett Lambert,,0,0.00,$0,1,0,0%
62,58,Orrin Marshall,,0,0.00,$0,9,0,0%
63,58,Elijah Gordon,,0,0.00,$0,32,0,0%
64,58,Brahmer Gaehring,,0,0.00,$0,16,0,0%
65,58,Brayden Shore,,0,0.00,$0,15,0,0%
66,58,Clay Gordon,,0,0.00,$0,6,0,0%
67,58,Zachery King,,0,0.00,$0,4,0,0%
68,58,Tyler Ewart,,0,0.00,$0,2,0,0%
69,58,Chad Neufeld,,0,0.00,$0,3,0,0%
70,58,Charlie Yahey,,0,0.00,$0,1,0,0%
71,58,Coy Doore,,0,0.00,$0,5,0,0%
72,58,Kelvin Hillier,,0,0.00,$0,8,0,0%
73,58,Edgardo Figueroa,,0,0.00,$0,5,0,0%
74,58,Trey Buettner,,0,0.00,$0,6,0,0%
75,58,Austin Paley,,0,0.00,$0,7,0,0%
76,58,Trinity Bear,,0,0.00,$0,5,0,0%
77,58,Tristen Manning,,0,0.00,$0,5,0,0%
78,58,Pokey Houghton,,0,0.00,$0,3,0,0%
79,58,Gage Hillis,,0,0.00,$0,3,0,0%
80,58,Ashten Hawtin,,0,0.00,$0,3,0,0%
81,58,Joao Jacob,,0,0.00,$0,2,0,0%
82,58,Jesse Ozirney,,0,0.00,$0,3,0,0%
83,58,Payton Konkel,,0,0.00,$0,3,0,0%
84,58,Mason Ward,,0,0.00,$0,2,0,0%
85,58,Beau Gardner,,0,0.00,$0,1,0,0%
86,58,Lonnie Phillips,,0,0.00,$0,1,0,0%
87,58,Billy Stuart,,0,0.00,$0,2,0,0%
88,58,James Mackie,,0,0.00,$0,1,0,0%
89,58,Tryce Cowboy Chief Moon,,0,0.00,$0,2,0,0%
90,58,Ian Lush,,0,0.00,$0,2,0,0%
91,58,Tyan Mailer,,0,0.00,$0,2,0,0%
92,58,Skyler Bearcheif,,0,0.00,$0,2,0,0%
93,58,Emmitt Twigg,,0,0.00,$0,2,0,0%
94,58,Riel Bruised Head,,0,0.00,$0,2,0,0%
95,58,Brady Smith,,0,0.00,$0,1,0,0%
96,58,Drake Wasieczko,,0,0.00,$0,1,0,0%
97,58,Zane Tully,,0,0.00,$0,4,0,0%
