,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Rogério Venâncio,,721,85.74,"$169,059",32,26,81.25%
1,2,Anderson de Oliveira,,704.50,85.02,"$174,469",39,30,76.92%
2,3,Carlos André de Oliveira,,691.50,84.80,"$51,351",52,33,63.46%
3,4,Deivid de Souza,,572.50,84.83,"$44,023",34,27,79.41%
4,5,Vitor Manoel Dias,,552.50,84.85,"$49,358",26,20,76.92%
5,6,Elton Toledo,,518.25,82.69,"$61,246",76,41,53.95%
6,7,Eric Henrique Domingos,,487,83.56,"$122,835",50,29,58%
7,8,Andrei Scoparo,,456,83.96,"$48,703",36,28,77.78%
8,9,Emerson Lopes,,454.83,82.22,"$38,356",79,39,49.37%
9,10,Rudmar Medeiros,,438,85.18,"$46,736",52,29,55.77%
10,11,Leandro Zampollo,,428.50,84.36,"$31,311",46,24,52.17%
11,12,Yan Victor Cunha,,412.50,81.98,"$31,623",56,35,62.50%
12,13,Miguel de Jesus,,408.50,84.44,"$28,178",73,36,49.32%
13,14,Warley Oliveira da Silva,,403.25,82.97,"$42,378",58,35,60.34%
14,15,Cleber Henrique Marques,,399,82.94,"$41,518",46,27,58.70%
15,16,José de Castro,,394.50,84.39,"$44,030",39,22,56.41%
16,17,Paulo Henrique da Silva,,361.50,82.37,"$28,935",36,25,69.44%
17,18,João Paulo de Morais,,334,81.86,"$25,973",63,29,46.03%
18,19,Lucas Martins Costa,,324,82.63,"$56,685",34,20,58.82%
19,20,Afonso Quintino,,297.50,85.13,"$35,618",28,18,64.29%
20,21,Lucas Junio da Silveira,,296.50,83.94,"$14,561",50,27,54%
21,22,Vinicius Pinheiro Correa,,295.50,81.51,"$28,046",41,28,68.29%
22,23,Frederico Araujo Margarido,,286,85.50,"$36,073",34,21,61.76%
23,24,Winy dos Santos,,285.50,84.62,"$32,145",40,19,47.50%
24,25,Weslei Mendes,,240.50,85.48,"$26,168",23,15,65.22%
25,26,Vitor Cassio de Assis,,232,82.35,"$9,196",57,20,35.09%
26,27,Guilherme Valleiras,,231.50,84.83,"$18,670",14,12,85.71%
27,28,Ramon Fiorini,,227.75,82.63,"$14,001",40,26,65%
28,29,Alan de Souza,,201.50,81.31,"$95,880",10,8,80%
29,30,Matheus Lima dos Santos,,196,83.46,"$27,869",30,17,56.67%
30,31,Eikson Pereira,,192.50,83.96,"$19,765",26,13,50%
31,32,Alvaro da Cunha,,191.50,79.80,"$12,710",52,21,40.38%
32,33,Rafael Parra,,174,81.29,"$22,640",41,14,34.15%
33,34,Murilo Henrique de Oliveira,,164.50,81.19,"$13,950",18,13,72.22%
34,35,Romário Faustino de Oliveira,,159,81.09,"$7,400",43,17,39.53%
35,36,Jordans Jordão Jr.,,153.50,84.52,"$7,858",31,14,45.16%
36,36,Vanderson dos Santos,,153.50,79.02,"$13,890",31,14,45.16%
