,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Cody Coverchuk,,746,83.63,"$44,854",38,19,50%
1,2,Nick Tetz,,712,83.86,"$50,900",42,19,45.24%
2,3,Anderson de Oliveira,,631.16,84.52,"$35,627",39,29,74.36%
3,4,Andrei Scoparo,,627,81.82,"$29,634",50,29,58%
4,5,Rogério Venâncio,,580.50,85.24,"$11,093",40,29,72.50%
5,6,Julio Cesar Marques,,548.75,82.38,"$32,732",26,15,57.69%
6,7,Dustin Martinez,,539.25,84.25,"$36,091",43,12,27.91%
7,8,Cleber Henrique Marques,,539,84.55,"$15,541",38,27,71.05%
8,9,Carlos André de Oliveira,,526.50,84.40,"$5,128",51,31,60.78%
9,10,Guilherme Valleiras,,468.50,86.67,"$20,776",29,12,41.38%
10,11,Boston Leather,,466,82.99,"$31,523",40,17,42.50%
11,12,Claudio Montanha Jr.,,441.83,82.06,"$26,970",35,9,25.71%
12,13,Dustin Herman,,434.33,82.54,"$24,597",66,13,19.70%
13,14,Brandon Chambers,,419.50,80.50,"$24,155",39,13,33.33%
14,15,Deivid de Souza,,391.50,84.13,"$6,315",38,25,65.79%
15,16,Miguel de Jesus,,390,84.80,"$5,146",51,29,56.86%
16,17,Bob Mitchell,,380.16,81.88,"$27,881",22,13,59.09%
17,18,Alex Cerqueira,,379.50,84.18,"$20,242",20,7,35%
18,19,Vitor Manoel Dias,,373,84.71,"$6,748",33,23,69.70%
19,20,Coy Robbins,,372.50,82.75,"$25,407",36,18,50%
20,21,Rudmar Medeiros,,372,84.39,"$6,376",48,26,54.17%
21,22,Dakota Buttar,,371,84.38,"$21,262",31,12,38.71%
22,23,Ezekiel Mitchell,,369.50,84.33,"$65,896",24,9,37.50%
23,24,Frederico Araujo Margarido,,360,84.97,"$8,610",38,27,71.05%
24,25,Weston Davidson,,359,84.35,"$21,572",37,10,27.03%
25,26,Lucas Junio da Silveira,,345.50,83.59,"$3,083",50,33,66%
26,27,Eric Henrique Domingos,,314.50,83.78,"$23,524",19,10,52.63%
27,28,Aaron Roy,,308.50,82.04,"$18,302",48,14,29.17%
28,29,Elijah Monnett,,305.50,83.75,"$21,387",21,8,38.10%
29,30,Jared Parsonage,,303.16,83.39,"$18,552",26,9,34.62%
30,31,Callum Miller,,296,83.25,"$16,312",16,8,50%
31,32,Jordan Hansen,,291.50,82.80,"$15,325",18,10,55.56%
32,33,Macaulie Leather,,283.65,83.42,"$16,028",34,12,35.29%
