#,Rider,Points,Avg Score,Prize $,Outs,Rides,Ride %,tour,year
58,Keith Hall,13.0,85.0,7567.0,15,1,6.67,unleash_the_best,2020
59,Wallace Vieira de Oliveira,12.0,88.5,6617.0,16,1,6.25,unleash_the_best,2020
60,Bruno Scaranello,11.33,87.25,3967.0,7,1,14.29,unleash_the_best,2020
61,Leandro Machado,8.0,86.5,2350.0,5,1,20.0,unleash_the_best,2020
62,Brady Sims,6.5,85.13,7700.0,25,2,8.0,unleash_the_best,2020
63,Alex Cardozo,6.0,87.5,0.0,4,1,25.0,unleash_the_best,2020
64,Nathan Burtenshaw,5.5,86.0,1875.0,4,1,25.0,unleash_the_best,2020
64,Valdiron de Oliveira,5.5,86.75,1103.0,3,1,33.33,unleash_the_best,2020
66,Michael Lane,3.0,84.5,2200.0,12,2,16.67,unleash_the_best,2020
66,Kyle Jones,3.0,84.25,2548.0,7,1,14.29,unleash_the_best,2020
68,Chase Dougherty,2.5,86.0,400.0,3,1,33.33,unleash_the_best,2020
69,Jared Parsonage,0.5,82.0,600.0,2,1,50.0,unleash_the_best,2020
69,Andre da Cruz de Souza,0.5,85.75,400.0,5,1,20.0,unleash_the_best,2020
71,Alan de Souza,0.0,70.25,1400.0,7,3,42.86,unleash_the_best,2020
71,Rubens Barbosa,0.0,76.63,4800.0,15,2,13.33,unleash_the_best,2020
71,Scottie Knapp,0.0,0.0,1200.0,6,0,0.0,unleash_the_best,2020
71,Koal Livingston,0.0,82.75,600.0,1,1,100.0,unleash_the_best,2020
71,Lawson Nobbs,0.0,0.0,800.0,5,0,0.0,unleash_the_best,2020
71,Cody Campbell,0.0,0.0,4100.0,14,0,0.0,unleash_the_best,2020
71,Lindomar Lino,0.0,0.0,1500.0,4,0,0.0,unleash_the_best,2020
71,Shay Marks,0.0,0.0,400.0,3,0,0.0,unleash_the_best,2020
71,Grayson Cole,0.0,0.0,5100.0,14,0,0.0,unleash_the_best,2020
71,Devon Weaver,0.0,0.0,2800.0,9,0,0.0,unleash_the_best,2020
71,Joseph McConnel,0.0,0.0,2400.0,8,0,0.0,unleash_the_best,2020
71,Tyler Werner,0.0,0.0,400.0,4,0,0.0,unleash_the_best,2020
71,Troy Wilkinson,0.0,0.0,400.0,2,0,0.0,unleash_the_best,2020
71,Brady Portenier,0.0,0.0,1500.0,2,0,0.0,unleash_the_best,2020
71,Romildo Rodrigues,0.0,0.0,1500.0,2,0,0.0,unleash_the_best,2020
71,Alex Santana,0.0,0.0,600.0,1,0,0.0,unleash_the_best,2020
71,Venn Johns,0.0,0.0,1500.0,2,0,0.0,unleash_the_best,2020
1,Aaron Kleier,679.83,84.65,56132.0,35,23,65.71,pbr_australia,2021
2,Brady Fielder,431.82,85.13,17266.0,32,15,46.88,pbr_australia,2021
3,Kurt Shephard,389.0,84.23,17465.0,31,16,51.61,pbr_australia,2021
4,Macaulie Leather,377.5,84.25,12783.0,35,12,34.29,pbr_australia,2021
5,Lawson Nobbs,351.33,82.95,14438.0,32,16,50.0,pbr_australia,2021
6,Lachlan Richardson,315.0,84.04,13394.0,32,12,37.5,pbr_australia,2021
7,Sam Woodall,276.0,83.32,15858.0,26,11,42.31,pbr_australia,2021
8,Beau Willis,154.0,81.33,6759.0,19,3,15.79,pbr_australia,2021
9,Bailey Woodard,149.0,84.9,6508.0,17,5,29.41,pbr_australia,2021
10,Lachlan Slade,136.5,85.33,10082.0,16,6,37.5,pbr_australia,2021
11,Joshua Jones,113.0,80.88,2917.0,17,6,35.29,pbr_australia,2021
12,Troy Wilkinson,112.5,84.13,3891.0,21,4,19.05,pbr_australia,2021
13,Kelsey Pavlou,106.5,80.57,2796.0,23,7,30.43,pbr_australia,2021
14,Qynn Andersen,83.16,83.33,2481.0,17,3,17.65,pbr_australia,2021
15,Lane Mellers,77.5,83.83,4208.0,20,6,30.0,pbr_australia,2021
16,Caiden Sandilands,72.99,83.25,1477.0,28,4,14.29,pbr_australia,2021
17,Mitchel Paton,71.0,82.75,2092.0,19,5,26.32,pbr_australia,2021
18,Jake Curr,61.0,82.63,2733.0,11,2,18.18,pbr_australia,2021
19,Dan Ruhland,58.5,83.63,1359.0,24,4,16.67,pbr_australia,2021
20,Cody Heffernan,52.5,83.67,2176.0,11,3,27.27,pbr_australia,2021
21,Taran Chirgwin,47.0,81.25,1560.0,24,4,16.67,pbr_australia,2021
22,Daniel Rogan,24.83,81.5,295.0,6,2,33.33,pbr_australia,2021
23,Joe Down,19.5,82.67,755.0,14,3,21.43,pbr_australia,2021
24,Cody Fraser,10.5,79.75,296.0,4,2,50.0,pbr_australia,2021
25,Trefor Sproule,10.0,81.75,0.0,8,2,25.0,pbr_australia,2021
26,Wyatt Milgate,8.0,77.5,0.0,18,1,5.56,pbr_australia,2021
27,Lane Howlett,6.0,77.5,0.0,14,1,7.14,pbr_australia,2021
28,Josh Cavanagh,3.5,78.5,0.0,3,1,33.33,pbr_australia,2021
29,Jackson Gray,0.0,0.0,0.0,1,0,0.0,pbr_australia,2021
29,Ty Thomson,0.0,0.0,0.0,8,0,0.0,pbr_australia,2021
29,Zane Hall,0.0,0.0,0.0,6,0,0.0,pbr_australia,2021
29,Michael Smith,0.0,0.0,0.0,4,0,0.0,pbr_australia,2021
29,Eli Bee,0.0,0.0,0.0,4,0,0.0,pbr_australia,2021
29,Jack Keats,0.0,0.0,0.0,8,0,0.0,pbr_australia,2021
29,Thomas Hudson,0.0,0.0,0.0,6,0,0.0,pbr_australia,2021
29,Bryn Francis,0.0,0.0,0.0,5,0,0.0,pbr_australia,2021
29,Isaac Leclair,0.0,0.0,0.0,4,0,0.0,pbr_australia,2021
29,Clay Hall,0.0,0.0,0.0,4,0,0.0,pbr_australia,2021
29,Sam Spencer,0.0,0.0,0.0,5,0,0.0,pbr_australia,2021
29,Luke Parkinson,0.0,0.0,0.0,2,0,0.0,pbr_australia,2021
29,Ben Graving,0.0,0.0,0.0,2,0,0.0,pbr_australia,2021
29,Jack Cameron,0.0,0.0,0.0,2,0,0.0,pbr_australia,2021
29,Oscar Leake,0.0,0.0,0.0,1,0,0.0,pbr_australia,2021
29,Brumby Brandenburg,0.0,0.0,0.0,1,0,0.0,pbr_australia,2021
29,Sam Payne,0.0,0.0,0.0,4,0,0.0,pbr_australia,2021
29,Chris Wilson,0.0,0.0,0.0,4,0,0.0,pbr_australia,2021
29,Jono Couling,0.0,0.0,0.0,2,0,0.0,pbr_australia,2021
29,Derryn Bonisch,0.0,0.0,0.0,1,0,0.0,pbr_australia,2021
29,JN Bennett,0.0,0.0,0.0,1,0,0.0,pbr_australia,2021
1,Fabrício Gomes,0.0,83.17,7035.0,3,3,100.0,pbr_brazil,2021
1,Cassio Dias,0.0,83.08,4060.0,3,3,100.0,pbr_brazil,2021
1,Wingson Henrique da Silva,0.0,80.58,2205.0,3,3,100.0,pbr_brazil,2021
