,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Cody Heffernan,,967.50,84.59,"$122,802",59,28,47.46%
1,2,Aaron Kleier,,965,85.25,"$90,441",47,32,68.09%
2,3,Lachlan Richardson,,648,83.89,"$53,464",60,23,38.33%
3,4,Qynn Andersen,,645,83.67,"$81,606",52,26,50%
4,5,Jake Curr,,419.83,83.34,"$28,957",28,14,50%
5,6,Brady Fielder,,388.50,84.45,"$21,352",19,11,57.89%
6,7,Kelsey Pavlou,,326.50,81.36,"$18,524",44,14,31.82%
7,8,Braith Nock,,226.50,82.75,"$15,120",47,13,27.66%
8,9,Will Purcell,,219,81.40,"$11,802",31,10,32.26%
9,10,Lachlan Slade,,191.33,83.94,"$13,287",36,9,25%
10,11,Kurt Shephard,,184.50,83.50,"$14,473",20,7,35%
11,12,Thomas Hudson,,149,72.83,"$8,245",29,3,10.34%
12,13,Michael Smith,,141.83,82.39,"$12,033",27,9,33.33%
13,14,Trefor Sproule,,138.50,81.71,"$6,085",32,7,21.88%
14,15,Brumby Brandenburg,,121.50,81.25,"$9,682",33,6,18.18%
15,16,Jay Borghero,,110,85.75,"$5,681",11,2,18.18%
16,17,Ben Moran,,108,81.58,"$6,086",40,6,15%
17,18,Caiden Sandilands,,95,84.40,"$5,957",27,5,18.52%
18,19,Chris Wilson,,77,83.88,"$5,546",13,4,30.77%
19,20,Jackson Gray,,62,79.75,"$2,239",31,8,25.81%
20,21,Nathan Burtenshaw,,60.50,83.25,"$2,642",12,4,33.33%
21,22,Brock Radford,,60,87.50,"$4,500",3,1,33.33%
22,23,Bailey Woodard,,45,84.50,"$2,381",3,1,33.33%
23,24,Sam Woodall,,42,84.50,"$1,814",15,1,6.67%
24,25,Beau Willis,,37,81.38,"$3,317",34,4,11.76%
25,26,Taran Chirgwin,,31,84.63,"$3,530",39,4,10.26%
26,26,Clint Glass,,31,83.17,"$4,265",12,3,25%
27,28,Nick Tetz,,27.50,85.00,"$2,850",3,1,33.33%
28,29,Jono Couling,,27,78.17,"$4,462",33,3,9.09%
29,30,Jack Keats,,24.50,80.63,"$1,788",22,4,18.18%
30,31,Chris Borghero,,19,80.75,"$1,026",13,2,15.38%
31,32,Bradley Wheeler,,10,84.50,"$1,658",16,2,12.50%
32,33,Dan Ruhland,,9.50,79.50,$0,19,2,10.53%
33,34,Clay Hall,,9,81.00,"$1,205",8,2,25%
34,34,Brody Woodard,,9,78.50,$0,12,2,16.67%
35,34,Tyson Smith,,9,81.50,"$1,373",8,1,12.50%
36,37,Wyatt Milgate,,7.50,80.50,$0,19,1,5.26%
37,38,Philippi Braga,,4,76.75,$610,4,2,50%
38,39,Luke Wicks,,3,82.00,$0,2,1,50%
39,40,Lawson Nobbs,,0,0.00,$0,2,0,0%
40,40,Lane Mellers,,0,0.00,$0,9,0,0%
41,40,Joe Down,,0,0.00,$0,4,0,0%
42,40,Cody Fraser,,0,0.00,$0,5,0,0%
43,40,Bryn Francis,,0,76.00,$0,9,1,11.11%
44,40,Zane Hall,,0,74.00,$0,6,1,16.67%
45,40,Oscar Leake,,0,0.00,$0,18,0,0%
46,40,JN Bennett,,0,0.00,$0,4,0,0%
47,40,Derryn Bonisch,,0,0.00,$0,2,0,0%
48,40,Joey Buckingham,,0,75.00,$0,13,1,7.69%
49,40,Italo Aguilar,,0,79.00,$0,8,1,12.50%
50,40,Toby Leake,,0,0.00,$0,16,0,0%
51,40,Steven Carter,,0,0.00,$0,13,0,0%
52,40,Harry Bridges,,0,0.00,$0,7,0,0%
53,40,Darius webb,,0,0.00,$0,3,0,0%
54,40,Will Watson,,0,0.00,$0,4,0,0%
55,40,Josh Dallas,,0,0.00,$0,4,0,0%
56,40,Blayne Johnson,,0,0.00,$0,4,0,0%
57,40,Ben Gard,,0,0.00,$0,3,0,0%
58,40,Luke Smith,,0,0.00,$0,5,0,0%
59,40,Eli Toby,,0,0.00,$0,4,0,0%
60,40,Ben Reiter,,0,0.00,$0,3,0,0%
61,40,Hayden Davis,,0,0.00,$0,2,0,0%
62,40,Lane Hindmarsh,,0,0.00,$0,3,0,0%
63,40,Cody Groves,,0,0.00,$0,2,0,0%
64,40,Quinton Kammann,,0,0.00,$0,2,0,0%
65,40,Jesse Wade,,0,0.00,$0,2,0,0%
66,40,Sean Lynch,,0,0.00,$0,2,0,0%
67,40,James Stockdale,,0,0.00,$0,2,0,0%
68,40,Darcy McBean,,0,0.00,$0,2,0,0%
69,40,Toby Hale,,0,0.00,$0,2,0,0%
70,40,Scott Stringer,,0,0.00,$0,2,0,0%
71,40,Tylah Wilson,,0,0.00,$0,2,0,0%
72,40,Cameron Southern,,0,0.00,$0,3,0,0%
73,40,Josh Grant,,0,0.00,$0,2,0,0%
