,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Cassio Dias,,347.50,86.55,"$182,135",23,16,69.57%
1,2,Felipe Furlan,,215.20,85.71,"$29,656",21,14,66.67%
2,3,Bruno Roberto,,194,83.19,"$11,061",28,16,57.14%
3,4,Arthur Antonialle,,186.50,85.80,"$21,602",27,14,51.85%
4,5,Sandro Batista,,178,85.31,"$34,668",16,9,56.25%
5,6,Bruno Carvalho,,154,85.65,"$7,190",26,13,50%
6,7,João Ricardo Vieira,,132.50,87.04,"$20,052",8,6,75%
7,8,Jerson Arantes,,124,86.17,"$15,820",22,9,40.91%
8,9,João Lucas Campos,,123.50,85.07,"$7,696",34,15,44.12%
9,10,Alisson De Souza,,114,85.28,"$9,188",12,8,66.67%
10,11,Luiz Americo P. Silva,,113.50,81.74,"$8,216",28,18,64.29%
11,12,Bruno Scaranello,,108,86.88,"$13,420",16,6,37.50%
12,12,Igor Junqueira,,108,82.13,"$9,533",33,17,51.52%
13,14,Vitor Hugo Costa,,107.20,85.71,"$7,572",12,6,50%
14,15,Maciel Santana,,101.53,80.74,"$12,595",32,22,68.75%
15,16,Alex Junior da Silva,,83,84.28,"$23,910",33,16,48.48%
16,17,Eduardo Matos,,67.50,85.31,"$7,690",8,4,50%
17,18,Gabriel Morais,,60,83.84,"$14,811",27,16,59.26%
18,19,Leandro Machado,,57,86.63,"$4,747",3,2,66.67%
19,20,Rodolfo Alves,,54.50,83.83,"$7,840",20,6,30%
20,21,Ramon de Lima,,51,85.63,"$3,947",3,2,66.67%
21,22,Romario Leite,,48.70,82.88,"$3,550",15,6,40%
22,23,Jean Fernandes Pereira,,45.50,82.63,"$23,700",12,8,66.67%
23,24,Lucas Martins Costa,,41.50,83.52,"$9,218",32,14,43.75%
24,25,Ednélio Rodrigues,,41,85.25,"$2,944",3,2,66.67%
25,26,Pablo Assuncao,,40,82.66,"$4,085",30,11,36.67%
26,27,Lucas Junio da Silveira,,35.33,81.88,"$7,546",20,13,65%
27,28,Adilson Junior,,35,82.82,"$3,563",33,11,33.33%
28,29,Leandro Zampollo,,34,79.73,$810,28,11,39.29%
29,30,Marcos Rogério Ferreira,,33.53,81.96,"$2,561",14,6,42.86%
30,31,João Marcelo Santos,,24,86.13,"$1,960",3,2,66.67%
31,32,José Neto,,22,87.75,"$1,856",3,1,33.33%
32,33,Ayslan Jeferson,,21.50,87.63,"$2,203",12,2,16.67%
33,34,Valdenilson Pereira,,19,79.00,"$3,113",16,8,50%
34,35,Rafael Silva Pereira,,18,76.35,"$2,670",14,10,71.43%
35,35,Victor Soares,,18,81.19,"$1,053",26,8,30.77%
36,35,Pedro Augusto Vitti,,18,83.00,"$1,845",31,5,16.13%
37,38,Artur Melo,,16,81.43,"$3,460",25,10,40%
38,39,Roberto Carlos Vieira Junior,,14.50,80.60,"$2,205",13,5,38.46%
39,40,Rafael Parra,,13,85.00,"$1,760",4,2,50%
40,41,Paulo Eduardo Rossetto,,12.50,88.25,"$2,240",3,1,33.33%
41,42,Emilio Resende,,11.50,82.38,"$2,790",11,6,54.55%
42,43,Rovilson Pereira,,9,80.00,$495,4,2,50%
43,44,Guilherme dos Santos,,8,84.75,$675,4,3,75%
44,44,Thiago Araujo,,8,85.13,$630,5,2,40%
45,44,Andre Luiz Barbosa Ribeiro,,8,86.63,$968,4,2,50%
46,47,Jean Barbosa,,7,79.67,$615,7,3,42.86%
47,48,Andrei Scoparo,,6,82.00,$0,2,1,50%
48,48,Leonardo Cardoso Silva,,6,81.25,$495,4,3,75%
49,48,Dayer Da Costa,,6,85.00,$448,3,1,33.33%
50,51,Lindomar Lino,,5,84.25,"$4,020",5,3,60%
51,51,Danilo Fernando Lopes,,5,79.25,$225,8,2,25%
52,51,Paulo Henrique de Oliveira,,5,89.75,"$1,620",4,1,25%
53,51,Dirlei Bonani,,5,88.25,$338,3,1,33.33%
54,51,Roque Palermo,,5,83.50,$338,3,1,33.33%
55,56,Adriano Salgado,,4.50,85.75,$270,8,2,25%
56,57,Natanael Biribili,,4,86.25,$0,7,1,14.29%
57,58,Eduardo Lopes,,3.50,76.56,"$3,960",5,4,80%
58,58,Lucas Acacio de Araujo,,3.50,85.25,$525,17,3,17.65%
59,58,Elzisclay dos Santos,,3.50,82.17,$293,4,3,75%
60,61,Miguel de Jesus,,3,81.31,$870,7,4,57.14%
61,61,Silas Leandro de Paulo,,3,77.92,$225,5,3,60%
62,63,João Paulo da Silva,,2.50,82.00,$810,4,3,75%
63,64,Varnei José Santana Junio,,1.50,87.00,$45,7,1,14.29%
64,64,Marcelo Souza,,1.50,87.00,$45,4,1,25%
65,66,Joebson Miranda,,1,74.75,$360,2,2,100%
66,66,Estevan do Nascimento,,1,81.00,$75,3,1,33.33%
67,68,William Cirilo Brandão,,0.50,81.25,$180,4,2,50%
68,69,Douglas Aparecido da Silva,,0,0.00,$0,4,0,0%
69,69,Daniel de Lima,,0,0.00,$0,2,0,0%
70,69,Caic Cassio Carvalho,,0,0.00,$0,2,0,0%
71,69,Fabrício Gomes,,0,0.00,$0,2,0,0%
72,69,Cladson Rodolfo,,0,0.00,$0,2,0,0%
73,69,Gustavo Honorio Ribeiro,,0,82.50,$0,11,2,18.18%
74,69,Gilson Nazário,,0,80.25,$0,7,2,28.57%
75,69,Luiz Americo Silva,,0,80.50,$0,7,2,28.57%
76,69,Wesley Lourenço,,0,76.00,$0,4,2,50%
77,69,Flavio Zivieri,,0,73.25,$0,2,2,100%
78,69,Helio dos Anjos Moreira,,0,77.63,$0,3,2,66.67%
79,69,Adriano Firmino,,0,74.63,$0,3,2,66.67%
80,69,Paulo de Matos,,0,83.75,$0,4,2,50%
81,69,Wesley Alves dos Santos,,0,75.75,$0,3,2,66.67%
82,69,Afonso Quintino,,0,76.63,$0,4,2,50%
83,69,Renan Almeida,,0,79.50,$0,7,1,14.29%
84,69,Felipe Pereira,,0,82.75,$0,7,1,14.29%
85,69,Hyan Ramos,,0,83.00,$0,7,1,14.29%
86,69,Guilherme Valleiras,,0,78.00,$0,3,1,33.33%
87,69,Malison Felipe de Sousa,,0,83.00,$0,7,1,14.29%
88,69,João Cesar Ferreira Fernandes,,0,65.00,$0,3,1,33.33%
89,69,Pedro Henrique Amaral Pires,,0,80.75,$0,3,1,33.33%
90,69,Gabriel Nunes Camilo,,0,86.00,$0,4,1,25%
91,69,Dionatan Pereira,,0,86.00,$0,4,1,25%
92,69,Bruno da Silva,,0,78.50,$0,3,1,33.33%
93,69,Erinaldo Nascimento,,0,80.00,$0,4,1,25%
94,69,Vitor Manoel Dias,,0,85.50,$0,2,1,50%
95,69,Igor Henrique da Silva,,0,65.00,$0,3,1,33.33%
96,69,Danilo Luiz da Silva,,0,73.50,$0,3,1,33.33%
97,69,Willian Bueno de Oliveira,,0,81.50,$0,4,1,25%
98,69,Marcos Menezes,,0,0.00,$0,5,0,0%
99,69,Eder de Souza Violim,,0,0.00,$0,7,0,0%
100,69,Wilton Leite,,0,0.00,$0,6,0,0%
101,69,Vitor Manoel Ruy,,0,0.00,$0,8,0,0%
102,69,Marcos Gomes,,0,0.00,$0,1,0,0%
103,69,Matheus Bento,,0,0.00,$0,1,0,0%
104,69,Daniel Feitosa,,0,0.00,$0,2,0,0%
105,69,Altieres de Cássio Mauricio,,0,0.00,$0,1,0,0%
106,69,Marcos Felipe Santos Silva,,0,0.00,$0,4,0,0%
107,69,Luan de Carvalho,,0,0.00,$0,3,0,0%
108,69,Lucas Oliveira,,0,0.00,$0,4,0,0%
109,69,Eder Oliveira,,0,0.00,$0,4,0,0%
110,69,Jairo Whashington Jacinto dos Santos,,0,0.00,$0,3,0,0%
111,69,Paulo Eduardo de Oliveira,,0,0.00,$0,4,0,0%
112,69,Fabricio Rener dos Santos,,0,0.00,$0,3,0,0%
113,69,Robson Machado Vieira,,0,0.00,$0,3,0,0%
114,69,Manoel Soares de Albuquerque,,0,0.00,$0,3,0,0%
115,69,Diego Gonçalo Rosar,,0,0.00,$0,3,0,0%
116,69,Alex Antonio da Silva,,0,0.00,$0,3,0,0%
117,69,Eduardo Dalia Leonardo,,0,0.00,$0,3,0,0%
118,69,Carlos Tridade,,0,0.00,$0,1,0,0%
119,69,Alex Allan Pereira,,0,0.00,$0,2,0,0%
120,69,Ted Flora,,0,0.00,$0,1,0,0%
121,69,Jordans Jordão Jr.,,0,0.00,$0,4,0,0%
122,69,João Henrique Lucas,,0,0.00,$0,2,0,0%
123,69,Janio Menezes,,0,0.00,$0,1,0,0%
124,69,Luis Blanco,,0,0.00,$0,2,0,0%
125,69,Danilo Carlos Sobrinho,,0,0.00,$0,3,0,0%
