,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Daylon Swearingen,,48.66,89.67,"$5,850",6,3,50%
1,2,Cody Jesus,,41,83.64,"$15,420",12,7,58.33%
2,3,Eli Vastbinder,,37.66,86.25,"$10,933",2,2,100%
3,4,Deklan Garland,,31.50,84.75,"$8,290",6,4,66.67%
4,5,Leonardo Lima,,28,89.00,"$4,083",5,2,40%
5,6,Manoelito de Souza Junior,,23.50,85.50,"$7,745",6,5,83.33%
6,7,Cole Skender,,23.16,87.63,"$11,133",10,4,40%
7,8,Dalton Rudman,,16,84.88,"$5,835",8,4,50%
8,9,Cole Ivey,,15,82.67,"$4,292",7,3,42.86%
9,9,Anthony Lyons,,15,85.75,"$20,838",5,2,40%
10,9,Briggs Madsen,,15,85.00,"$7,936",5,2,40%
11,9,Griffin Smeltzer,,15,82.33,"$5,509",9,3,33.33%
12,9,Kyler Oliver,,15,87.83,"$5,640",4,3,75%
13,9,Jaxton Mortensen,,15,86.50,"$4,963",3,2,66.67%
14,15,Bill Henry,,14,84.00,"$5,110",10,2,20%
15,16,Kade Alberty,,13,88.50,"$3,233",4,1,25%
16,17,Luciano De Castro,,11.50,88.50,"$4,152",4,1,25%
17,18,Ky Hamilton,,11,88.00,"$4,095",6,1,16.67%
18,19,Jesse Petri,,10.50,85.50,"$3,363",4,2,50%
19,20,Lucas Divino,,9.50,83.75,"$3,902",7,4,57.14%
20,21,Rafael Jose de Brito,,9,83.17,"$3,434",11,3,27.27%
21,22,Silvano Alves,,8.66,80.50,"$2,930",2,2,100%
22,23,Dawson Branton,,8,85.75,"$2,821",6,2,33.33%
23,23,William Wright,,8,84.25,"$5,701",7,2,28.57%
24,23,Dalton Krantz,,8,86.25,"$3,592",2,2,100%
25,23,Junio Quaresima,,8,85.00,"$3,016",2,1,50%
26,27,Caden Bunch,,7.50,88.00,"$2,700",2,1,50%
27,28,Matt Triplett,,7,85.00,"$2,235",2,2,100%
28,28,Jake Morinec,,7,74.00,"$3,130",6,3,50%
29,28,Chase Wimer,,7,87.50,"$2,463",4,1,25%
30,28,Cody Hudson,,7,86.00,"$1,825",2,1,50%
31,32,Alisson De Souza,,6,87.00,"$2,442",4,1,25%
32,33,Davi Henrique de Lima,,5.50,84.50,"$2,096",2,1,50%
33,34,Dener Barbosa,,5,87.50,$933,1,1,100%
34,35,Ouncie Mitchell,,4.66,87.00,"$1,500",2,1,50%
35,36,Dakota Louis,,4,82.83,"$1,509",6,3,50%
36,36,Mason Moody,,4,86.50,"$1,616",3,1,33.33%
37,36,Robbie Taylor Jr.,,4,69.83,"$1,567",9,3,33.33%
38,36,Edgardo Figueroa,,4,82.00,"$1,064",3,1,33.33%
39,40,D.J. Parker,,3.50,83.67,$818,7,3,42.86%
40,40,Marcelo Procopio Pereira,,3.50,86.50,"$1,000",1,1,100%
41,40,Dakota Eagleburger,,3.50,82.60,$976,11,5,45.45%
42,40,Aaron Williams,,3.50,84.00,$976,3,2,66.67%
43,44,Caleb McCaslin,,3,85.00,"$1,610",5,1,20%
44,44,Cannon Cravens,,3,87.00,$800,1,1,100%
45,46,Eli Necochea,,2.50,81.50,$478,4,1,25%
46,46,Greg Shannon,,2.50,81.50,$478,2,1,50%
47,48,Claudio Montanha Jr.,,2,86.00,"$1,500",1,1,100%
48,48,Chase Dougherty,,2,85.50,$400,1,1,100%
49,48,River Stephenson,,2,82.00,$741,6,3,50%
50,48,Joseph Vazquez,,2,82.00,$642,17,2,11.76%
51,52,João Augusto Cezere,,1.50,85.50,$388,2,1,50%
52,53,Hunter Kelly,,1,83.50,$313,4,1,25%
53,53,Gannon Ivy,,1,83.00,$0,1,1,100%
54,55,Francisco Morales,,0.66,85.00,$526,2,1,50%
55,56,Nate Hoey,,0.50,83.00,$391,4,2,50%
56,57,Keyshawn Whitehorse,,0,49.00,$0,1,1,100%
57,57,Stetson Lawrence,,0,0.00,$0,1,0,0%
58,57,Josh Frost,,0,0.00,$0,1,0,0%
59,57,Gage Gay,,0,0.00,$0,1,0,0%
60,57,Clayton Sellars,,0,0.00,$0,6,0,0%
61,57,Casey Coulter,,0,0.00,$0,1,0,0%
62,57,Cody Nance,,0,0.00,$0,1,0,0%
63,57,Fernando Henrique Novais,,0,0.00,$0,1,0,0%
64,57,Jory Markiss,,0,0.00,$0,1,0,0%
65,57,Dalton Wright,,0,0.00,$0,1,0,0%
66,57,Bob Mitchell,,0,82.50,$0,3,1,33.33%
67,57,Marco Antonio Gloria,,0,80.00,$0,1,1,100%
68,57,Chance Schott,,0,0.00,$0,1,0,0%
69,57,Conner Halverson,,0,0.00,$0,2,0,0%
70,57,Daniel Keeping,,0,0.00,$0,3,0,0%
71,57,Keith Hall,,0,0.00,$0,9,0,0%
72,57,Andy Guzman,,0,0.00,$0,2,0,0%
73,57,Marco Eguchi,,0,0.00,$0,1,0,0%
74,57,Alex Guzman,,0,0.00,$0,1,0,0%
75,57,Wyatt Rogers,,0,85.00,$221,6,1,16.67%
76,57,Justin Houston,,0,0.00,$0,4,0,0%
77,57,Jake Davis,,0,0.00,$0,2,0,0%
78,57,Ednei Caminhas,,0,0.00,$0,6,0,0%
79,57,Eli Byler,,0,0.00,$0,2,0,0%
80,57,Trent Nugent,,0,0.00,$0,2,0,0%
81,57,Hunter Ball,,0,0.00,$0,2,0,0%
82,57,Alecio Ferreira da Costa,,0,0.00,$0,1,0,0%
83,57,Thor Hoefer II,,0,0.00,$0,1,0,0%
84,57,Mauricio Gulla Moreira,,0,88.00,"$1,138",3,1,33.33%
85,57,Travis Wimberley,,0,65.00,$0,3,1,33.33%
86,57,Lukasey Morris,,0,0.00,$0,1,0,0%
87,57,Paulo Ferreira Lima,,0,0.00,$0,1,0,0%
88,57,Alex Jenks,,0,0.00,$0,5,0,0%
89,57,Cody Teel,,0,0.00,$0,2,0,0%
90,57,Elijah Monnett,,0,73.75,$0,10,2,20%
91,57,Scottie Knapp,,0,85.75,$576,5,2,40%
92,57,Hunter Salter,,0,80.50,$0,8,1,12.50%
93,57,Quentin Vaught,,0,84.50,$0,7,1,14.29%
94,57,Trace Brown,,0,79.50,$0,6,1,16.67%
95,57,Matt Allgood,,0,62.50,$0,6,1,16.67%
96,57,Tyler McVay,,0,83.00,$209,4,1,25%
97,57,Patterson Starcher,,0,74.50,$0,2,1,50%
98,57,Wyatt Austin,,0,84.00,$0,3,1,33.33%
99,57,Perry Schrock,,0,0.00,$0,8,0,0%
100,57,Cody Campbell,,0,0.00,$0,6,0,0%
101,57,Isaiah Ortiz,,0,0.00,$0,5,0,0%
102,57,Bub Steele,,0,0.00,$0,3,0,0%
103,57,Gabriel Thiago Da Silva,,0,0.00,$0,5,0,0%
104,57,Trevin Bundy,,0,0.00,$0,4,0,0%
105,57,Jason Landing,,0,0.00,$0,4,0,0%
106,57,Fernando Mayans,,0,0.00,$0,3,0,0%
107,57,Dugan Black,,0,0.00,$0,3,0,0%
108,57,Matt Birdwell,,0,0.00,$0,4,0,0%
109,57,Dakota Warnken,,0,0.00,$0,4,0,0%
110,57,Blaine Logg,,0,0.00,$0,3,0,0%
111,57,Matt Hennelly,,0,0.00,$0,2,0,0%
112,57,Ricky Aguiar,,0,0.00,$0,3,0,0%
113,57,Boogie Marquez,,0,0.00,$0,2,0,0%
114,57,Austin Beaty,,0,0.00,$0,4,0,0%
115,57,Triston Dean,,0,0.00,$0,3,0,0%
116,57,Jacob Ramirez,,0,0.00,$0,2,0,0%
117,57,Jesse Flores,,0,0.00,$0,2,0,0%
118,57,Jared Avina,,0,0.00,$0,2,0,0%
119,57,Dustin Martinez,,0,0.00,$0,2,0,0%
120,57,Alex Santana,,0,0.00,$0,2,0,0%
121,57,Justin Wilcken,,0,0.00,$0,2,0,0%
122,57,Cole Trivette,,0,0.00,$0,4,0,0%
123,57,Ty Timmons,,0,0.00,$0,3,0,0%
124,57,Cimarron Rucker,,0,0.00,$0,3,0,0%
125,57,Fabian de la Cruz,,0,0.00,$0,3,0,0%
126,57,Brandon Ballard,,0,0.00,$0,5,0,0%
127,57,Hazen Casperson,,0,0.00,$0,1,0,0%
128,57,Christian Melgarejo,,0,0.00,$0,2,0,0%
129,57,Chris Holmes,,0,0.00,$0,1,0,0%
130,57,Dantey Eldridge,,0,0.00,$0,2,0,0%
131,57,Cesar Talamantes,,0,0.00,$0,1,0,0%
132,57,Joseph Petersheim,,0,0.00,$0,3,0,0%
133,57,Thomas Harmon,,0,0.00,$0,1,0,0%
134,57,Evan Golliday,,0,0.00,$0,1,0,0%
135,57,Steve Roy Ballentine,,0,0.00,$0,1,0,0%
136,57,Robson Aragão,,0,0.00,$0,1,0,0%
137,57,Boudreaux Campbell,,0,0.00,$0,1,0,0%
138,57,Zach Miles,,0,0.00,$0,1,0,0%
139,57,Ryder May,,0,0.00,$0,2,0,0%
140,57,Dakota Hostetler,,0,0.00,$0,1,0,0%
141,57,Cash Keeling,,0,0.00,$0,1,0,0%
142,57,Matthew Brooks,,0,0.00,$0,1,0,0%
143,57,Ryan Estrada,,0,0.00,$0,2,0,0%
144,57,Sawyer Hill,,0,0.00,$0,1,0,0%
145,57,George Talavera,,0,0.00,$0,2,0,0%
146,57,Anthony Hopen,,0,0.00,$0,1,0,0%
147,57,Marco Ortiz,,0,0.00,$0,1,0,0%
148,57,Cody Casper,,0,0.00,$0,1,0,0%
149,57,Dalton Shepard,,0,0.00,$0,1,0,0%
150,57,Javier Garcia,,0,78.25,$0,8,2,25%
151,57,Chance Thomas,,0,64.00,$0,4,1,25%
152,57,JaCauy Hale,,0,80.00,$0,3,1,33.33%
153,57,Cody Rouse,,0,70.00,$0,3,1,33.33%
154,57,Jared Long,,0,82.50,$0,3,1,33.33%
155,57,Cladson Rodolfo,,0,82.00,$0,2,1,50%
156,57,Luis Tinoco,,0,0.00,$0,6,0,0%
157,57,Jake Maher,,0,0.00,$0,8,0,0%
158,57,Michael Phillips,,0,0.00,$0,6,0,0%
159,57,Colt Robinson,,0,0.00,$0,6,0,0%
160,57,Albert Lebaron,,0,0.00,$0,4,0,0%
161,57,Justin Ethridge,,0,0.00,$0,5,0,0%
162,57,Kache Moosman,,0,0.00,$0,4,0,0%
163,57,Garfield Wilson,,0,0.00,$0,4,0,0%
164,57,Loyd Sisk,,0,0.00,$0,5,0,0%
165,57,Wyatt Nez,,0,0.00,$0,5,0,0%
166,57,Carlos Gomes Junior,,0,0.00,$0,4,0,0%
167,57,Oren Williams,,0,0.00,$0,3,0,0%
168,57,Craig Joe,,0,0.00,$0,3,0,0%
169,57,Dominick Wilson,,0,0.00,$0,3,0,0%
170,57,Marco Diaz,,0,0.00,$0,2,0,0%
171,57,Dylan Wilhide,,0,0.00,$0,2,0,0%
172,57,Dustin Herman,,0,0.00,$0,2,0,0%
173,57,Cash Bronson,,0,0.00,$0,2,0,0%
174,57,Tyce Willis,,0,0.00,$0,3,0,0%
175,57,Isaac Dittmann,,0,0.00,$0,2,0,0%
176,57,Tyson Tsingine,,0,0.00,$0,2,0,0%
