,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Keyshawn Whitehorse,,198.10,84.11,"$51,140",42,23,54.76%
1,2,Daylon Swearingen,,182.43,86.13,"$158,373",38,24,63.16%
2,3,Sandro Batista,,165.50,81.80,"$41,832",30,20,66.67%
3,4,Wyatt Rogers,,149.50,82.80,"$31,137",54,15,27.78%
4,5,Rafael Jose de Brito,,133,80.45,"$30,218",39,11,28.21%
5,6,Jesse Petri,,116.50,85.75,"$64,456",27,12,44.44%
6,7,Deklan Garland,,110.50,85.28,"$34,961",22,9,40.91%
7,8,Thiago Salgado,,97,83.25,"$17,293",18,8,44.44%
8,9,Taylor Toves,,95.83,85.15,"$23,906",33,10,30.30%
9,10,Gage Gay,,92.93,79.73,"$26,327",34,13,38.24%
10,11,Nick Tetz,,92.50,85.05,"$35,420",44,20,45.45%
11,11,Vitor Losnake,,92.50,86.50,"$17,694",20,7,35%
12,13,Leandro Machado,,88.50,83.50,"$22,985",21,11,52.38%
13,14,João Ricardo Vieira,,83,86.86,"$20,683",14,7,50%
14,15,Dawson Branton,,82.50,81.95,"$26,498",17,10,58.82%
15,16,Davi Henrique de Lima,,80.50,83.15,"$17,326",27,10,37.04%
16,17,Boudreaux Campbell,,78.50,87.88,"$22,411",7,4,57.14%
17,18,Ednei Caminhas,,77,80.05,"$13,354",32,11,34.38%
18,19,Silvano Alves,,75.66,84.69,"$24,468",37,18,48.65%
19,20,Logan Biever,,74.50,83.39,"$35,383",64,27,42.19%
20,21,Wellington Ferreira,,74,80.50,"$18,332",31,8,25.81%
21,22,Brock Radford,,73,83.40,"$30,395",51,24,47.06%
22,23,Ednélio Rodrigues,,72,84.83,"$17,557",15,6,40%
23,24,Chase Wimer,,69,83.88,"$16,262",34,8,23.53%
24,25,Fernando Henrique Novais,,66,83.30,"$6,019",9,5,55.56%
25,26,Bruin Bradshaw,,65,78.63,"$12,273",21,8,38.10%
26,27,Qynn Andersen,,64,83.59,"$40,401",29,16,55.17%
27,27,Junior Patrik Souza,,64,83.17,"$18,223",17,3,17.65%
28,29,Dakota Buttar,,62.50,84.12,"$35,082",50,25,50%
29,29,Marcus Mast,,62.50,82.36,"$28,282",23,7,30.43%
30,31,Lucas Fideles Souza,,59.50,83.00,"$9,132",28,8,28.57%
31,32,João Henrique Lucas,,59,85.25,"$8,275",12,4,33.33%
32,33,Aaron Kleier,,58.50,85.40,"$40,760",28,21,75%
33,34,Coy Robbins,,55.50,83.39,"$25,544",35,19,54.29%
34,35,Lonnie West,,55,83.85,"$20,933",28,13,46.43%
35,36,Dalton Rudman,,53.50,86.00,"$11,503",14,4,28.57%
36,37,Eduardo de Oliveira,,53.16,82.60,"$10,819",20,5,25%
37,38,Bill Henry,,50,83.79,"$27,467",29,7,24.14%
38,38,Michael Lane,,50,85.80,"$12,830",15,5,33.33%
39,40,Blake Smith,,49.50,82.88,"$21,311",53,17,32.08%
40,41,Aaron Roy,,49,81.74,"$25,846",61,25,40.98%
41,42,Nathan Hatchel,,44.50,86.33,"$3,571",5,3,60%
42,43,Cody Casper,,44.32,85.17,"$12,173",28,9,32.14%
43,44,Brady Fielder,,44,83.60,"$13,122",19,10,52.63%
44,44,Colten Fritzlan,,44,83.17,"$4,291",4,3,75%
45,44,Cole Fischer,,44,88.00,"$33,500",3,2,66.67%
46,47,Cody Coverchuk,,43,82.67,"$20,727",49,18,36.73%
47,48,Junio Quaresima,,42,84.00,"$4,161",19,3,15.79%
48,49,Tye Chandler,,41.66,86.00,"$6,491",27,4,14.81%
