,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Daylon Swearingen,,"1,567.50",88.94,"$1,585,445",60,26,43.33%
1,2,Kaique Pacheco,,"1,275",87.57,"$359,471",51,28,54.90%
2,3,João Ricardo Vieira,,"1,086.50",87.59,"$312,122",62,29,46.77%
3,4,Luciano De Castro,,940.50,87.90,"$283,682",52,23,44.23%
4,5,Jose Vitor Leme,,913.83,88.99,"$238,514",43,23,53.49%
5,6,Dalton Kasel,,828.50,88.65,"$185,556",57,22,38.60%
6,7,Mauricio Gulla Moreira,,694.50,87.60,"$180,481",48,18,37.50%
7,8,Cody Jesus,,649.66,87.64,"$186,695",27,11,40.74%
8,9,Eli Vastbinder,,627.50,86.15,"$93,012",57,25,43.86%
9,10,Kyler Oliver,,595.50,88.55,"$141,131",38,16,42.11%
10,11,Austin Richardson,,549.50,88.38,"$133,145",42,14,33.33%
11,12,Mason Taylor,,495.50,86.65,"$104,314",60,20,33.33%
12,13,Dener Barbosa,,488,86.99,"$100,281",50,20,40%
13,14,Derek Kolbaba,,439.16,87.04,"$79,546",53,18,33.96%
14,15,Eduardo Aparecido,,427.50,88.04,"$83,004",44,14,31.82%
15,16,Chase Dougherty,,421,87.35,"$69,753",59,18,30.51%
16,17,Stetson Lawrence,,386,88.30,"$90,243",23,11,47.83%
17,18,Lucas Divino,,350,86.08,"$80,689",22,12,54.55%
18,19,Ramon de Lima,,343.16,86.38,"$71,969",39,14,35.90%
19,20,Manoelito de Souza Junior,,328,87.17,"$53,081",45,15,33.33%
20,21,Andrew Alvidrez,,266.33,86.98,"$67,705",46,10,21.74%
21,22,Bob Mitchell,,265.50,84.84,"$30,277",45,14,31.11%
22,23,Rafael dos Santos,,262,86.45,"$49,268",33,11,33.33%
23,24,Cody Teel,,249.50,86.65,"$36,873",44,13,29.55%
24,25,Brady Oleson,,236,84.93,"$65,591",37,10,27.03%
25,26,João Henrique Lucas,,229.50,87.19,"$40,627",47,12,25.53%
26,27,Brady Fielder,,226.50,85.55,"$49,624",33,11,33.33%
27,28,Marcelo Procopio Pereira,,200.33,86.28,"$49,242",40,10,25%
28,29,Keyshawn Whitehorse,,199.66,85.00,"$31,645",48,12,25%
29,30,Marco Eguchi,,194,86.63,"$41,182",36,10,27.78%
30,31,Dakota Louis,,181.50,86.00,"$52,512",30,8,26.67%
31,32,Claudio Montanha Jr.,,173.16,86.00,"$15,895",45,13,28.89%
32,33,Ezekiel Mitchell,,172,87.28,"$14,188",37,8,21.62%
33,34,Josh Frost,,160,89.44,"$39,000",11,4,36.36%
34,35,Clayton Sellars,,152.50,86.69,"$20,282",36,9,25%
35,36,Silvano Alves,,125.50,85.63,"$11,818",43,10,23.26%
36,37,Matt Triplett,,122.50,86.53,"$17,381",36,8,22.22%
37,38,Adriano Salgado,,118.50,84.75,"$15,380",27,7,25.93%
38,39,Cole Melancon,,113.16,88.25,"$18,462",11,4,36.36%
39,40,Chase Outlaw,,108.50,88.88,"$15,811",9,4,44.44%
40,41,Alex Cardozo,,106.50,86.08,"$19,833",35,3,8.57%
41,42,Conner Halverson,,106,85.75,"$6,975",22,7,31.82%
42,42,Cannon Cravens,,106,87.63,"$11,546",10,4,40%
43,44,Brennon Eldred,,103,87.90,"$11,017",20,5,25%
44,45,Colten Fritzlan,,98.50,82.13,"$23,501",12,4,33.33%
45,46,Cooper Davis,,95,88.50,"$11,546",8,4,50%
46,47,Alex Marcilio,,89.50,87.25,"$14,293",15,4,26.67%
47,48,Lane Nobles,,54.50,87.83,"$4,860",11,3,27.27%
48,49,Jess Lockwood,,54,84.00,"$4,158",12,4,33.33%
49,50,Jesse Petri,,53,86.50,"$3,900",22,4,18.18%
50,51,Alisson De Souza,,51,82.56,"$4,500",7,4,57.14%
51,52,Rider Unavailable,,43.50,88.00,"$5,071",22,2,9.09%
52,53,Boudreaux Campbell,,37.50,82.44,$0,13,4,30.77%
53,54,Cody Nance,,36,83.58,"$4,150",10,3,30%
54,55,Casey Coulter,,35.50,85.00,$600,19,3,15.79%
55,56,Sam Woodall,,29,92.00,"$3,580",16,1,6.25%
56,57,Tye Chandler,,25,83.08,$0,12,3,25%
57,58,Dawson Branton,,20,75.25,$0,11,3,27.27%
58,58,Francisco Morales,,20,85.00,$400,10,2,20%
59,58,Ednei Caminhas,,20,87.25,$0,8,1,12.50%
60,61,Paulo Ferreira Lima,,17.50,86.50,"$1,000",14,2,14.29%
61,62,Taylor Toves,,16,85.88,$0,10,2,20%
62,63,Trace Brown,,13.50,86.00,$525,5,1,20%
63,64,Dalton Rudman,,12,85.75,$400,3,1,33.33%
64,65,Marco Antonio Gloria,,9,82.75,$0,7,1,14.29%
65,65,Ky Hamilton,,9,83.75,$0,2,1,50%
66,67,Cladson Rodolfo,,8,83.50,$0,7,1,14.29%
67,68,Fernando Henrique Novais,,7,79.00,$0,10,1,10%
68,69,Leonardo Lima,,0,0.00,$0,2,0,0%
69,69,Wyatt Rogers,,0,0.00,$0,6,0,0%
