,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Kurt Shephard,,820.50,81.65,"$22,182",19,11,57.89%
1,2,Donnie Rutherfurd,,759.50,82.95,"$20,517",15,11,73.33%
2,3,Keny Roger de Oliveira,,753.50,82.46,"$21,438",10,8,80%
3,4,Zane Hall,,672,82.81,"$20,743",16,8,50%
4,5,Ethan Coster,,669,83.34,"$18,017",14,8,57.14%
5,6,Kelsey Pavlou,,455.50,82.40,"$11,720",21,10,47.62%
6,7,Fraser Babbington,,292,83.67,"$6,100",5,3,60%
7,8,Clint Glass,,282.50,83.93,"$5,561",20,6,30%
8,9,Colby Edgar,,282,81.70,"$8,186",17,4,23.53%
9,10,Ky Borghero,,276,84.83,"$8,616",11,4,36.36%
10,11,Macaulie Leather,,267,82.30,"$5,373",9,5,55.56%
11,12,Ben Bode,,242,84.02,"$5,805",15,5,33.33%
12,13,Sam Woodall,,225,80.83,"$5,360",10,3,30%
13,14,Leith Malone,,213,83.13,"$4,385",15,3,20%
14,15,Thomas Triplett,,166,84.17,"$2,801",15,3,20%
15,16,Lane Hanush Bowen,,132,81.75,"$2,952",5,2,40%
16,17,Rylee Ward,,125,78.26,"$2,066",12,5,41.67%
17,18,Alison Aguiar,,122,83.80,"$1,557",8,3,37.50%
18,19,Lachlan Slade,,118,85.30,"$3,324",6,1,16.67%
19,19,Jake Swan,,118,83.50,"$3,040",8,1,12.50%
20,21,Jack Rowlandson,,105,79.15,"$3,076",12,2,16.67%
21,22,Klay Ward,,99,84.50,"$2,120",5,2,40%
22,23,Thomas Hudson,,91,83.20,"$1,481",14,2,14.29%
23,24,Caiden Sandilands,,80,82.05,$960,9,2,22.22%
24,25,Toby Leake,,74,82.50,"$1,460",3,1,33.33%
25,26,Dawson Foden,,72,82.10,"$1,388",10,2,20%
26,27,JC Davis,,57.50,80.75,"$1,240",5,2,40%
27,28,Josh Alexander,,49,82.00,$530,4,1,25%
28,29,Chad Ormsby,,48,81.50,$867,1,1,100%
29,30,Wyatt Fraser,,41,81.90,$0,8,2,25%
30,31,Clay Flanagan,,28,83.10,$238,6,1,16.67%
31,32,Toby Collins,,25,83.20,$317,4,1,25%
32,33,Tyson Smith,,21,78.50,$0,13,1,7.69%
33,34,Charlie Bailey,,20,81.00,$0,19,1,5.26%
34,34,Brumby Brandenburg,,20,81.20,$0,4,1,25%
35,36,Ashton Sweeney,,12,80.00,$0,4,1,25%
36,37,Bryn Francis,,0,0.00,$0,3,0,0%
37,37,Nash Mellers,,0,0.00,$0,6,0,0%
38,37,Dylan Weir,,0,0.00,$0,4,0,0%
39,37,Dan Ruhland,,0,0.00,$0,8,0,0%
40,37,Boston Leather,,0,0.00,$0,5,0,0%
41,37,Jack Keats,,0,0.00,$0,1,0,0%
42,37,Toby Adams,,0,0.00,$0,4,0,0%
43,37,Josh Grant,,0,0.00,$0,9,0,0%
44,37,Jay Borghero,,0,0.00,$0,9,0,0%
45,37,Billy Nell,,0,0.00,$0,6,0,0%
46,37,Jordan Iker,,0,0.00,$0,5,0,0%
47,37,Billy Goetsch,,0,0.00,$0,5,0,0%
48,37,Riley Eade,,0,0.00,$0,5,0,0%
49,37,Clay Hall,,0,0.00,$0,3,0,0%
50,37,Koby Parsons,,0,0.00,$0,4,0,0%
51,37,Ethan McConnell,,0,0.00,$0,1,0,0%
52,37,Darryl McPherson,,0,0.00,$0,4,0,0%
53,37,Jackson Searle,,0,0.00,$0,8,0,0%
54,37,Jean Ba Looze,,0,0.00,$0,5,0,0%
55,37,Ben Moran,,0,0.00,$0,5,0,0%
56,37,Cooper Mitchell,,0,0.00,$0,5,0,0%
57,37,William Dougan,,0,0.00,$0,4,0,0%
58,37,Daniel Rogan,,0,0.00,$0,1,0,0%
59,37,Troy Wilkinson,,0,0.00,$0,1,0,0%
60,37,Jono Couling,,0,0.00,$0,1,0,0%
61,37,William Tisdall,,0,0.00,$0,4,0,0%
62,37,Simon Timmins,,0,0.00,$0,1,0,0%
63,37,Chris Wilson,,0,0.00,$0,1,0,0%
64,37,Billy Bowker,,0,0.00,$0,3,0,0%
65,37,Luke Wingate,,0,0.00,$0,3,0,0%
66,37,Zack Taylor,,0,0.00,$0,4,0,0%
67,37,Bryan Batt,,0,0.00,$0,3,0,0%
68,37,Jake Stower,,0,0.00,$0,3,0,0%
69,37,Travis Baker,,0,0.00,$0,1,0,0%
70,37,Brumby McWhirter,,0,0.00,$0,2,0,0%
71,37,Trefor Sproule,,0,0.00,$0,1,0,0%
72,37,Joshua Jones,,0,0.00,$0,1,0,0%
73,37,Hayden Davis,,0,0.00,$0,2,0,0%
