,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Cleber Henrique Marques,,445.50,84.56,"$73,699",35,26,74.29%
1,2,Warley Oliveira da Silva,,357,83.58,"$38,772",33,24,72.73%
2,3,Alex Oliveira,,296.17,85.58,"$31,330",23,15,65.22%
3,4,João Paulo Velasco,,279.50,85.23,"$28,071",28,16,57.14%
4,5,Cladson Rodolfo,,243,82.63,"$15,674",30,15,50%
5,6,Gabriel Morais,,230.17,82.35,"$19,139",29,18,62.07%
6,7,Adenilson dos Santos,,208,84.45,"$24,528",24,14,58.33%
7,8,Dimas Neto,,207.50,84.91,"$24,895",17,14,82.35%
8,9,Gilvan Freitas,,196.50,84.25,"$11,468",22,11,50%
9,10,Jhon Carlos Moreira,,182.50,82.04,"$7,466",20,14,70%
10,11,Wingson Henrique da Silva,,166.50,81.96,"$15,740",8,7,87.50%
11,12,Carlos André de Oliveira,,162,82.61,"$6,750",29,18,62.07%
12,13,Rogério Venâncio,,159.50,85.63,"$40,063",4,4,100%
13,14,Gabriel Henrique da Silva,,158,86.46,"$9,085",17,7,41.18%
14,15,Mario de Negri,,142.50,83.78,"$12,138",14,9,64.29%
15,16,Paulo Henrique da Silva,,136,84.73,"$12,240",15,10,66.67%
16,17,Hidelvan Ribeiro,,121.50,85.71,"$7,126",22,6,27.27%
17,18,Everton dos Santos,,119,80.83,"$8,445",18,9,50%
18,19,José de Castro,,105.50,82.91,"$4,103",19,8,42.11%
19,20,Lucas Aráujo,,103.50,86.64,"$18,963",9,7,77.78%
20,21,Weslei Mendes,,102.50,80.28,"$11,482",23,9,39.13%
21,22,José Marcos Filho,,96,85.63,"$8,284",10,6,60%
22,23,Lucas Junio da Silveira,,85,83.78,"$6,066",22,8,36.36%
23,24,Anderson de Oliveira,,80,86.58,"$2,920",9,3,33.33%
24,25,Higor Moises Pereira,,73.50,83.58,"$4,747",23,6,26.09%
25,26,Marcos Vinicios dos Santos,,73,84.11,"$7,610",13,7,53.85%
26,27,Maikon Calixton Rocha,,70,85.71,"$6,423",9,6,66.67%
27,28,Jeanderson de Souza,,61.50,83.95,"$7,653",12,5,41.67%
28,29,Caio Silva,,57.50,81.30,"$11,963",11,5,45.45%
29,30,Jean da Fonseca,,55,83.13,"$5,455",10,6,60%
30,31,Leandro da Silva,,50.50,85.88,"$6,543",6,4,66.67%
31,32,Nilton Batista,,48.50,85.13,"$5,355",4,4,100%
32,33,Saislan de Souza,,44.50,83.25,"$3,880",9,4,44.44%
33,34,Gustavo Luiz da Silva,,43.50,86.17,"$9,053",6,3,50%
34,35,Vitor Manoel Dias,,43.17,81.63,"$1,323",7,4,57.14%
35,36,Vitor Hugo Costa,,42,82.60,"$1,564",10,5,50%
36,37,Frederico Araujo Margarido,,41.50,82.94,$675,14,4,28.57%
37,37,Ronaldo Santos Jr.,,41.50,83.88,"$13,050",6,4,66.67%
38,39,Lucas Eduardo Silva,,41,85.08,"$2,115",9,3,33.33%
39,40,Roberto Junior,,40,80.60,"$5,202",7,5,71.43%
40,41,Rubens Barbosa,,39,83.83,"$4,965",7,3,42.86%
41,42,Carlos Souza Filho,,36,85.33,"$3,502",10,3,30%
42,43,Riquelmi Silva,,34,83.83,"$1,080",5,3,60%
43,43,João Paulo de Morais,,34,84.33,"$4,080",5,3,60%
44,43,Lauro Nunes Vieira,,34,84.08,$360,6,3,50%
45,46,Sandro Batista,,32,85.50,$750,3,2,66.67%
46,47,Vitor Cassio de Assis,,29.50,77.75,"$1,222",12,3,25%
47,47,Ricardo Rosa Vais,,29.50,86.50,"$4,545",3,2,66.67%
48,49,Alvaro Ariel,,28,87.38,"$5,280",6,2,33.33%
49,50,Matheus Lima dos Santos,,27,83.17,"$3,520",8,3,37.50%
50,50,Humberto Junior Silva,,27,82.50,"$3,044",4,3,75%
51,52,Tales Xavier,,24,80.31,"$1,890",20,4,20%
52,52,Marcos Felipe Santos Silva,,24,85.63,"$2,483",4,2,50%
53,54,Abraão Santos de Araujo,,23,76.83,"$3,240",9,3,33.33%
54,55,Diego de Paula,,21,85.13,$563,6,2,33.33%
55,56,Alvaro da Cunha,,20,82.50,$0,6,2,33.33%
56,56,Gean Pereira Carvalho,,20,81.83,$450,5,3,60%
57,58,Wanderson Silva,,19.50,79.58,$563,3,3,100%
58,58,Lucas Eduardo Machado,,19.50,86.25,$200,2,1,50%
59,60,João Vitor Monteiro dos Santos,,19,71.25,$0,3,3,100%
60,60,Marcos Vinicius da Silva,,19,81.92,$840,4,3,75%
61,62,Guilherme da Silveira,,16,82.00,"$1,575",6,3,50%
62,62,Alisson De Souza,,16,76.94,$0,8,4,50%
63,64,Lucas Rodrigues,,15.50,86.50,$375,3,1,33.33%
64,65,Matheus Bernardino,,15,84.75,$0,2,1,50%
65,66,Daniel Pereira,,14.50,81.25,"$1,647",4,2,50%
66,67,Carlos Eduardo Cunha Barbosa,,14,83.25,$918,3,2,66.67%
67,68,Danilo Luiz da Silva,,13,86.50,"$2,070",3,1,33.33%
68,68,Kayke Rodrigues,,13,88.50,"$1,013",3,1,33.33%
69,68,Daniel Feitosa,,13,84.75,$0,2,1,50%
70,68,Luigi Moscão,,13,86.25,"$1,013",3,1,33.33%
71,72,Joao Carlos Júnior,,12,87.00,$918,4,1,25%
72,73,Emerson Lopes,,11,69.00,$0,6,2,33.33%
73,73,Henrique Silva,,11,86.50,$563,3,1,33.33%
74,75,Andrei Scoparo,,10,79.17,$0,7,3,42.86%
75,75,Otniel da Silva,,10,82.88,$0,4,2,50%
