,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,John Crimber,,984.50,87.96,"$209,990",49,28,57.14%
1,2,Brady Fielder,,815,87.71,"$218,284",52,28,53.85%
2,3,Sage Steele Kimzey,,687,86.86,"$179,188",41,23,56.10%
3,4,Leandro Zampollo,,608.50,86.71,"$121,850",40,25,62.50%
4,5,Alex Cerqueira,,541.50,85.78,"$91,765",50,27,54%
5,6,Paulo Eduardo Rossetto,,527,86.94,"$112,155",48,21,43.75%
6,7,Dalton Kasel,,506.50,87.21,"$133,348",38,18,47.37%
7,8,Daylon Swearingen,,500.50,87.44,"$156,590",34,17,50%
8,9,Marco Rizzo,,422,86.40,"$97,340",49,19,38.78%
9,10,Cort McFadden,,414,87.41,"$50,730",40,19,47.50%
10,11,Clay Guiton,,409.50,87.58,"$89,715",22,14,63.64%
11,12,Julio Cesar Marques,,408,86.74,"$74,005",44,19,43.18%
12,13,Bob Mitchell,,406.50,86.09,"$66,922",37,20,54.05%
13,14,Keyshawn Whitehorse,,405,86.29,"$72,492",43,20,46.51%
14,14,Claudio Montanha Jr.,,405,86.11,"$70,982",45,21,46.67%
15,16,Cassio Dias,,399.50,86.88,"$73,240",43,13,30.23%
16,17,Maverick Smith,,379,86.28,"$65,358",40,18,45%
17,18,Luciano De Castro,,357,86.01,"$50,783",41,19,46.34%
18,19,Hudson Bolton,,339,87.48,"$71,493",26,14,53.85%
19,20,Kaiden Loud,,336,86.94,"$54,863",41,16,39.02%
20,21,Jess Lockwood,,292,89.29,"$78,125",22,9,40.91%
21,22,Thiago Salgado,,284.50,87.23,"$41,190",40,16,40%
22,23,Daniel Keeping,,278,87.04,"$38,575",43,15,34.88%
23,24,Koltin Hevalow,,260.50,85.79,"$43,033",48,16,33.33%
24,25,Andrew Alvidrez,,229,85.82,"$61,133",36,10,27.78%
25,26,Callum Miller,,226,86.63,"$27,697",39,13,33.33%
26,27,Jose Vitor Leme,,211.50,88.30,"$27,900",27,11,40.74%
27,28,Bruno Carvalho,,204.50,84.16,"$8,700",29,9,31.03%
28,29,Felipe Furlan,,197,88.54,"$39,197",23,7,30.43%
29,29,Eduardo Aparecido,,197,85.74,"$32,790",40,13,32.50%
30,31,Kaique Pacheco,,195.50,85.79,"$18,475",40,15,37.50%
31,32,Alan de Souza,,190,82.00,"$20,100",39,15,38.46%
32,33,Lucas Divino,,168,85.31,"$17,550",33,10,30.30%
33,34,Kase Hitt,,147,85.75,"$16,632",37,10,27.03%
34,35,Trace Redd,,128,86.48,"$23,000",18,5,27.78%
35,36,Afonso Quintino,,127,83.77,"$11,307",32,11,34.38%
36,37,Manoelito de Souza Junior,,112,85.83,"$18,500",30,6,20%
37,38,Dener Barbosa,,110,88.52,"$10,700",11,3,27.27%
38,39,Mauricio Gulla Moreira,,108,86.60,"$15,600",42,8,19.05%
39,40,Kade Madsen,,106,83.46,"$3,150",10,4,40%
40,41,João Ricardo Vieira,,92.50,84.57,"$7,183",33,9,27.27%
41,42,Austin Richardson,,80.50,85.65,"$12,875",17,5,29.41%
42,43,Andy Guzman,,78,86.65,"$12,050",32,4,12.50%
43,44,Alison dos Santos,,65,84.20,"$5,100",19,3,15.79%
44,45,Alex Junior da Silva,,62.50,84.95,"$4,275",14,4,28.57%
45,46,Cleber Henrique Marques,,38.50,80.84,"$7,933",19,4,21.05%
46,47,Wyatt Rogers,,36,83.20,"$3,150",23,2,8.70%
47,48,Heitor Santos Ferreira,,29.50,86.33,"$3,500",7,2,28.57%
48,49,Ezekiel Mitchell,,29,85.88,"$2,100",12,2,16.67%
49,50,João Lucas Campos,,21,86.30,"$4,333",4,1,25%
50,51,Mason Taylor,,16,86.50,"$3,550",15,1,6.67%
51,51,Romario Leite,,16,83.63,"$1,400",9,2,22.22%
52,51,Lauro Nunes Vieira,,16,82.05,$950,6,1,16.67%
53,54,Lucas Martins Costa,,15,86.15,"$2,550",5,1,20%
54,55,Michael Lane,,14,87.30,"$1,100",4,1,25%
55,56,Jeferson Silva,,12,85.30,$650,3,1,33.33%
56,57,Everton Natan da Silva,,11,84.45,$700,5,1,20%
57,57,Jadon Hayes,,11,85.00,$700,5,1,20%
58,59,Derek Kolbaba,,10,84.25,"$1,200",9,1,11.11%
59,59,Macaulie Leather,,10,87.00,"$1,450",10,1,10%
60,61,JaCauy Hale,,9,82.95,$450,8,1,12.50%
61,61,Eric Henrique Domingos,,9,87.20,$200,3,1,33.33%
62,63,Vinicius Pinheiro Correa,,8,83.35,$200,3,1,33.33%
63,63,Grayson Cole,,8,84.50,"$1,200",9,1,11.11%
64,63,Elijah Jennings,,8,84.40,"$2,200",18,1,5.56%
65,63,Damien Krushall,,8,84.45,$950,7,1,14.29%
66,63,Natanael Serra Aires,,8,84.05,$200,3,1,33.33%
