,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
142,121,Darren Wagler,,0,0.00,$0,1,0,0%
143,121,Sam Southern,,0,0.00,$0,3,0,0%
144,121,Andy Guzman,,0,0.00,$0,3,0,0%
145,121,Aaron Williams,,0,0.00,$0,3,0,0%
146,121,João Paulo Fernandes,,0,0.00,$0,2,0,0%
147,121,Larenz Tsosie,,0,0.00,$0,6,0,0%
148,121,Douglas Franco,,0,0.00,$0,2,0,0%
149,121,Jason Landing,,0,72.00,$0,3,1,33.33%
150,121,Jonathan Moore,,0,0.00,$0,6,0,0%
151,121,Ziggy Pete,,0,0.00,$0,7,0,0%
152,121,Anthony Hopen,,0,0.00,$0,6,0,0%
153,121,Cole Benton,,0,0.00,$0,6,0,0%
154,121,Jadon Hayes,,0,0.00,$0,5,0,0%
155,121,Merle Yoder,,0,0.00,$0,4,0,0%
156,121,Arisson Pereira,,0,0.00,$0,5,0,0%
157,121,Alecio Ferreira da Costa,,0,0.00,$0,3,0,0%
158,121,Alex Koberstein,,0,0.00,$0,3,0,0%
159,121,Cody Bumpaous,,0,0.00,$0,4,0,0%
160,121,Boogie Marquez,,0,0.00,$0,4,0,0%
161,121,Marcio Lima,,0,0.00,$0,3,0,0%
162,121,Bennie Shetler,,0,0.00,$0,4,0,0%
163,121,Jacob Hershberger,,0,0.00,$0,3,0,0%
164,121,Natanael Serra Aires,,0,0.00,$0,2,0,0%
165,121,Tyler Villarreal,,0,0.00,$0,2,0,0%
166,121,Zane Cook,,0,0.00,$0,4,0,0%
167,121,Jacob David,,0,0.00,$0,2,0,0%
168,121,Jadin Hutchens,,0,0.00,$0,3,0,0%
169,121,Austen Hamblin,,0,0.00,$0,4,0,0%
170,121,João Henrique Lucas,,0,0.00,$0,3,0,0%
171,121,Ryer Pete,,0,0.00,$0,3,0,0%
172,121,Roberto Andrade,,0,0.00,$0,4,0,0%
173,121,Kristopher Baker,,0,0.00,$0,2,0,0%
174,121,Wylee Hurst,,0,0.00,$0,2,0,0%
175,121,Dakota Johnson,,0,0.00,$0,3,0,0%
