,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Grayson Cole,,655,85.29,"$31,684",51,14,27.45%
1,2,Nick Tetz,,597.50,85.77,"$33,434",19,15,78.95%
2,3,Romario Leite,,537.50,83.77,"$28,517",40,16,40%
3,4,Macaulie Leather,,529,83.95,"$35,578",31,18,58.06%
4,5,Wyatt Rogers,,517.50,80.94,"$31,003",37,17,45.95%
5,6,Trace Redd,,499.50,86.41,"$28,167",25,10,40%
6,7,Elijah Jennings,,475,84.28,"$23,118",34,10,29.41%
7,8,Dener Barbosa,,456,84.84,"$21,883",36,18,50%
8,9,Brody Robinson,,413.50,81.61,"$19,017",63,17,26.98%
9,10,Jaxton Mortensen,,410,84.32,"$21,873",26,10,38.46%
10,10,Andy Guzman,,410,82.52,"$19,480",27,10,37.04%
11,12,Kurt Shephard,,395,82.00,"$88,195",26,15,57.69%
12,13,Ezekiel Mitchell,,377,85.03,"$16,390",26,11,42.31%
13,14,Zane Cook,,374,85.11,"$15,390",42,10,23.81%
14,15,Braidy Randolph,,368,84.65,"$16,778",40,12,30%
15,16,Mason Taylor,,362,85.24,"$16,534",21,9,42.86%
16,17,Vinicius Rodrigues Pereira,,351,84.64,"$16,921",36,11,30.56%
17,18,Kase Hitt,,348.50,85.21,"$20,974",15,9,60%
18,19,Marcus Mast,,343,85.03,"$12,728",33,10,30.30%
19,20,Manoelito de Souza Junior,,338,84.90,"$16,443",33,11,33.33%
20,21,Eric Novoa,,331,79.70,"$19,668",31,11,35.48%
21,22,Jared Parsonage,,323,85.42,"$116,566",10,9,90%
22,23,Jean Fernandes Pereira,,310,84.38,"$16,956",33,14,42.42%
23,24,Dakota Buttar,,297,83.18,"$21,256",22,14,63.64%
24,25,Dione de Souza Ribeiro,,251.50,80.98,"$13,522",44,10,22.73%
25,26,Jean Carlos Teodoro,,246.50,84.17,"$14,514",30,10,33.33%
26,27,Zane Hall,,238,83.15,"$17,517",22,10,45.45%
27,28,Cody Coverchuk,,230,83.86,"$11,252",19,11,57.89%
28,29,Donnie Rutherfurd,,228.50,83.10,"$14,256",24,12,50%
29,30,Rogério Venâncio,,226.50,84.77,"$11,254",13,7,53.85%
30,31,Afonso Quintino,,220,83.40,"$10,639",8,5,62.50%
31,31,Warley Oliveira da Silva,,220,83.67,"$4,189",20,15,75%
32,33,Kaleb Lewis,,218,83.49,"$11,985",16,6,37.50%
33,34,Daniel Keeping,,214,85.83,"$40,475",8,6,75%
34,34,Kade Madsen,,214,87.43,"$16,072",13,5,38.46%
35,36,Guilherme Valleiras,,212,85.69,"$9,752",23,9,39.13%
36,37,João Paulo Fernandes,,210,81.05,"$9,240",20,6,30%
37,38,Alex Oliveira,,208.50,85.52,"$5,856",21,14,66.67%
38,39,Tahj Wells,,198,83.63,"$6,954",31,8,25.81%
39,40,Carlos Garcia,,196,82.80,"$6,970",18,7,38.89%
40,41,Vinicius Pinheiro Correa,,194.50,85.51,"$8,784",22,9,40.91%
41,42,Jake Gardner,,192.50,84.87,"$37,712",19,8,42.11%
42,43,Marshall Senger,,185,83.92,"$6,936",11,6,54.55%
43,44,Lane Vaughan,,184.50,84.28,"$8,067",6,4,66.67%
