,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Nick Tetz,,469.50,86.42,"$36,964",11,10,90.91%
1,2,Marshall Senger,,185,83.92,"$9,544",11,6,54.55%
2,3,Cody Coverchuk,,153.50,83.53,"$7,894",12,7,58.33%
3,4,Dakota Buttar,,150,81.71,"$6,443",12,7,58.33%
4,5,Coy Robbins,,149,83.28,"$9,765",9,5,55.56%
5,6,Garrett Green,,142,78.72,"$7,998",8,6,75%
6,7,Ashton Sahli,,139,85.54,"$9,318",9,5,55.56%
7,8,Stefan Tonita,,121,85.30,"$7,598",10,5,50%
8,9,Griffin Koester,,116,83.54,"$8,278",9,5,55.56%
9,10,Weston Davidson,,94.50,84.30,"$7,425",7,3,42.86%
10,11,Jake Gardner,,92.50,85.00,"$5,385",7,4,57.14%
11,12,Jeremy Maisonneuve,,92,85.53,"$6,991",7,3,42.86%
12,13,Aaron Roy,,89,83.98,"$5,034",9,5,55.56%
13,14,Trinity Bear,,81,83.85,"$5,610",2,2,100%
14,15,Brock Radford,,61,84.33,"$2,975",4,3,75%
15,16,Jhett Wheeler,,42,83.55,"$1,836",3,2,66.67%
16,17,Dalton Allred,,34,87.90,"$2,135",5,1,20%
17,18,Wacey Schalla,,33,87.60,"$1,890",4,1,25%
18,19,Tanner Eno,,29.50,83.25,$875,9,2,22.22%
19,20,Cauy Schmidt,,29,83.80,"$1,479",8,1,12.50%
20,20,Dusty Golden,,29,82.60,$298,7,2,28.57%
21,22,Dusty Glenn,,24,81.70,$714,7,2,28.57%
22,23,Westen Wade,,23.50,84.40,$735,4,1,25%
23,24,Holden Atkinson,,20,82.10,$357,2,1,50%
24,25,Logan Biever,,16,83.50,$848,7,1,14.29%
25,26,Nash Loewen,,13,83.40,$0,4,1,25%
26,27,Tyler Craig,,12,82.40,$0,6,1,16.67%
27,28,Tahj Wells,,11,81.90,$0,3,1,33.33%
28,28,Zane Tully,,11,82.90,$238,2,1,50%
29,30,Lonnie West,,8,82.80,$0,6,1,16.67%
30,31,Lucas Dunand,,7,74.00,$0,6,1,16.67%
31,32,Francisco Costa,,0,0.00,$0,1,0,0%
32,32,Gilmar Santana,,0,0.00,$0,1,0,0%
33,32,Chanse Switzer,,0,0.00,$0,3,0,0%
34,32,Austin Paley,,0,0.00,$0,3,0,0%
35,32,Tristen Manning,,0,0.00,$0,5,0,0%
36,32,Wyatt Gleeson,,0,0.00,$0,1,0,0%
37,32,Lonnie Phillips,,0,0.00,$0,1,0,0%
38,32,Carter Sahli,,0,0.00,$0,4,0,0%
39,32,Grady Young,,0,0.00,$0,1,0,0%
40,32,Cody Fraser,,0,0.00,$0,1,0,0%
41,32,William Barrows,,0,0.00,$0,2,0,0%
42,32,Dixon Tattrie,,0,0.00,$0,2,0,0%
43,32,Colt Hillis,,0,0.00,$0,2,0,0%
44,32,Wyatt Fennig,,0,0.00,$0,2,0,0%
45,32,Cole Young,,0,0.00,$0,1,0,0%
46,32,Zachery King,,0,0.00,$0,2,0,0%
47,32,Brahmer Gaehring,,0,0.00,$0,1,0,0%
48,32,Tyler Villarreal,,0,0.00,$0,2,0,0%
49,32,Kayden Budde,,0,0.00,$0,1,0,0%
