,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Dakota Buttar,,471.50,86.56,"$48,022",25,18,72%
1,2,Zane Lambert,,231.33,85.17,"$10,973",21,12,57.14%
2,3,Brock Radford,,230.50,86.22,"$16,070",20,9,45%
3,4,Callum Miller,,183,83.57,"$5,209",12,7,58.33%
4,5,Garrett Green,,182.50,85.17,"$11,239",13,9,69.23%
5,6,Lonnie West,,166.50,84.44,"$6,911",16,8,50%
6,7,Jared Parsonage,,149.50,84.68,"$10,065",21,14,66.67%
7,8,Aaron Roy,,133,83.25,"$4,564",20,10,50%
8,9,Logan Biever,,120.50,85.43,"$7,741",17,7,41.18%
9,10,Ty Ellis,,96.50,82.00,"$3,805",9,4,44.44%
10,11,Tanner Eno,,89.50,81.10,"$2,800",15,5,33.33%
11,12,Dayton Johnston,,80.33,83.93,"$2,869",14,7,50%
12,13,Jake Gardner,,69.83,84.81,"$3,995",19,8,42.11%
13,14,Nick Tetz,,69.50,83.08,"$3,507",18,6,33.33%
14,15,Todd Chotowetz,,67.50,85.33,"$1,831",14,3,21.43%
15,16,Tim Lipsett,,52.50,84.67,"$2,212",14,3,21.43%
16,17,Shay Marks,,49.50,82.08,"$2,350",21,6,28.57%
17,18,Fabian Dueck,,39.50,82.38,"$1,420",12,4,33.33%
18,19,Jordan Hansen,,39,84.50,"$2,953",12,3,25%
19,20,Thor Hoefer II,,20,85.75,"$2,869",8,2,25%
20,21,Dalton Rudman,,18.50,86.00,"$1,261",4,1,25%
21,22,Jackson Scott,,16.50,82.25,$550,12,4,33.33%
22,23,Dakota Louis,,14.50,84.33,"$1,875",5,3,60%
23,24,Micheal Ostashek,,14,80.83,$584,12,3,25%
24,25,Wyatt Gleeson,,10.50,81.33,$225,16,3,18.75%
25,25,Zach Laney,,10.50,86.00,$463,4,1,25%
26,27,Cody Casper,,10,85.00,"$1,275",3,2,66.67%
27,28,Rosendo Ramirez,,9,85.50,$371,2,1,50%
28,29,Chad Hartman,,8.50,82.50,$236,5,1,20%
29,30,Wacey Finkbeiner,,7,83.25,$776,8,2,25%
30,31,Kache Moosman,,5,83.50,$0,3,1,33.33%
31,31,Koby Kile,,5,84.50,$655,6,1,16.67%
32,33,Austin Richardson,,3,83.00,$0,5,2,40%
33,34,Coy Robbins,,2,81.00,$0,6,1,16.67%
34,34,Riley Gagnon,,2,78.50,$167,10,1,10%
35,36,Cole Young,,1,83.50,$223,7,1,14.29%
36,36,Nick Goncalves,,1,80.75,$0,3,2,66.67%
37,36,Tyler Craig,,1,81.00,$134,5,1,20%
38,39,Marco Antonio Gloria,,0,0.00,$0,3,0,0%
39,39,Lane Mellers,,0,81.50,$0,2,1,50%
40,39,Weston Hartman,,0,0.00,$0,2,0,0%
41,39,Italo Aguilar,,0,0.00,$0,1,0,0%
42,39,Cody Hudson,,0,0.00,$0,2,0,0%
43,39,Wade Marshall,,0,0.00,$0,8,0,0%
44,39,Isaac Mack,,0,0.00,$0,2,0,0%
45,39,Cawl Braithwaite,,0,0.00,$0,2,0,0%
46,39,Griffin Smeltzer,,0,81.50,$0,5,1,20%
47,39,Lane Paley,,0,82.00,$149,3,1,33.33%
48,39,Zachery King,,0,0.00,$0,9,0,0%
49,39,Ashton Sahli,,0,0.00,$0,4,0,0%
50,39,Wyatt Covington,,0,0.00,$0,4,0,0%
51,39,Cameron Brown,,0,0.00,$0,2,0,0%
52,39,Jayde Murphy,,0,0.00,$0,2,0,0%
53,39,Cole Harris,,0,0.00,$0,1,0,0%
54,39,Austin Allred,,0,0.00,$0,2,0,0%
55,39,Tehiko Neill,,0,0.00,$0,1,0,0%
56,39,Desmond Lambert,,0,0.00,$0,1,0,0%
57,39,Chris Young,,0,0.00,$0,1,0,0%
