,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Jose Vitor Leme,,96,88.90,"$82,748",8,5,62.50%
1,2,Matt Triplett,,38,87.19,"$18,603",10,8,80%
2,2,Luciano De Castro,,38,81.28,"$8,092",14,9,64.29%
3,4,Chase Dougherty,,36,85.86,"$10,494",11,7,63.64%
4,5,Colten Jesse,,35.50,86.25,"$10,434",18,10,55.56%
5,6,Paulo Ferreira Lima,,33,86.40,"$13,320",15,5,33.33%
6,7,Cody Teel,,28,84.75,"$6,250",2,2,100%
7,8,Dakota Louis,,22,84.50,"$17,204",11,3,27.27%
8,8,Kyler Oliver,,22,87.25,"$6,236",12,4,33.33%
9,10,Garrion Hull,,19,79.33,"$6,633",11,3,27.27%
10,11,Jess Lockwood,,18.50,89.00,"$15,963",2,1,50%
11,11,João Ricardo Vieira,,18.50,89.00,"$16,963",3,1,33.33%
12,13,Hunter Ball,,16.50,88.83,"$6,125",13,3,23.08%
13,14,River Stephenson,,16,86.83,"$4,546",8,3,37.50%
14,14,Austin Covington,,16,86.00,"$6,190",11,3,27.27%
15,16,Chase Outlaw,,15.50,87.00,"$4,480",5,2,40%
16,17,Brady Sims,,15,86.83,"$3,928",10,3,30%
17,17,Colten Fritzlan,,15,86.50,"$9,704",3,1,33.33%
18,17,Keyshawn Whitehorse,,15,88.33,"$4,225",4,3,75%
19,17,Cooper Davis,,15,87.75,"$3,923",2,2,100%
20,21,Winston Lopez,,14,86.50,"$2,708",6,2,33.33%
21,22,Daylon Swearingen,,13,84.50,"$2,250",2,1,50%
22,22,Rafael dos Santos,,13,88.17,"$4,720",7,3,42.86%
23,24,Dylan Smith,,11.50,86.50,"$4,704",7,3,42.86%
24,24,Caleb Christian,,11.50,59.25,"$3,122",6,2,33.33%
25,26,Eli Vastbinder,,11,86.00,"$2,897",10,3,30%
26,27,Gage Gay,,10.50,86.13,"$3,890",12,4,33.33%
27,28,Andre da Cruz de Souza,,9.50,84.67,"$2,941",14,3,21.43%
28,29,Marcus Mast,,8.50,86.17,"$2,980",14,3,21.43%
29,30,Ezekiel Mitchell,,8,87.17,"$2,957",5,3,60%
30,30,Brennon Eldred,,8,81.13,"$4,240",8,4,50%
31,30,Stetson Lawrence,,8,86.00,"$4,859",5,3,60%
32,30,Max Castro,,8,87.50,"$2,680",4,1,25%
33,30,Josh Frost,,8,85.50,"$12,500",2,1,50%
34,30,Kyle Jones,,8,84.13,"$2,716",13,4,30.77%
35,30,Francisco Morales,,8,87.25,"$3,056",7,2,28.57%
36,30,Marco Eguchi,,8,86.25,"$3,468",2,2,100%
37,30,Brady Portenier,,8,86.25,"$5,905",3,2,66.67%
38,39,Junior Patrik Souza,,7.50,85.17,"$2,994",10,3,30%
39,39,Silvano Alves,,7.50,84.50,"$2,800",11,4,36.36%
40,41,Dener Barbosa,,7,86.00,"$2,693",2,2,100%
41,41,Tyler Harr,,7,87.00,"$1,654",4,1,25%
42,41,Cole Skender,,7,84.13,"$2,022",8,4,50%
43,41,Alex Cardozo,,7,86.50,"$1,642",2,1,50%
44,41,Seth White,,7,84.75,"$1,442",3,2,66.67%
45,41,Triston Dean,,7,86.50,"$2,159",3,1,33.33%
46,41,Shay Marks,,7,89.50,"$3,495",2,1,50%
47,41,Valdiron de Oliveira,,7,78.00,"$2,314",2,2,100%
48,49,Cole Melancon,,6.50,85.83,"$2,414",7,3,42.86%
49,50,Koal Livingston,,5,86.83,"$1,922",8,3,37.50%
50,51,João Henrique Lucas,,4.50,84.63,"$2,327",8,4,50%
51,52,Derek Kolbaba,,4,85.00,"$2,035",5,1,20%
