,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Aaron Kleier,,674,83.57,"$31,750",37,22,59.46%
1,2,Lachlan Richardson,,616,84.58,"$24,275",31,19,61.29%
2,3,Kurt Shephard,,424.50,82.75,"$10,674",26,12,46.15%
3,4,Brady Fielder,,344.50,82.27,"$8,923",32,13,40.63%
4,5,Jake Curr,,324.50,82.77,"$8,572",29,13,44.83%
5,6,Sam Woodall,,236.50,85.92,"$6,160",24,6,25%
6,7,Bailey Woodard,,178.33,82.86,"$4,112",30,7,23.33%
7,8,Lane Mellers,,141,83.50,"$5,670",25,4,16%
8,9,Jackson Gray,,133.50,83.10,"$3,074",30,5,16.67%
9,10,Lawson Nobbs,,130,85.56,"$5,830",22,4,18.18%
10,11,Nathan Burtenshaw,,115.50,84.25,"$8,338",5,4,80%
11,12,Will Purcell,,96.50,84.67,"$8,702",10,3,30%
12,13,Mitchel Paton,,92,79.79,"$3,991",25,6,24%
13,14,Ty Thomson,,86.50,84.17,"$5,322",19,3,15.79%
14,15,Kelsey Pavlou,,86,81.13,"$2,077",22,4,18.18%
15,16,Cody Heffernan,,85,83.75,"$2,170",10,2,20%
16,17,Jay Borghero,,75,83.33,"$1,699",23,3,13.04%
17,17,Brady Sims,,75,83.50,"$6,600",5,1,20%
18,19,Braydon Wellby,,74,80.67,"$1,379",15,6,40%
19,20,Eduardo Aparecido,,72.50,83.00,"$6,533",5,3,60%
20,21,Lachlan Slade,,67,80.69,"$1,932",21,4,19.05%
21,22,Jack McArthur,,66,83.00,"$1,694",11,2,18.18%
22,23,Brendan Buckholz,,62,79.80,"$2,520",25,5,20%
23,24,Caiden Sandilands,,60.50,80.70,$866,27,5,18.52%
24,25,Joe Down,,59,81.67,"$1,057",18,3,16.67%
25,26,Matt Hollis,,58,82.00,"$1,450",11,2,18.18%
26,27,Rubens Barbosa,,55.50,84.00,"$1,333",5,2,40%
27,28,Brody Woodard,,48.50,83.50,"$1,243",21,1,4.76%
28,29,Rohan Markham,,33.50,85.50,"$1,733",13,1,7.69%
29,30,Zane Hall,,32,79.75,$934,20,4,20%
30,31,Sonny Schafferius,,26,80.00,$331,12,1,8.33%
31,32,Troy Wilkinson,,24,78.00,"$4,806",6,2,33.33%
32,33,Michael Smith,,20,76.00,$239,18,2,11.11%
33,34,Sam Champ,,19,82.00,$460,14,1,7.14%
34,35,JC Davis,,15.33,84.00,$938,5,1,20%
35,36,Cliff Richardson,,14,84.00,$800,2,1,50%
36,36,Josh Cavanagh,,14,76.00,$232,7,1,14.29%
37,38,Eli Bee,,13,81.25,$0,5,2,40%
38,39,Jack Keats,,12.50,80.00,$120,25,2,8%
39,40,Kaique Pacheco,,11,82.25,$200,4,2,50%
40,41,Budd Williamson,,10,83.50,$450,15,1,6.67%
41,41,Thomas Hudson,,10,81.00,"$1,659",3,1,33.33%
42,43,Cody Rodeo Tyler,,8.33,84.00,$375,5,1,20%
43,44,Beau Willis,,8,73.00,$0,13,1,7.69%
44,45,Ethan Watts,,6,80.00,"$1,101",6,1,16.67%
45,45,Ben Gard,,6,70.75,$0,12,2,16.67%
46,47,Justin Robards,,0,0.00,$0,1,0,0%
47,47,Sam Woodard,,0,0.00,$0,2,0,0%
48,47,Oscar Leake,,0,0.00,$0,1,0,0%
49,47,Robert Hicks,,0,0.00,$0,1,0,0%
50,47,Tyler Morgan,,0,0.00,$0,8,0,0%
51,47,Daniel Rogan,,0,0.00,$0,3,0,0%
52,47,Cameron McLennan,,0,0.00,$0,19,0,0%
53,47,Harry Bridges,,0,0.00,$0,6,0,0%
54,47,Sam Spencer,,0,0.00,$0,2,0,0%
55,47,Eric Richardson,,0,0.00,$0,2,0,0%
56,47,Will Watson,,0,0.00,$0,2,0,0%
57,47,Wayne Crisp,,0,0.00,$0,1,0,0%
58,47,Sam Daly,,0,0.00,$0,1,0,0%
59,47,Luke Parkinson,,0,77.00,$217,3,1,33.33%
60,47,Isaac Leclair,,0,72.50,$0,2,1,50%
61,47,Dan Ruhland,,0,0.00,$0,11,0,0%
62,47,Brumby Brandenburg,,0,0.00,$0,7,0,0%
63,47,Clay Hall,,0,0.00,$0,6,0,0%
64,47,Lucas McKenzie,,0,0.00,$0,4,0,0%
65,47,Bryn Francis,,0,0.00,$0,4,0,0%
66,47,Jack Cameron,,0,0.00,$0,6,0,0%
67,47,Joey Buckingham,,0,0.00,$0,3,0,0%
68,47,Jake Whalan,,0,0.00,$0,2,0,0%
69,47,Jacob Rayner,,0,0.00,$0,3,0,0%
70,47,Chad Ormsby,,0,0.00,$0,1,0,0%
71,47,Ben Graving,,0,0.00,$0,1,0,0%
72,47,Sean Lynch,,0,0.00,$0,2,0,0%
73,47,William Dougan,,0,0.00,$0,1,0,0%
74,47,Quintin Carey,,0,0.00,$0,1,0,0%
