,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Jose Vitor Leme,,"1,474",88.15,"$1,405,794",65,44,67.69%
1,2,João Ricardo Vieira,,863.91,87.05,"$281,951",63,31,49.21%
2,3,Boudreaux Campbell,,808,88.15,"$387,214",18,10,55.56%
3,4,Marco Eguchi,,678.75,85.63,"$170,510",42,17,40.48%
4,5,Jess Lockwood,,675.50,88.34,"$195,910",45,22,48.89%
5,6,Keyshawn Whitehorse,,662,86.73,"$257,151",42,14,33.33%
6,7,Kaique Pacheco,,647.50,85.59,"$132,556",63,31,49.21%
7,8,Cooper Davis,,638,87.79,"$146,213",38,21,55.26%
8,9,Daylon Swearingen,,601.16,87.30,"$155,903",66,25,37.88%
9,10,Lucas Divino,,552.50,84.42,"$133,565",56,26,46.43%
10,11,Eduardo Aparecido,,537.50,85.91,"$141,925",50,22,44%
11,12,Cole Melancon,,522.50,87.25,"$236,544",51,14,27.45%
12,13,Derek Kolbaba,,485,87.73,"$155,778",65,20,30.77%
13,14,Colten Jesse,,419.50,87.53,"$103,332",51,16,31.37%
14,15,Mason Taylor,,368.75,86.03,"$79,789",59,19,32.20%
15,16,Cody Teel,,358.25,85.79,"$87,011",58,18,31.03%
16,17,Ezekiel Mitchell,,343.50,87.10,"$76,215",68,22,32.35%
17,18,Dener Barbosa,,290,85.88,"$69,690",28,15,53.57%
18,19,Silvano Alves,,265.50,83.72,"$66,401",57,18,31.58%
19,20,Brennon Eldred,,251.50,86.37,"$70,551",49,17,34.69%
20,21,Alex Cerqueira,,251,84.94,"$62,840",39,13,33.33%
21,22,Ramon de Lima,,248.16,85.45,"$81,077",45,15,33.33%
22,23,J.B. Mauney,,209,87.55,"$43,708",28,10,35.71%
23,24,Matt Triplett,,203.50,86.80,"$45,766",41,15,36.59%
24,25,Ryan Dirteater,,186.50,87.83,"$81,661",25,10,40%
25,26,Andrew Alvidrez,,185.66,86.14,"$48,219",33,9,27.27%
26,27,Fabiano Vieira,,185.50,83.37,"$36,487",32,13,40.63%
27,28,Claudio Montanha Jr.,,183,84.96,"$43,180",43,14,32.56%
28,29,Stetson Lawrence,,145.50,85.98,"$41,873",47,10,21.28%
29,30,Mauricio Gulla Moreira,,131,86.53,"$38,734",39,8,20.51%
30,31,Tye Chandler,,123.33,87.46,"$42,047",21,6,28.57%
31,32,Taylor Toves,,117.50,86.67,"$32,905",55,9,16.36%
32,33,João Henrique Lucas,,114,86.00,"$29,023",39,9,23.08%
33,34,Dalton Kasel,,105.50,88.06,"$26,861",12,4,33.33%
34,35,Aaron Kleier,,86.83,85.64,"$20,948",30,9,30%
35,36,Dakota Louis,,72.50,85.82,"$20,148",35,7,20%
36,37,Rafael dos Santos,,66,85.64,"$16,467",28,7,25%
37,38,Junior Patrik Souza,,64,81.39,"$15,078",27,7,25.93%
38,39,Brock Radford,,51.66,87.42,"$10,081",15,3,20%
39,40,Cannon Cravens,,47.50,86.10,"$17,000",22,5,22.73%
40,41,Paulo Ferreira Lima,,47,86.50,"$13,369",25,4,16%
41,42,Jake Lockwood,,43.50,85.61,"$17,839",39,7,17.95%
42,43,Cody Jesus,,43,88.50,"$15,800",11,2,18.18%
43,44,Cody Casper,,40,86.38,"$14,400",34,4,11.76%
44,45,Dakota Buttar,,35,86.25,"$9,400",7,2,28.57%
45,45,Amadeu Campos Silva,,35,85.10,"$12,747",30,5,16.67%
46,45,Kyler Oliver,,35,90.00,"$11,900",6,1,16.67%
47,48,Bradley Brittain,,34,82.70,"$7,870",26,5,19.23%
48,49,Marcus Mast,,29.50,83.36,"$11,497",37,7,18.92%
49,50,Alisson De Souza,,22.50,82.54,"$6,570",19,6,31.58%
50,51,Luciano De Castro,,20.50,84.25,"$4,975",23,4,17.39%
51,52,Cody Nance,,19.16,85.67,"$5,983",18,3,16.67%
52,53,Brady Fielder,,19,84.63,"$5,150",10,4,40%
53,54,Gage Gay,,17,86.42,"$5,850",13,3,23.08%
54,55,Dylan Smith,,15,85.25,"$2,667",9,2,22.22%
55,55,Eli Vastbinder,,15,85.75,"$4,324",3,1,33.33%
56,57,Junio Quaresima,,14.50,85.25,"$3,175",11,3,27.27%
57,58,Keith Hall,,13,85.00,"$7,567",15,1,6.67%
58,59,Wallace Vieira de Oliveira,,12,88.50,"$6,617",16,1,6.25%
