,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Dakota Buttar,,813.50,83.77,"$170,844",48,28,58.33%
1,2,Nick Tetz,,774.66,84.94,"$63,125",50,34,68%
2,3,Cody Coverchuk,,721.16,82.98,"$49,476",81,45,55.56%
3,4,Tyler Craig,,683,83.70,"$59,667",50,22,44%
4,5,Coy Robbins,,583.66,84.98,"$43,441",42,25,59.52%
5,6,Aaron Roy,,582,83.84,"$43,506",75,32,42.67%
6,7,Garrett Green,,524.50,84.31,"$34,949",29,20,68.97%
7,8,Wyatt Gleeson,,487.83,84.95,"$34,680",52,19,36.54%
8,9,Jared Parsonage,,430.50,84.46,"$29,783",21,14,66.67%
9,10,Jordan Hansen,,425,85.77,"$27,408",17,11,64.71%
10,11,Chad Hartman,,394.33,83.30,"$22,793",71,20,28.17%
11,12,Jake Gardner,,344.50,85.23,"$20,701",36,16,44.44%
12,13,Ashton Sahli,,336.50,84.59,"$26,421",45,14,31.11%
13,14,Conner Halverson,,322.16,83.13,"$21,560",22,14,63.64%
14,15,Stefan Tonita,,319.83,82.11,"$18,636",65,16,24.62%
15,16,Blake Smith,,267.50,82.71,"$21,707",38,12,31.58%
16,17,Cody Fraser,,241.83,83.18,"$14,962",46,11,23.91%
17,18,Weston Davidson,,215.50,80.27,"$17,209",64,13,20.31%
18,19,Daylon Swearingen,,205,86.55,"$11,788",13,5,38.46%
19,20,Macaulie Leather,,204,85.75,"$22,188",4,4,100%
20,21,Brock Radford,,200,82.05,"$10,882",36,11,30.56%
21,22,Callum Miller,,194,81.88,"$13,232",51,13,25.49%
22,23,John Crimber,,158.50,86.88,"$8,446",6,4,66.67%
23,24,Jake Dunham,,152.66,80.90,"$10,882",38,10,26.32%
24,25,Griffin Smeltzer,,150,85.21,"$14,587",17,7,41.18%
25,26,Cauy Schmidt,,126.33,83.00,"$7,783",37,9,24.32%
26,27,Cole Brewer,,123,81.43,"$14,786",19,7,36.84%
27,28,William Barrows,,118.50,80.80,"$6,389",16,5,31.25%
28,29,Fabian Dueck,,111,80.70,"$7,888",23,5,21.74%
29,30,Lachlan Richardson,,87,85.42,"$3,063",4,3,75%
30,31,Chanse Switzer,,83,86.00,"$3,973",7,3,42.86%
31,32,Boudreaux Campbell,,68,83.13,"$4,675",8,4,50%
32,33,Jake Maher,,65,72.54,"$3,327",44,6,13.64%
33,34,Gage Gay,,62.33,84.38,"$3,848",9,4,44.44%
34,35,Silvano Alves,,59,82.92,$0,4,3,75%
35,36,Kobe Whitford,,40.50,83.17,"$1,615",7,3,42.86%
36,37,Cole Wagner,,36.50,83.00,"$3,480",8,2,25%
37,38,Wade Marshall,,29,80.00,$875,14,1,7.14%
38,39,Micheal Ostashek,,23.50,80.33,"$2,916",29,3,10.34%
39,40,Tim Lipsett,,22.50,80.00,$496,14,2,14.29%
40,41,Kelsey Pavlou,,21,81.75,$611,14,2,14.29%
41,42,Joe Alejos,,20.66,83.50,$446,2,1,50%
42,43,Carter Sahli,,17,79.00,"$1,116",10,2,20%
43,43,Tanner Skene,,17,82.00,"$1,568",17,1,5.88%
44,45,Zane Hall,,15,80.50,"$1,740",14,1,7.14%
45,46,Cole Young,,14,81.00,$0,9,1,11.11%
46,47,Jett Lambert,,13.50,82.50,$0,6,1,16.67%
47,48,Tyson Thue,,13,83.00,$918,6,1,16.67%
48,49,Marco Antonio Gloria,,12.50,83.50,$0,5,1,20%
49,50,Orrin Marshall,,11,78.50,$179,12,2,16.67%
50,51,Kade McDonald,,10,81.00,$268,17,1,5.88%
51,52,Tyson Salmon,,9,79.00,$0,23,1,4.35%
52,52,Cody Fitzpatrick,,9,81.00,$0,5,1,20%
53,54,Grady Smeltzer,,2,72.00,$0,6,1,16.67%
54,55,Landon Schmidt,,0,0.00,$0,3,0,0%
55,55,Keaton Martz,,0,0.00,$0,26,0,0%
56,55,Reed Duncan,,0,0.00,$0,2,0,0%
57,55,Tanner Eno,,0,0.00,$0,1,0,0%
58,55,Elijah Gordon,,0,0.00,$0,9,0,0%
59,55,Clay Gordon,,0,0.00,$0,8,0,0%
60,55,Eric O'Flynn,,0,0.00,$0,6,0,0%
61,55,Thor Hoefer II,,0,0.00,$0,3,0,0%
62,55,Osman Alvarez,,0,0.00,$0,2,0,0%
63,55,Cole Troendle,,0,0.00,$0,4,0,0%
64,55,Damon Tritthart,,0,0.00,$0,4,0,0%
65,55,Riley Sibbet,,0,0.00,$0,2,0,0%
