,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Josh Frost,,680.50,83.07,"$106,386",26,19,73.08%
1,2,Claudio Montanha Jr.,,567,84.46,"$22,440",41,19,46.34%
2,3,João Lucas Campos,,478.83,81.28,"$40,993",27,19,70.37%
3,4,Dawson Branton,,428.50,82.38,"$24,297",30,15,50%
4,5,Macaulie Leather,,410.50,82.86,"$26,191",25,14,56%
5,6,Michael Lane,,375,84.17,"$16,017",30,12,40%
6,7,Mason Moody,,345.50,85.94,"$19,457",34,8,23.53%
7,8,Kyle Jones,,344.50,85.40,"$17,860",37,10,27.03%
8,9,Grayson Cole,,344,86.06,"$18,285",40,8,20%
9,10,Nick Tetz,,329.50,84.34,"$18,990",17,8,47.06%
10,11,Jake Morinec,,328,82.25,"$15,057",36,14,38.89%
11,12,Austin Richardson,,319,86.81,"$15,942",16,9,56.25%
12,13,Carlos Garcia,,318.50,84.93,"$13,627",27,10,37.04%
13,14,Alex Marcilio,,313,86.25,"$15,910",13,6,46.15%
14,15,Sam Woodall,,305.16,84.91,"$18,719",30,11,36.67%
15,16,Flavio Zivieri,,304,84.63,"$16,832",15,10,66.67%
16,17,Afonso Quintino,,302.50,83.46,"$10,662",29,12,41.38%
17,17,Alex Cerqueira,,302.50,83.65,"$16,410",25,13,52%
18,19,Griffin Smeltzer,,297,86.00,"$14,032",34,9,26.47%
19,20,Chase Dougherty,,293,83.75,"$29,901",17,8,47.06%
20,21,Dakota Eagleburger,,284,83.50,"$12,805",36,10,27.78%
21,22,Dalton Rudman,,263.50,85.50,"$14,125",21,6,28.57%
22,23,Aaron Williams,,249.50,85.33,"$12,967",23,6,26.09%
23,24,Vitor Losnake,,247,85.31,"$13,782",26,8,30.77%
24,25,Rider Unavailable,,244,85.58,"$11,750",15,6,40%
25,26,Guilherme Valleiras,,241.50,82.41,"$11,074",29,11,37.93%
26,27,Patterson Starcher,,238.50,85.14,"$11,746",23,7,30.43%
27,28,Jean Fernandes Pereira,,235,82.39,"$9,144",23,18,78.26%
28,29,Elizmar Jeremias,,234.50,84.80,"$12,131",29,10,34.48%
29,30,Cody Heffernan,,232.50,85.25,"$18,129",19,10,52.63%
30,31,Ray Mayo,,228,82.92,"$12,934",15,6,40%
31,32,Casey Coulter,,227.50,84.50,"$10,511",17,8,47.06%
32,33,Lachlan Richardson,,221.50,81.28,"$15,011",22,9,40.91%
33,34,Aaron Kleier,,212.66,83.82,"$13,292",24,11,45.83%
34,35,Garrett Jones,,208.50,81.09,"$9,105",37,11,29.73%
35,36,Junio Quaresima,,208.16,83.35,"$6,543",32,10,31.25%
36,37,Dylan Smith,,206,83.90,"$9,750",22,5,22.73%
37,38,Brandon Chambers,,202,82.81,"$11,868",26,8,30.77%
38,39,Jake Curr,,198,82.94,"$8,301",21,8,38.10%
39,40,Conner Halverson,,196,84.13,"$13,295",22,4,18.18%
40,41,Elijah Mora,,195,84.61,"$13,774",39,9,23.08%
41,42,Ednei Caminhas,,194,86.58,"$21,282",7,3,42.86%
42,42,Coy Robbins,,194,85.93,"$9,983",10,7,70%
43,44,Bill Henry,,191,80.80,"$9,948",22,5,22.73%
44,45,Dustin Martinez,,181.50,85.10,"$11,495",38,5,13.16%
45,45,Zane Cook,,181.50,80.94,"$8,789",22,8,36.36%
46,47,Dakota Warnken,,176.66,81.25,"$8,340",25,6,24%
47,48,Dakota Buttar,,169,83.42,"$7,315",8,6,75%
48,49,Jared Parsonage,,168,85.00,"$8,178",7,6,85.71%
49,50,João Ricardo Vieira,,165,84.38,"$10,209",14,8,57.14%
50,51,Felipe Furlan,,164,83.87,"$2,956",18,13,72.22%
51,52,Kurt Shephard,,163,83.33,"$9,888",10,6,60%
52,53,Alvaro Ariel,,161,85.08,"$13,140",22,6,27.27%
53,54,Cody Coverchuk,,152.50,81.00,"$7,618",14,11,78.57%
54,55,Jaxton Mortensen,,149,85.50,"$9,178",16,3,18.75%
55,56,Cassio Dias,,148.50,86.00,"$9,116",17,6,35.29%
56,57,Chase Wimer,,146,84.75,"$4,820",13,6,46.15%
57,57,Tyler Manor,,146,81.40,"$8,662",11,5,45.45%
58,59,Brandon McDowell,,145.50,84.00,"$8,352",10,2,20%
59,60,Rafael Jose de Brito,,144,85.42,"$15,665",8,3,37.50%
60,61,Lane Lasley,,142,84.67,"$7,460",4,3,75%
61,62,Cole Fischer,,140,85.83,"$16,333",3,3,100%
62,63,Donnie Rutherfurd,,136,86.00,"$12,658",3,2,66.67%
63,64,Thiago Salgado,,135.50,85.17,"$6,788",4,3,75%
64,65,Wingson Henrique da Silva,,133.50,84.35,"$8,332",12,5,41.67%
65,66,Dalton Kasel,,132,90.00,"$7,150",2,2,100%
66,67,Hunter Ball,,131.66,85.50,"$4,118",20,6,30%
67,68,Brady Turgeon,,131,84.00,"$7,852",5,2,40%
68,69,Rubens Barbosa,,127.66,85.60,"$12,583",16,5,31.25%
69,70,Cody McCandless,,127.50,83.17,"$6,802",17,3,17.65%
70,71,Alex Cardozo,,123.50,83.38,"$4,800",11,4,36.36%
71,72,Leonardo Lima,,122.50,79.92,"$7,751",28,6,21.43%
72,73,Wyatt Gleeson,,122,82.67,"$4,917",10,6,60%
73,73,Trefor Sproule,,122,81.08,"$5,910",19,6,31.58%
74,75,Lucas Junio da Silveira,,120.83,80.16,"$1,929",20,11,55%
75,76,Keith Hall,,120.50,83.08,"$5,004",43,6,13.95%
76,77,Ednélio Rodrigues,,120,85.00,"$5,877",6,4,66.67%
77,78,Rafael Parra,,116.50,81.59,"$2,627",20,11,55%
78,79,Paulo Eduardo Rossetto,,116,78.68,"$4,243",16,11,68.75%
79,80,Marco Eguchi,,113,86.50,"$6,440",8,2,25%
80,81,Bruno Carvalho,,112,80.98,"$1,501",21,12,57.14%
81,82,Mauricio Gulla Moreira,,111.50,84.50,"$5,400",8,2,25%
82,83,Arthur Antonialle,,110,86.14,"$3,602",15,7,46.67%
83,84,Taylor Allen,,109,86.50,"$6,320",3,2,66.67%
84,85,Marcelo Procopio Pereira,,108,80.30,"$7,018",10,5,50%
85,86,Gabriel Morais,,107.50,82.25,"$3,236",18,8,44.44%
86,87,Manoelito de Souza Junior,,107,87.75,"$8,790",8,2,25%
87,88,Dustin Herman,,106.66,84.40,"$3,565",34,5,14.71%
88,89,Justin Ethridge,,105.50,82.25,"$1,910",26,6,23.08%
89,90,Ramon de Lima,,105,83.90,"$2,690",10,5,50%
90,90,Luiz Americo P. Silva,,105,82.25,"$1,581",17,8,47.06%
91,90,Trent Nugent,,105,80.13,"$6,341",17,4,23.53%
