,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Alan de Souza,,"1,116.33",83.80,"$179,004",54,35,64.81%
1,2,John Crimber,,"1,089",85.71,"$70,133",44,26,59.09%
2,3,Sandro Batista,,673.50,85.42,"$53,851",32,23,71.88%
3,4,Ednei Caminhas,,606,81.88,"$55,168",71,24,33.80%
4,5,Dakota Buttar,,571.50,83.85,"$35,444",38,20,52.63%
5,6,Conner Halverson,,563.50,80.58,"$28,903",49,22,44.90%
6,7,Cody Coverchuk,,547.16,83.23,"$31,139",62,32,51.61%
7,8,Jean Fernandes Pereira,,526.49,82.85,"$11,829",57,31,54.39%
8,9,Kade Madsen,,498.66,86.91,"$62,993",25,11,44%
9,10,Nick Tetz,,480.50,84.69,"$33,405",41,26,63.41%
10,11,Felipe Furlan,,475.50,81.98,"$13,058",48,32,66.67%
11,12,Vitor Losnake,,469.50,85.08,"$48,720",30,13,43.33%
12,13,Yan Victor Cunha,,466,83.66,"$8,057",44,29,65.91%
13,14,Daylon Swearingen,,459.50,85.35,"$54,132",23,13,56.52%
14,15,Wyatt Rogers,,436.16,79.97,"$39,896",41,15,36.59%
15,16,Aaron Roy,,426.50,84.53,"$27,180",54,19,35.19%
16,17,Cladson Rodolfo,,416.50,85.20,"$9,132",39,23,58.97%
17,18,Leonardo Castro,,414,83.90,"$11,089",27,20,74.07%
18,19,Jordan Hansen,,413.50,86.50,"$23,607",13,9,69.23%
19,20,Leandro Zampollo,,412.50,83.99,"$5,781",60,30,50%
20,21,Maciel Santana,,411.16,81.96,"$9,020",48,26,54.17%
21,22,Coy Robbins,,410.66,84.91,"$23,219",26,16,61.54%
22,23,Adilson Junior,,397.50,83.88,"$6,631",48,25,52.08%
23,24,Cassio Dias,,396.50,82.55,"$9,548",33,21,63.64%
24,25,Wyatt Gleeson,,391.33,85.23,"$22,067",38,13,34.21%
25,26,Warley Oliveira da Silva,,388.66,84.38,"$7,282",40,25,62.50%
26,27,Alex Junior da Silva,,384.50,82.27,"$12,501",54,32,59.26%
27,28,Macaulie Leather,,382.83,84.50,"$25,663",30,17,56.67%
28,29,José de Castro,,372,81.80,"$11,611",31,22,70.97%
29,30,Gabriel Morais,,366,83.89,"$7,399",45,22,48.89%
30,31,João Lucas Campos,,360,85.61,"$8,061",30,18,60%
31,32,Alisson De Souza,,354.50,82.18,"$14,625",46,19,41.30%
32,33,Elton Toledo,,345.16,82.24,"$5,115",49,29,59.18%
33,34,Miguel de Jesus,,335,84.79,"$1,949",51,28,54.90%
34,35,Chase Wimer,,330,74.13,"$23,671",28,8,28.57%
35,36,Alex Cerqueira,,325,84.56,"$21,652",21,8,38.10%
36,37,Eli Vastbinder,,313,86.56,"$37,718",12,8,66.67%
37,38,Brady Fielder,,310.99,83.92,"$17,609",34,13,38.24%
38,39,Ashton Sahli,,308.50,84.46,"$17,564",40,13,32.50%
39,40,Eric Henrique Domingos,,300.50,83.53,"$3,997",39,24,61.54%
40,41,Tyler Craig,,295,84.54,"$13,241",34,12,35.29%
41,42,Chad Hartman,,289.83,82.77,"$13,941",58,15,25.86%
42,43,Aaron Kleier,,281.50,84.92,"$32,905",21,13,61.90%
43,44,Davi Henrique de Lima,,271,80.00,"$10,823",41,15,36.59%
44,45,Keyshawn Whitehorse,,270,83.50,"$13,013",22,11,50%
45,46,Rafael Parra,,263.16,82.02,"$4,572",52,21,40.38%
46,47,Dawson Gleaves,,262.50,85.14,"$17,073",11,7,63.64%
47,48,Bob Mitchell,,252.50,82.79,"$29,121",16,7,43.75%
48,49,Sam Woodall,,251.33,86.72,"$18,335",18,9,50%
49,50,Vitor Hugo Costa,,241.16,82.38,"$1,651",36,19,52.78%
50,51,Stefan Tonita,,237,81.75,"$12,871",50,10,20%
51,52,João Paulo Fernandes,,230,85.75,"$12,708",16,4,25%
52,53,Jerson Arantes,,229.66,83.19,"$2,046",47,21,44.68%
53,54,Bruno Carvalho,,229,81.59,"$3,756",33,16,48.48%
54,55,Lachlan Richardson,,228.33,83.25,"$14,556",20,12,60%
55,56,Garrett Green,,227,83.83,"$14,193",16,9,56.25%
