,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Josh Frost,,288,84.79,"$26,591",7,7,100%
1,2,Alex Cerqueira,,176,83.33,"$10,123",15,9,60%
2,3,João Ricardo Vieira,,165,84.38,"$10,209",14,8,57.14%
3,4,Alvaro Ariel,,161,85.08,"$12,990",18,6,33.33%
4,5,Cole Fischer,,140,85.83,"$16,333",3,3,100%
5,6,Ednélio Rodrigues,,120,85.00,"$5,877",6,4,66.67%
6,7,Cassio Dias,,113.50,85.90,"$7,216",13,5,38.46%
7,8,Taylor Allen,,109,86.50,"$6,320",3,2,66.67%
8,9,Dawson Branton,,106,81.08,"$8,980",12,6,50%
9,9,Elizmar Jeremias,,106,85.08,"$6,681",20,6,30%
10,11,Garrett Jones,,100,84.00,"$5,705",12,5,41.67%
11,12,Brennon Eldred,,99.50,86.50,"$6,154",2,2,100%
12,13,Jake Morinec,,82.50,85.67,"$7,790",4,3,75%
13,14,Wingson Henrique da Silva,,78.50,83.75,"$3,532",8,4,50%
14,15,Wyatt Rogers,,74.50,84.63,"$4,695",8,4,50%
15,16,Justin Houston,,73,87.00,"$8,339",2,1,50%
16,17,Colton Burkard,,71.50,84.00,"$4,248",5,3,60%
17,18,Rubens Barbosa,,70,85.00,"$10,000",6,3,50%
18,19,Elijah Mora,,69,84.38,"$4,099",10,4,40%
19,19,Cody Hooks,,69,81.00,"$3,433",5,2,40%
20,21,Cole Skender,,68.50,83.17,$689,10,6,60%
21,22,Guilherme Valleiras,,65.50,84.33,"$4,427",7,3,42.86%
22,23,Kade Madsen,,63,88.50,"$10,000",4,2,50%
23,24,J.T. Moore,,62,87.50,"$4,716",6,2,33.33%
24,25,Junio Quaresima,,61,83.00,"$1,333",9,4,44.44%
25,26,Deklan Garland,,60.50,86.50,"$4,071",3,2,66.67%
26,26,Kyle Jones,,60.50,87.25,"$5,700",4,2,50%
27,28,Braidy Randolph,,59,86.00,"$3,515",3,3,100%
28,28,JC Mortensen,,59,84.25,"$6,430",3,2,66.67%
29,28,Austin Richardson,,59,87.50,"$3,302",2,2,100%
30,31,Vitor Losnake,,58.50,86.17,"$3,630",9,3,33.33%
31,32,Dustin Martinez,,56,83.50,"$4,595",9,2,22.22%
