,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
87,88,Paulo Henrique de Oliveira,,17,77.50,$88,3,2,66.67%
88,88,Lucas Aráujo,,17,73.50,$0,4,2,50%
89,88,Andre Luiz Souza,,17,82.13,$0,3,2,66.67%
90,88,José Artur Guedes,,17,80.38,$0,3,2,66.67%
91,88,Luis Fernando Costa,,17,83.25,$0,4,2,50%
92,93,Willian Bueno de Oliveira,,16,88.50,"$1,451",5,1,20%
93,93,Luiz Felipe Rolim,,16,71.00,$0,3,2,66.67%
94,93,Romario Domingos,,16,73.75,$0,3,2,66.67%
95,96,Júlio Félix,,15,78.25,$0,3,2,66.67%
96,97,Daniel de Lima,,13,85.00,$0,3,1,33.33%
97,97,Rafael Silvio de Oliveira,,13,87.50,"$1,125",3,1,33.33%
98,99,Wéverton Alves,,12.50,83.50,$0,3,1,33.33%
99,100,José Roberto Silva,,12,87.00,$600,7,1,14.29%
100,100,Leonardo Palata,,12,86.00,$0,5,1,20%
101,100,Wisney Oliveira,,12,85.00,"$1,181",3,1,33.33%
102,103,Marcos Rosa da Silva,,10.50,87.50,$180,4,1,25%
103,103,Lucas Divino,,10.50,87.25,$0,2,1,50%
104,105,Danilo Fernando Lopes,,10,82.38,$0,3,2,66.67%
105,105,Alex Junior Belchior Silva,,10,80.75,$0,4,1,25%
106,107,Luis Henrique Faria,,9.50,86.25,$0,5,1,20%
107,108,Guilherme Valleiras,,9,84.50,$0,4,1,25%
108,108,Paulo Sergio Lima,,9,76.75,$0,5,2,40%
109,108,Bruno de Souza,,9,72.00,$0,7,1,14.29%
110,108,Gledson dos Reis,,9,83.00,$263,3,1,33.33%
111,108,Frederico Araujo Margarido,,9,83.00,$0,4,1,25%
112,108,Edgard Costa,,9,86.50,$0,4,1,25%
113,108,José Edson da Silva Jr.,,9,84.00,$90,4,1,25%
114,108,Pedro Henrique da Silva,,9,83.50,$0,3,1,33.33%
115,116,Jose Vitor Leme,,8.50,86.50,$0,3,1,33.33%
116,117,Geovani do Nascimento,,8,85.50,$0,5,1,20%
117,117,Thiago Salgado,,8,85.25,$0,2,1,50%
118,119,Elton dos Santos,,7,76.00,$0,3,1,33.33%
119,119,Tales Xavier,,7,78.25,$0,2,1,50%
120,119,Ruan Barbosa,,7,77.50,$0,3,1,33.33%
121,119,Tayson Batista,,7,74.00,$0,3,1,33.33%
122,119,Luís Gustavo Borse,,7,74.50,$0,3,1,33.33%
123,119,Matheus de Souza,,7,72.00,$0,3,1,33.33%
124,119,David Pinheiro,,7,76.50,$0,3,1,33.33%
125,126,Bruno Scaranello,,0,0.00,"$2,000",2,0,0%
126,126,João Marcelo Santos,,0,0.00,$0,1,0,0%
127,126,Natanael Biribili,,0,0.00,$0,3,0,0%
128,126,Elzisclay dos Santos,,0,0.00,$0,3,0,0%
129,126,Silas Leandro de Paulo,,0,0.00,$0,2,0,0%
130,126,João Paulo da Silva,,0,0.00,$0,2,0,0%
131,126,Fabricio Rener dos Santos,,0,69.50,$0,3,1,33.33%
132,126,Afonso Quintino,,0,0.00,$0,1,0,0%
133,126,Carlos Eduardo de Campos,,0,55.00,$0,2,1,50%
134,126,Jeferson Bueno de Morais,,0,77.00,$0,2,1,50%
135,126,Huan de Souza,,0,67.00,$0,3,1,33.33%
136,126,Edmundo Neto Soares,,0,76.00,$0,3,1,33.33%
137,126,Rodrigo Fernando da Silva,,0,73.00,$0,2,1,50%
138,126,Vitor Malostti da Silva,,0,0.00,$0,5,0,0%
139,126,Vitor de Mello,,0,0.00,$0,7,0,0%
140,126,Eriques Couto,,0,0.00,$0,2,0,0%
141,126,Vinicius da Silva,,0,0.00,$0,2,0,0%
142,126,João Paulo de Morais,,0,0.00,$0,3,0,0%
143,126,Anderson da Silva,,0,0.00,$0,1,0,0%
144,126,Dione Cruz,,0,0.00,$0,1,0,0%
145,126,Ricardo Machado,,0,0.00,$0,1,0,0%
146,126,Andre Medeiros,,0,0.00,$0,1,0,0%
147,126,Wellington Gomes,,0,0.00,$0,1,0,0%
148,126,Luan de Campos,,0,0.00,$0,2,0,0%
149,126,Matheus Machado,,0,0.00,$0,1,0,0%
150,126,Angelo dos Santos,,0,0.00,$0,1,0,0%
151,126,Wesley da Rocha,,0,0.00,$0,1,0,0%
152,126,Wellington da Rocha,,0,0.00,$0,1,0,0%
153,126,Joaquim Moreira,,0,0.00,$0,1,0,0%
