,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Rafael Jose de Brito,,"1,338",87.93,"$1,516,706",64,21,32.81%
1,2,Jose Vitor Leme,,"1,051",87.30,"$304,782",45,25,55.56%
2,3,Kaique Pacheco,,980,86.29,"$254,513",62,30,48.39%
3,4,Wingson Henrique da Silva,,851.50,85.18,"$258,185",53,20,37.74%
4,5,Dalton Kasel,,792.66,88.22,"$181,356",54,22,40.74%
5,6,Dener Barbosa,,780.83,86.34,"$185,642",58,26,44.83%
6,7,Andrew Alvidrez,,707,86.05,"$176,952",62,24,38.71%
7,8,Boudreaux Campbell,,686.66,86.94,"$142,355",64,24,37.50%
8,9,Cooper Davis,,679.50,86.95,"$145,426",53,23,43.40%
9,10,Ramon de Lima,,664.50,83.75,"$182,653",43,18,41.86%
10,11,Eduardo Aparecido,,631.50,86.93,"$127,941",61,23,37.70%
11,12,Jesse Petri,,624,86.22,"$162,725",64,17,26.56%
12,13,Braidy Randolph,,491,85.03,"$123,183",48,17,35.42%
13,14,Daniel Keeping,,434.33,87.48,"$115,753",57,14,24.56%
14,15,João Ricardo Vieira,,433,84.41,"$81,444",53,20,37.74%
15,16,Tate Pollmeier,,405.25,87.23,"$71,653",55,14,25.45%
16,17,Keyshawn Whitehorse,,371.25,85.86,"$57,051",62,20,32.26%
17,18,Colten Fritzlan,,340.66,84.82,"$83,517",50,15,30%
18,19,Luciano De Castro,,339.50,85.13,"$55,815",33,18,54.55%
19,20,Kyler Oliver,,329,83.37,"$69,557",35,13,37.14%
20,21,Silvano Alves,,327,84.25,"$51,012",60,16,26.67%
21,22,Chase Dougherty,,296.83,87.19,"$80,627",36,9,25%
22,23,Josh Frost,,287.50,84.44,"$160,005",15,4,26.67%
23,24,Thiago Salgado,,277.50,87.33,"$36,385",31,12,38.71%
24,25,Rafael dos Santos,,274.50,86.65,"$51,404",44,12,27.27%
25,26,Mason Taylor,,264.50,87.02,"$37,848",36,13,36.11%
26,27,Derek Kolbaba,,251.50,86.83,"$65,188",46,10,21.74%
27,28,Austin Richardson,,246.50,87.39,"$69,829",34,7,20.59%
28,29,Ezekiel Mitchell,,245,85.02,"$31,365",56,14,25%
29,30,Eli Vastbinder,,233.50,85.83,"$63,726",50,10,20%
30,31,Dawson Branton,,207,84.80,"$41,242",25,5,20%
31,32,Lucas Divino,,200.50,86.92,"$36,989",19,6,31.58%
32,33,Guilherme Valleiras,,197,82.89,"$58,244",25,7,28%
33,34,Manoelito de Souza Junior,,194,86.06,"$24,513",55,13,23.64%
34,35,Marcelo Procopio Pereira,,189,83.79,"$20,813",30,13,43.33%
35,36,Koltin Hevalow,,184.50,85.52,"$21,196",58,13,22.41%
36,37,Marcus Mast,,180.50,85.93,"$26,245",46,10,21.74%
37,38,Brady Oleson,,167,85.89,"$49,880",21,7,33.33%
38,39,Sandro Batista,,166.50,83.73,"$21,515",28,10,35.71%
39,40,Brady Turgeon,,160,86.80,"$25,976",22,5,22.73%
40,41,Jess Lockwood,,159,89.00,"$37,376",11,4,36.36%
41,42,Wyatt Rogers,,157.25,84.21,"$19,746",55,12,21.82%
42,43,Flavio Zivieri,,156.66,88.45,"$37,733",33,5,15.15%
43,44,Casey Roberts,,149,82.19,"$33,136",28,8,28.57%
44,45,Bob Mitchell,,135,85.25,"$15,163",25,7,28%
45,46,Nick Tetz,,133,86.35,"$35,446",29,5,17.24%
46,47,Chase Outlaw,,131.50,87.00,"$24,455",47,7,14.89%
47,48,Dakota Louis,,104.50,84.42,"$18,187",33,6,18.18%
48,49,João Lucas Campos,,103,87.25,"$40,167",8,2,25%
49,50,Aaron Williams,,73,82.46,"$6,409",29,6,20.69%
50,51,Vitor Losnake,,66.50,87.31,"$6,890",21,4,19.05%
51,52,Tyler Manor,,63.50,88.08,"$10,523",18,3,16.67%
52,53,Alex Cerqueira,,63,85.00,"$5,375",24,5,20.83%
53,54,Mauricio Gulla Moreira,,61,86.75,"$5,785",24,4,16.67%
54,55,Conner Halverson,,57.75,85.19,"$5,765",19,4,21.05%
55,56,Cody Jesus,,44,86.00,"$4,150",16,3,18.75%
56,56,João Henrique Lucas,,44,83.00,"$3,300",20,5,25%
57,58,Junior Patrik Souza,,43,84.56,"$2,200",19,4,21.05%
58,59,Adriano Salgado,,42.50,81.20,"$3,542",21,5,23.81%
59,60,Briggs Madsen,,40,89.50,"$6,880",11,1,9.09%
60,61,Zane Cook,,33,83.50,"$5,629",13,2,15.38%
61,62,Griffin Smeltzer,,19,86.50,"$3,810",11,1,9.09%
62,63,Afonso Quintino,,17,87.50,"$3,100",5,1,20%
63,64,Ednei Caminhas,,16,82.13,$800,16,2,12.50%
64,64,Dalton Rudman,,16,83.00,$0,7,2,28.57%
65,66,Ednélio Rodrigues,,15.50,85.50,"$2,397",8,1,12.50%
66,67,Lane Lasley,,14.83,80.50,"$2,572",9,1,11.11%
67,68,Cassio Dias,,14,86.25,"$1,850",5,1,20%
68,69,Taylor Allen,,13,86.50,$450,4,1,25%
69,70,Alex Marcilio,,12,84.75,$400,7,1,14.29%
70,71,Cole Melancon,,10,84.75,$0,3,1,33.33%
71,72,Daylon Swearingen,,8,85.75,$0,10,1,10%
72,72,Matt Triplett,,8,81.25,$400,6,1,16.67%
73,72,Alvaro Alvarez Aguilar,,8,81.50,$0,2,1,50%
74,75,Elizmar Jeremias,,2,72.50,$800,7,1,14.29%
75,76,Claudio Montanha Jr.,,0,0.00,$800,14,0,0%
76,76,Clayton Sellars,,0,0.00,$0,2,0,0%
77,76,Alisson De Souza,,0,0.00,$400,9,0,0%
78,76,Casey Coulter,,0,0.00,$0,6,0,0%
79,76,Trace Brown,,0,0.00,$0,1,0,0%
80,76,Mason Moody,,0,0.00,$0,6,0,0%
81,76,Jake Morinec,,0,0.00,$0,4,0,0%
82,76,Gage Gay,,0,0.00,$0,4,0,0%
83,76,Dustin Martinez,,0,0.00,$0,2,0,0%
84,76,Leonardo Lima,,0,0.00,$0,2,0,0%
85,76,Dakota Eagleburger,,0,0.00,$0,4,0,0%
86,76,Elijah Mora,,0,0.00,$0,1,0,0%
87,76,Hunter Ball,,0,0.00,$0,2,0,0%
88,76,Caden Bunch,,0,0.00,$0,2,0,0%
89,76,Jaxton Mortensen,,0,0.00,$800,4,0,0%
90,76,Ray Mayo,,0,0.00,$0,4,0,0%
91,76,Kyle Jones,,0,0.00,$0,3,0,0%
92,76,Brandon Chambers,,0,0.00,$0,2,0,0%
93,76,Junio Quaresima,,0,0.00,$0,2,0,0%
94,76,Brandon McDowell,,0,0.00,$0,2,0,0%
95,76,Bill Henry,,0,0.00,$0,2,0,0%
96,76,Garrett Jones,,0,0.00,$0,2,0,0%
97,76,Alvaro Ariel,,0,0.00,$0,1,0,0%
98,76,Bruin Bradshaw,,0,0.00,$0,2,0,0%
99,76,Trent Nugent,,0,0.00,$0,1,0,0%
100,76,Justin Ethridge,,0,0.00,$0,1,0,0%
101,76,Robbie Taylor Jr.,,0,0.00,$0,2,0,0%
102,76,Chase Wimer,,0,0.00,$400,1,0,0%
103,76,Cody Hooks,,0,0.00,$0,1,0,0%
104,76,Cody McCandless,,0,0.00,$0,1,0,0%
105,76,Michael Lane,,0,0.00,$400,2,0,0%
106,76,Cole Fischer,,0,0.00,$0,2,0,0%
107,76,Wellington Ferreira,,0,0.00,$0,2,0,0%
108,76,Anthony Lyons,,0,0.00,$0,1,0,0%
109,76,Davi Henrique de Lima,,0,0.00,$0,1,0,0%
110,76,Carlos Garcia,,0,0.00,$0,1,0,0%
111,76,Trevor Reiste,,0,0.00,$0,2,0,0%
