rider,st_dev_ride,avg_ride,st_dev_score,avg_score,cv_ride,stability_score,year_count,total_rides,total_outs
Sage Steele Kimzey,27.55,38.1,43.62,65.43,72.32,27.68,4,72.0,147.0
Maciel Santana,27.42,37.8,40.9,61.34,72.54,27.46,4,130.0,252.0
Sandro Batista,32.33,41.41,43.27,55.85,78.07,21.93,6,152.0,256.0
Cody Jesus,19.87,24.71,34.18,62.03,80.42,19.58,7,54.0,169.0
Marco Eguchi,25.94,32.15,40.04,56.74,80.68,19.32,7,80.0,230.0
Rafael Jose de Brito,17.31,20.48,40.49,50.18,84.51,15.49,4,54.0,172.0
Dakota Louis,19.54,22.43,36.04,55.93,87.11,12.89,6,61.0,234.0
Alison Aguiar,36.08,39.83,42.16,63.2,90.6,9.4,4,50.0,130.0
Bruno Roberto,22.9,25.23,41.31,51.43,90.75,9.25,6,81.0,207.0
Elzisclay dos Santos,35.28,36.63,46.09,50.47,96.32,3.68,5,82.0,153.0
