,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Daylon Swearingen,,127.50,88.06,"$57,722",31,16,51.61%
1,2,Dalton Kasel,,78.75,87.04,"$59,426",16,12,75%
2,3,Derek Kolbaba,,63,88.00,"$28,762",9,6,66.67%
3,4,Junior Patrik Souza,,59.50,80.68,"$40,908",16,11,68.75%
4,5,Keyshawn Whitehorse,,58,85.64,"$19,913",15,7,46.67%
5,6,Claudio Montanha Jr.,,57.50,87.60,"$52,641",14,5,35.71%
6,7,Dakota Louis,,54.50,84.82,"$18,198",24,14,58.33%
7,8,Jose Vitor Leme,,50,88.33,"$27,119",9,6,66.67%
8,9,Grayson Cole,,47.50,84.13,"$17,868",16,8,50%
9,10,Luciano De Castro,,45.50,85.00,"$19,438",25,14,56%
10,11,Eli Vastbinder,,43,85.78,"$14,990",23,9,39.13%
11,12,Austin Richardson,,40.50,84.69,"$14,281",21,8,38.10%
12,12,Mason Taylor,,40.50,87.50,"$15,250",13,8,61.54%
13,12,D.J. Parker,,40.50,85.40,"$17,561",38,12,31.58%
14,15,Chase Dougherty,,39,84.05,"$11,526",24,10,41.67%
15,16,Maverick Potter,,38,85.00,"$14,314",2,2,100%
16,17,Andrew Alvidrez,,37.25,86.03,"$13,750",23,9,39.13%
17,18,Cody Jesus,,35.50,87.07,"$14,368",10,7,70%
18,19,Stetson Lawrence,,32,86.17,"$11,198",17,6,35.29%
19,20,Alvaro Alvarez Aguilar,,31,86.85,"$10,263",12,5,41.67%
20,21,Cole Skender,,29,85.14,"$7,991",19,7,36.84%
21,22,Dalton Rudman,,28,86.67,"$2,470",15,3,20%
22,23,Dener Barbosa,,27.83,86.71,"$6,921",16,7,43.75%
23,24,Josh Frost,,27,90.50,"$2,750",3,1,33.33%
24,25,Gage Gay,,26.50,86.64,"$11,125",24,7,29.17%
25,26,Jake Lockwood,,25.50,88.00,"$8,764",12,1,8.33%
26,27,Wallace Vieira de Oliveira,,24,85.56,"$6,182",11,4,36.36%
27,28,River Stephenson,,23,87.00,"$9,122",15,4,26.67%
28,28,Clayton Sellars,,23,85.03,"$11,847",14,8,57.14%
29,30,João Ricardo Vieira,,21.50,86.88,"$6,121",14,4,28.57%
30,30,Casey Coulter,,21.50,86.50,"$9,102",16,5,31.25%
31,32,Marcus Mast,,20,84.83,"$5,250",23,6,26.09%
32,32,Dawson Branton,,20,78.13,"$6,543",10,4,40%
33,34,Cody Nance,,18,85.75,"$6,124",12,6,50%
34,35,Aaron Pass,,17,88.00,"$4,067",5,2,40%
35,35,Jorge Valdiviezo,,17,85.33,"$4,574",4,3,75%
36,35,Tyler Congleton,,17,86.67,"$4,341",5,3,60%
37,38,Venn Johns,,16.50,85.83,"$6,537",17,3,17.65%
38,39,Ezekiel Mitchell,,16,87.00,"$4,603",10,3,30%
39,40,Rubens Barbosa,,15.33,86.67,"$5,927",21,3,14.29%
40,41,Rafael dos Santos,,15,89.25,"$4,772",2,2,100%
41,41,Rodrigo Melgar,,15,88.25,"$3,481",4,2,50%
42,41,Fernando Henrique Novais,,15,86.33,"$6,105",12,6,50%
43,41,Joe Hostetler,,15,85.38,"$6,448",15,4,26.67%
44,41,Ramon de Lima,,15,83.38,"$6,219",7,4,57.14%
45,41,Nate Hoey,,15,87.00,"$3,689",11,2,18.18%
46,41,Davi Henrique de Lima,,15,87.00,"$10,000",6,2,33.33%
47,48,Jory Markiss,,14.50,87.00,"$4,923",8,2,25%
48,49,Manoelito de Souza Junior,,14,84.63,"$5,715",7,4,57.14%
49,49,Dalton Davis,,14,79.25,"$1,800",7,2,28.57%
50,51,Vinell Mariano,,13,82.33,"$4,439",19,6,31.58%
51,51,Dalton Wright,,13,87.00,"$4,638",3,2,66.67%
52,51,Parker Breding,,13,86.00,"$8,000",2,1,50%
53,54,Leonardo Lima,,12,84.63,"$4,360",11,4,36.36%
54,55,Mason Ward,,11,84.75,"$2,780",12,2,16.67%
55,55,Bob Mitchell,,11,84.46,"$3,910",19,6,31.58%
56,55,Caden Bunch,,11,84.50,"$4,638",8,4,50%
57,55,Marco Antonio Gloria,,11,84.25,"$5,017",7,2,28.57%
58,55,Chance Schott,,11,85.25,"$5,638",6,2,33.33%
59,55,Joseph McConnel,,11,85.00,"$3,250",4,2,50%
60,61,Conner Halverson,,10,84.07,"$4,118",28,7,25%
61,61,Hunter Kelly,,10,84.75,"$3,014",10,4,40%
62,61,Thiago Salgado,,10,85.17,"$2,777",15,3,20%
63,64,Daniel Keeping,,9.50,85.50,"$4,031",16,4,25%
64,64,Nathan Burtenshaw,,9.50,85.00,"$3,532",4,2,50%
65,66,J.T. Moore,,8.50,87.00,"$2,609",11,3,27.27%
66,66,Lucas Fideles Souza,,8.50,86.25,"$2,439",9,2,22.22%
67,68,Matt Triplett,,8,86.63,"$3,829",17,4,23.53%
68,68,Brennon Eldred,,8,83.17,"$3,440",6,3,50%
69,68,Marco Eguchi,,8,86.00,"$3,485",3,2,66.67%
70,68,Valdiron de Oliveira,,8,86.75,"$2,412",2,2,100%
71,68,Lane Nobles,,8,85.50,"$2,667",8,2,25%
72,68,Keith Hall,,8,84.50,"$2,782",26,4,15.38%
73,68,Andy Guzman,,8,85.00,"$4,748",20,3,15%
74,68,Alex Guzman,,8,81.00,"$2,889",10,1,10%
75,76,Wyatt Rogers,,7.50,84.50,"$2,016",6,2,33.33%
76,76,Michael Lane,,7.50,86.00,"$2,949",7,1,14.29%
77,76,Flávio Vinícius da Silva,,7.50,85.50,"$2,018",3,1,33.33%
78,76,Justin Houston,,7.50,83.17,"$2,016",16,3,18.75%
79,76,Jake Davis,,7.50,84.50,"$2,146",20,3,15%
80,76,Kane Taylor,,7.50,81.25,"$1,907",8,2,25%
81,76,Kaique Pacheco,,7.50,86.00,"$2,949",2,1,50%
82,83,Eli Byler,,7,80.50,"$3,387",17,1,5.88%
83,83,João Augusto Cezere,,7,84.50,"$2,275",3,1,33.33%
84,83,Lindomar Lino,,7,60.00,"$2,022",3,1,33.33%
85,83,Ednei Caminhas,,7,85.00,"$3,069",8,3,37.50%
86,83,Marcelo Procopio Pereira,,7,87.50,"$1,641",11,2,18.18%
87,83,Jake Morinec,,7,79.25,"$1,061",7,2,28.57%
88,83,Mason Moody,,7,84.00,"$2,528",8,1,12.50%
89,83,Brock Radford,,7,85.50,"$2,789",4,1,25%
90,83,Jacob Dunning,,7,91.00,"$2,093",4,1,25%
91,92,Logan Biever,,5.50,83.50,"$2,077",26,3,11.54%
92,93,Alex Cerqueira,,5,85.67,"$1,785",6,3,50%
93,93,Trent Nugent,,5,64.25,"$2,290",6,2,33.33%
94,95,Hunter Ball,,4,78.67,"$1,315",14,3,21.43%
95,95,Allen Burkholder,,4,87.25,"$1,836",13,2,15.38%
96,95,Caic Cassio Carvalho,,4,82.33,"$1,976",3,3,100%
97,95,Buddy Asher,,4,85.00,"$1,331",8,1,12.50%
98,95,Beau Nordahl,,4,87.50,"$1,674",5,1,20%
99,95,Cody McCandless,,4,71.00,"$1,164",5,1,20%
100,95,Dakota Eagleburger,,4,87.00,"$1,398",3,1,33.33%
101,95,Ernie Courson,,4,83.50,"$1,020",3,1,33.33%
102,103,Cole Melancon,,3.50,88.00,$469,4,1,25%
103,103,Alecio Ferreira da Costa,,3.50,84.25,"$1,096",7,2,28.57%
104,105,Jesse Petri,,3.25,86.70,"$1,553",18,5,27.78%
105,106,Luis Blanco,,3,85.50,"$1,002",9,2,22.22%
106,106,Devon Weaver,,3,89.50,$709,7,1,14.29%
107,106,Hayden Harris,,3,84.50,"$1,745",8,1,12.50%
108,106,Ross Freeman,,3,81.83,$552,20,3,15%
109,106,Marco Juarez,,3,87.25,"$2,209",9,2,22.22%
110,106,Tristan O'Neal,,3,83.00,"$3,789",3,1,33.33%
111,112,Thor Hoefer II,,2.50,79.80,$720,26,5,19.23%
112,113,Paulo Ferreira Lima,,2,83.50,$559,12,3,25%
113,113,Caleb Christian,,2,87.50,$278,8,1,12.50%
114,113,Silvano Alves,,2,84.13,"$1,065",8,2,25%
115,113,João Henrique Lucas,,2,86.00,$604,7,1,14.29%
116,113,Mauricio Gulla Moreira,,2,83.67,$566,12,3,25%
117,113,Matt Oliver,,2,83.75,$887,15,2,13.33%
118,113,Taylor Toves,,2,87.50,$187,5,1,20%
119,113,Lonnie West,,2,83.25,$785,8,2,25%
120,113,Joe McCrite,,2,84.00,$738,7,1,14.29%
121,113,Lukasey Morris,,2,86.00,$604,3,1,33.33%
122,113,Travis Wimberley,,2,84.00,$557,3,1,33.33%
123,113,Caleb Thomason,,2,80.00,$444,3,1,33.33%
124,125,Dylan Madsen,,1.75,88.50,$546,19,1,5.26%
125,126,JC Mortensen,,1.50,82.00,"$1,231",7,3,42.86%
126,126,Alex Jenks,,1.50,85.00,$403,13,2,15.38%
127,126,William Wright,,1.50,88.00,$914,5,1,20%
128,129,Ouncie Mitchell,,1.33,85.25,$466,13,2,15.38%
129,130,Riley Gagnon,,1,81.00,$434,6,1,16.67%
130,130,Ervin Yoder,,1,81.50,$302,5,1,20%
131,130,Ricky Ringer,,1,75.00,$366,3,1,33.33%
132,133,Cody Teel,,0.50,79.50,"$1,200",8,2,25%
133,134,Austin Covington,,0,0.00,$0,6,0,0%
134,134,Chase Outlaw,,0,85.00,$0,2,1,50%
135,134,Brady Sims,,0,79.50,$0,6,1,16.67%
136,134,Cooper Davis,,0,0.00,$0,2,0,0%
137,134,Colten Fritzlan,,0,0.00,$0,1,0,0%
138,134,Winston Lopez,,0,0.00,$0,8,0,0%
139,134,Dylan Smith,,0,0.00,$0,7,0,0%
140,134,Kyle Jones,,0,85.00,$175,9,2,22.22%
141,134,Francisco Morales,,0,0.00,$0,4,0,0%
142,134,Max Castro,,0,0.00,$0,1,0,0%
143,134,Seth White,,0,81.75,$0,10,2,20%
144,134,Triston Dean,,0,0.00,$0,7,0,0%
145,134,Alex Cardozo,,0,0.00,$0,3,0,0%
146,134,Koal Livingston,,0,0.00,$0,5,0,0%
147,134,James Harper,,0,0.00,$0,2,0,0%
148,134,Chance Lopez,,0,0.00,$0,3,0,0%
149,134,Juan Carlos Contreras,,0,0.00,$0,1,0,0%
150,134,Boudreaux Campbell,,0,0.00,$0,1,0,0%
151,134,Jake Gowdy,,0,81.00,$0,3,1,33.33%
152,134,Trace Brown,,0,0.00,$0,12,0,0%
153,134,Eli Miller,,0,0.00,$0,5,0,0%
154,134,Laramie Craigen,,0,82.50,$175,9,1,11.11%
155,134,Carlos Garcia,,0,0.00,$0,6,0,0%
156,134,Cole Trivette,,0,0.00,$0,3,0,0%
157,134,Bryce Barrios,,0,0.00,$0,1,0,0%
158,134,Weston Hartman,,0,82.67,"$1,088",20,3,15%
159,134,Adriano Salgado,,0,83.50,$85,8,3,37.50%
160,134,Ryan Prophet,,0,85.00,$0,12,2,16.67%
161,134,Esteban Bustamante Salcido,,0,83.50,$0,14,1,7.14%
162,134,Matt Allgood,,0,79.50,$0,9,1,11.11%
163,134,Bradley Brittain,,0,82.50,$0,7,1,14.29%
164,134,Jake Gardner,,0,83.00,$131,5,1,20%
165,134,Francisco Garcia Torres,,0,82.00,$0,7,1,14.29%
166,134,Wyatt Covington,,0,71.00,$0,4,1,25%
167,134,Dawson Gleaves,,0,75.00,$0,2,1,50%
168,134,Zach Miles,,0,80.50,$0,1,1,100%
169,134,Paulo Souza,,0,0.00,$0,14,0,0%
170,134,Anthony Hopen,,0,0.00,$0,13,0,0%
171,134,Cody Hudson,,0,0.00,$0,13,0,0%
172,134,Matteo Nunez,,0,0.00,$0,10,0,0%
173,134,Wyatt Austin,,0,0.00,$0,7,0,0%
174,134,Hunter Salter,,0,0.00,$0,12,0,0%
175,134,Cody Casper,,0,0.00,$0,7,0,0%
176,134,Perry Schrock,,0,0.00,$0,9,0,0%
177,134,Levi Hershberger,,0,0.00,$0,7,0,0%
178,134,Dugan Black,,0,0.00,$0,6,0,0%
179,134,Zach Laney,,0,0.00,$0,8,0,0%
180,134,Levi Schmucker,,0,0.00,$0,6,0,0%
181,134,Jesse Borland,,0,0.00,$0,5,0,0%
182,134,Alex Santana,,0,0.00,$0,7,0,0%
183,134,Zach Valderas,,0,0.00,$0,5,0,0%
184,134,Cole Wagner,,0,0.00,$0,6,0,0%
185,134,Bryan Titman,,0,0.00,$0,4,0,0%
186,134,Eduardo Perez,,0,0.00,$0,4,0,0%
187,134,Matt Hennelly,,0,0.00,$0,5,0,0%
188,134,Joseph Petersheim,,0,0.00,$0,8,0,0%
189,134,Jay Bowen,,0,0.00,$0,5,0,0%
190,134,Manuel Sandoval,,0,0.00,$0,7,0,0%
191,134,Zac Osborne,,0,0.00,$0,3,0,0%
192,134,Wade Berg,,0,0.00,$0,4,0,0%
193,134,Markel Moreno,,0,0.00,$0,3,0,0%
194,134,Lucas Divino,,0,0.00,$0,3,0,0%
195,134,Cody Jones,,0,0.00,$0,4,0,0%
196,134,Cole Ivey,,0,0.00,$0,5,0,0%
197,134,Ryan McConnel,,0,0.00,$0,3,0,0%
198,134,Nic Lica,,0,0.00,$0,2,0,0%
199,134,Jay Jenson,,0,0.00,$0,2,0,0%
200,134,Ryan Estrada,,0,0.00,$0,2,0,0%
201,134,Tyler Brinkley,,0,0.00,$0,2,0,0%
202,134,Eduardo de Oliveira,,0,0.00,$0,2,0,0%
203,134,Ricky Aguiar,,0,0.00,$0,2,0,0%
204,134,Chris Holmes,,0,0.00,$0,3,0,0%
205,134,Cody Brewer,,0,0.00,$0,3,0,0%
206,134,Joseph Vazquez,,0,0.00,$0,4,0,0%
207,134,Shannon Terrazas,,0,0.00,$0,3,0,0%
208,134,Jaron Hughes,,0,0.00,$0,3,0,0%
209,134,Elijah Lankford,,0,0.00,$0,2,0,0%
210,134,Tyler Rogers,,0,0.00,$0,1,0,0%
211,134,Blaise Freeman,,0,0.00,$0,2,0,0%
212,134,Zerrick Ponder,,0,0.00,$0,1,0,0%
213,134,Clancy Hart,,0,0.00,$0,1,0,0%
214,134,Bladimir Rodriguez,,0,0.00,$0,1,0,0%
215,134,Devin Hutchinson,,0,0.00,$0,1,0,0%
216,134,Colten Brown,,0,0.00,$0,1,0,0%
217,134,Hayden Townsend,,0,0.00,$0,1,0,0%
218,134,Scottie Knapp,,0,0.00,$0,1,0,0%
219,134,Cody Glover,,0,0.00,$0,2,0,0%
220,134,Jared Avina,,0,0.00,$0,2,0,0%
