,#,Rider,Country,Points,Avg Score,Prize $,Outs,Rides,Ride %
0,1,Aaron Kleier,,679.83,84.65,"$56,132",35,23,65.71%
1,2,Brady Fielder,,431.82,85.13,"$17,266",32,15,46.88%
2,3,Kurt Shephard,,389,84.23,"$17,465",31,16,51.61%
3,4,Macaulie Leather,,377.50,84.25,"$12,783",35,12,34.29%
4,5,Lawson Nobbs,,351.33,82.95,"$14,438",32,16,50%
5,6,Lachlan Richardson,,315,84.04,"$13,394",32,12,37.50%
6,7,Sam Woodall,,276,83.32,"$15,858",26,11,42.31%
7,8,Beau Willis,,154,81.33,"$6,759",19,3,15.79%
8,9,Bailey Woodard,,149,84.90,"$6,508",17,5,29.41%
9,10,Lachlan Slade,,136.50,85.33,"$10,082",16,6,37.50%
10,11,Joshua Jones,,113,80.88,"$2,917",17,6,35.29%
11,12,Troy Wilkinson,,112.50,84.13,"$3,891",21,4,19.05%
12,13,Kelsey Pavlou,,106.50,80.57,"$2,796",23,7,30.43%
13,14,Qynn Andersen,,83.16,83.33,"$2,481",17,3,17.65%
14,15,Lane Mellers,,77.50,83.83,"$4,208",20,6,30%
15,16,Caiden Sandilands,,72.99,83.25,"$1,477",28,4,14.29%
16,17,Mitchel Paton,,71,82.75,"$2,092",19,5,26.32%
17,18,Jake Curr,,61,82.63,"$2,733",11,2,18.18%
18,19,Dan Ruhland,,58.50,83.63,"$1,359",24,4,16.67%
19,20,Cody Heffernan,,52.50,83.67,"$2,176",11,3,27.27%
20,21,Taran Chirgwin,,47,81.25,"$1,560",24,4,16.67%
21,22,Daniel Rogan,,24.83,81.50,$295,6,2,33.33%
22,23,Joe Down,,19.50,82.67,$755,14,3,21.43%
23,24,Cody Fraser,,10.50,79.75,$296,4,2,50%
24,25,Trefor Sproule,,10,81.75,$0,8,2,25%
25,26,Wyatt Milgate,,8,77.50,$0,18,1,5.56%
26,27,Lane Howlett,,6,77.50,$0,14,1,7.14%
27,28,Josh Cavanagh,,3.50,78.50,$0,3,1,33.33%
28,29,Jackson Gray,,0,0.00,$0,1,0,0%
29,29,Ty Thomson,,0,0.00,$0,8,0,0%
30,29,Zane Hall,,0,0.00,$0,6,0,0%
31,29,Michael Smith,,0,0.00,$0,4,0,0%
32,29,Eli Bee,,0,0.00,$0,4,0,0%
33,29,Jack Keats,,0,0.00,$0,8,0,0%
34,29,Thomas Hudson,,0,0.00,$0,6,0,0%
35,29,Bryn Francis,,0,0.00,$0,5,0,0%
36,29,Isaac Leclair,,0,0.00,$0,4,0,0%
37,29,Clay Hall,,0,0.00,$0,4,0,0%
38,29,Sam Spencer,,0,0.00,$0,5,0,0%
39,29,Luke Parkinson,,0,0.00,$0,2,0,0%
40,29,Ben Graving,,0,0.00,$0,2,0,0%
41,29,Jack Cameron,,0,0.00,$0,2,0,0%
42,29,Oscar Leake,,0,0.00,$0,1,0,0%
43,29,Brumby Brandenburg,,0,0.00,$0,1,0,0%
44,29,Sam Payne,,0,0.00,$0,4,0,0%
45,29,Chris Wilson,,0,0.00,$0,4,0,0%
46,29,Jono Couling,,0,0.00,$0,2,0,0%
47,29,Derryn Bonisch,,0,0.00,$0,1,0,0%
48,29,JN Bennett,,0,0.00,$0,1,0,0%
